"times","open","high","low","close","volume","symbol","market"
2019-05-30,3.75,3.8,3.63,3.72,147400,"CDMO","NASDAQ"
2019-05-31,3.67,3.92,3.65,3.89,240400,"CDMO","NASDAQ"
2019-06-03,3.88,3.91,3.7,3.84,160800,"CDMO","NASDAQ"
2019-06-04,3.88,4.07,3.795,4.03,221300,"CDMO","NASDAQ"
2019-06-05,4.0596,4.26,3.98,4.25,237500,"CDMO","NASDAQ"
2019-06-06,4.27,4.27,3.92,3.99,155900,"CDMO","NASDAQ"
2019-06-07,4,4.05,3.8,3.86,189500,"CDMO","NASDAQ"
2019-06-10,3.88,4.09,3.88,4.01,114200,"CDMO","NASDAQ"
2019-06-11,4.04,4.07,3.82,3.95,178300,"CDMO","NASDAQ"
2019-06-12,3.95,4.12,3.93,4.09,68900,"CDMO","NASDAQ"
2019-06-13,4.04,4.14,3.98,4.01,93400,"CDMO","NASDAQ"
2019-06-14,3.9997,4.07,3.89,3.96,113000,"CDMO","NASDAQ"
2019-06-17,3.88,4.07,3.88,3.92,110700,"CDMO","NASDAQ"
2019-06-18,3.89,3.97,3.79,3.91,254700,"CDMO","NASDAQ"
2019-06-19,3.91,3.95,3.7949,3.9,96900,"CDMO","NASDAQ"
2019-06-20,3.9,4.02,3.66,3.84,155100,"CDMO","NASDAQ"
2019-06-21,3.8,3.92,3.72,3.86,223200,"CDMO","NASDAQ"
2019-06-24,3.81,3.87,3.81,3.84,95200,"CDMO","NASDAQ"
2019-06-25,3.77,3.87,3.76,3.87,138100,"CDMO","NASDAQ"
2019-06-26,3.74,3.87,3.7099,3.8,211600,"CDMO","NASDAQ"
2019-06-27,3.82,4.08,3.8,4,314000,"CDMO","NASDAQ"
2019-06-28,4.6,6.01,4.44,5.6,8935900,"CDMO","NASDAQ"
2019-07-01,5.48,6.3,5.44,6.1,3095300,"CDMO","NASDAQ"
2019-07-02,5.99,6.175,5.72,5.93,1028100,"CDMO","NASDAQ"
2019-07-03,6,6.23,5.94,5.99,411600,"CDMO","NASDAQ"
2019-07-05,6.01,6.25,5.95,5.98,471600,"CDMO","NASDAQ"
2019-07-08,6.05,6.52,6.05,6.26,980600,"CDMO","NASDAQ"
2019-07-09,6.23,6.31,5.87,6.12,524500,"CDMO","NASDAQ"
