"times","open","high","low","close","volume","symbol","market"
2019-05-30,3.93,4.2,3.93,3.99,161500,"CDXC","NASDAQ"
2019-05-31,3.95,4.06,3.92,3.98,112200,"CDXC","NASDAQ"
2019-06-03,3.91,4.02,3.83,3.89,157600,"CDXC","NASDAQ"
2019-06-04,3.9,4.02,3.82,3.89,92600,"CDXC","NASDAQ"
2019-06-05,3.92,3.97,3.8,3.9,134900,"CDXC","NASDAQ"
2019-06-06,3.9,4.05,3.8999,3.99,121500,"CDXC","NASDAQ"
2019-06-07,4.02,4.17,4.0202,4.09,115600,"CDXC","NASDAQ"
2019-06-10,4.09,4.15,4.04,4.11,135300,"CDXC","NASDAQ"
2019-06-11,4.1,4.19,4.05,4.1,131300,"CDXC","NASDAQ"
2019-06-12,4.15,4.28,4.135,4.21,144300,"CDXC","NASDAQ"
2019-06-13,4.24,4.3,4.2,4.22,77100,"CDXC","NASDAQ"
2019-06-14,4.25,4.25,4.04,4.05,88900,"CDXC","NASDAQ"
2019-06-17,4.05,4.05,3.92,3.95,85800,"CDXC","NASDAQ"
2019-06-18,3.99,4.16,3.95,4.11,67500,"CDXC","NASDAQ"
2019-06-19,4.1,4.11,4.07,4.09,45000,"CDXC","NASDAQ"
2019-06-20,4.13,4.157,3.89,3.89,118800,"CDXC","NASDAQ"
2019-06-21,3.86,3.92,3.8,3.8,250900,"CDXC","NASDAQ"
2019-06-24,3.82,3.87,3.7,3.71,368400,"CDXC","NASDAQ"
2019-06-25,3.7203,3.84,3.705,3.78,420800,"CDXC","NASDAQ"
2019-06-26,3.912,4.27,3.7503,4.19,663900,"CDXC","NASDAQ"
2019-06-27,4.2,4.8,4.08,4.63,974300,"CDXC","NASDAQ"
2019-06-28,4.57,4.75,4.45,4.65,583200,"CDXC","NASDAQ"
2019-07-01,4.65,4.78,4.3607,4.39,715800,"CDXC","NASDAQ"
2019-07-02,4.45,4.5,4.17,4.28,647600,"CDXC","NASDAQ"
2019-07-03,4.28,4.34,4.19,4.27,224200,"CDXC","NASDAQ"
2019-07-05,4.2,4.3707,4.19,4.35,200600,"CDXC","NASDAQ"
2019-07-08,4.35,4.49,4.3,4.47,164800,"CDXC","NASDAQ"
2019-07-09,4.47,4.7,4.4,4.49,387400,"CDXC","NASDAQ"
2019-07-10,4.52,4.57,4.37,4.42,171200,"CDXC","NASDAQ"
2019-07-11,4.42,4.49,4.35,4.43,130600,"CDXC","NASDAQ"
2019-07-12,4.45,4.45,4.31,4.35,94700,"CDXC","NASDAQ"
2019-07-15,4.36,4.55,4.23,4.5,431000,"CDXC","NASDAQ"
2019-07-16,4.48,4.82,4.47,4.71,454700,"CDXC","NASDAQ"
2019-07-17,4.71,4.77,4.52,4.55,167400,"CDXC","NASDAQ"
2019-07-18,4.56,4.73,4.43,4.47,293800,"CDXC","NASDAQ"
2019-07-19,4.42,4.55,4.37,4.41,172900,"CDXC","NASDAQ"
2019-07-22,4.43,4.5,4.36,4.46,103800,"CDXC","NASDAQ"
