"times","open","high","low","close","volume","symbol","market"
2019-05-30,18.19,18.5703,17.96,18.12,317500,"CDXS","NASDAQ"
2019-05-31,17.76,18.22,17.42,18.1,368700,"CDXS","NASDAQ"
2019-06-03,18.12,18.25,17.66,17.93,424800,"CDXS","NASDAQ"
2019-06-04,18.2,18.32,17.67,18.16,426700,"CDXS","NASDAQ"
2019-06-05,18.31,18.37,17.9304,17.99,437400,"CDXS","NASDAQ"
2019-06-06,17.97,18.045,16.195,17,945300,"CDXS","NASDAQ"
2019-06-07,17.01,17.3,16.91,17.02,512500,"CDXS","NASDAQ"
2019-06-10,17.12,17.7384,17.07,17.45,325400,"CDXS","NASDAQ"
2019-06-11,17.6,17.6,16.95,17.18,343000,"CDXS","NASDAQ"
2019-06-12,17.16,17.6393,17.03,17.62,215800,"CDXS","NASDAQ"
2019-06-13,17.72,17.91,17.31,17.55,379400,"CDXS","NASDAQ"
2019-06-14,17.59,17.72,17.32,17.45,211700,"CDXS","NASDAQ"
2019-06-17,17.46,17.94,17.4206,17.79,260900,"CDXS","NASDAQ"
2019-06-18,17.9,18.49,17.787,18.29,272200,"CDXS","NASDAQ"
2019-06-19,18.32,18.76,18.21,18.73,282800,"CDXS","NASDAQ"
2019-06-20,19.02,19.23,18.58,19.19,588300,"CDXS","NASDAQ"
2019-06-21,19.0418,19.32,18.65,19.26,349100,"CDXS","NASDAQ"
2019-06-24,19.28,19.28,18.585,18.74,420000,"CDXS","NASDAQ"
2019-06-25,18.83,18.83,18.42,18.43,496200,"CDXS","NASDAQ"
2019-06-26,18.43,18.5,18.17,18.3,252400,"CDXS","NASDAQ"
2019-06-27,18.37,18.62,18.3,18.55,371400,"CDXS","NASDAQ"
2019-06-28,18.63,18.83,18.4,18.43,905000,"CDXS","NASDAQ"
2019-07-01,18.71,19,18.45,18.99,557300,"CDXS","NASDAQ"
2019-07-02,18.93,18.97,18.56,18.86,369700,"CDXS","NASDAQ"
2019-07-03,19,19,18.6909,18.86,225200,"CDXS","NASDAQ"
2019-07-05,18.75,18.86,18.5,18.59,457700,"CDXS","NASDAQ"
2019-07-08,18.59,18.6694,18.27,18.59,909200,"CDXS","NASDAQ"
2019-07-09,18.51,18.9604,18.45,18.9,369600,"CDXS","NASDAQ"
2019-07-10,19,19,18.57,18.82,298200,"CDXS","NASDAQ"
2019-07-11,18.7709,18.84,18.36,18.74,365500,"CDXS","NASDAQ"
2019-07-12,18.7,19.07,18.63,19.01,403700,"CDXS","NASDAQ"
2019-07-15,18.95,18.99,18.6813,18.73,228500,"CDXS","NASDAQ"
2019-07-16,18.77,18.9992,18.61,18.9,325500,"CDXS","NASDAQ"
2019-07-17,18.9,18.93,18.6496,18.74,265900,"CDXS","NASDAQ"
2019-07-18,18.72,18.92,18.56,18.84,343700,"CDXS","NASDAQ"
2019-07-19,18.85,18.93,18.5,18.53,210100,"CDXS","NASDAQ"
2019-07-22,18.51,18.73,18.38,18.43,178300,"CDXS","NASDAQ"
2019-07-23,18.5,18.59,18.27,18.5,230300,"CDXS","NASDAQ"
2019-07-24,18.44,18.7,18.1,18.65,203600,"CDXS","NASDAQ"
2019-07-25,18.66,18.78,18.35,18.39,460200,"CDXS","NASDAQ"
2019-07-26,18.51,18.66,18.39,18.57,170800,"CDXS","NASDAQ"
2019-07-29,18.59,18.77,18.34,18.47,145400,"CDXS","NASDAQ"
2019-07-30,18.33,18.84,18.33,18.67,184400,"CDXS","NASDAQ"
2019-07-31,18.68,18.87,18.36,18.37,264900,"CDXS","NASDAQ"
2019-08-01,18.42,18.63,18.06,18.16,287700,"CDXS","NASDAQ"
2019-08-02,18.04,18.07,17.42,17.56,384200,"CDXS","NASDAQ"
2019-08-05,17.25,17.25,16.07,16.65,590200,"CDXS","NASDAQ"
2019-08-06,16.84,17.08,16.56,16.99,477400,"CDXS","NASDAQ"
2019-08-07,15.91,16.44,14.22,14.26,1567800,"CDXS","NASDAQ"
2019-08-08,14.35,14.75,14.07,14.16,719300,"CDXS","NASDAQ"
2019-08-09,14.13,14.64,14.12,14.17,434800,"CDXS","NASDAQ"
2019-08-12,14.17,14.17,13.54,13.74,528500,"CDXS","NASDAQ"
2019-08-13,13.6,14.25,13.6,13.79,456400,"CDXS","NASDAQ"
2019-08-14,13.51,13.95,12.95,13.03,486800,"CDXS","NASDAQ"
2019-08-15,13.01,13.37,12.81,13.31,550700,"CDXS","NASDAQ"
2019-08-16,13.47,13.65,13.3,13.39,437900,"CDXS","NASDAQ"
2019-08-19,13.6,13.64,13.11,13.17,228200,"CDXS","NASDAQ"
2019-08-20,13.3,13.3,12.89,13.01,293500,"CDXS","NASDAQ"
2019-08-21,13.19,13.25,13.02,13.18,422800,"CDXS","NASDAQ"
2019-08-22,13.24,13.25,12.68,12.75,642700,"CDXS","NASDAQ"
2019-08-23,12.96,13.5,12.79,12.84,568500,"CDXS","NASDAQ"
2019-08-26,13.03,14.14,12.86,13.83,1212300,"CDXS","NASDAQ"
2019-08-27,13.86,14.06,13.34,13.42,825900,"CDXS","NASDAQ"
2019-08-28,13.39,13.84,13.38,13.67,843800,"CDXS","NASDAQ"
2019-08-29,13.69,14.19,13.69,14.03,340500,"CDXS","NASDAQ"
2019-08-30,14.12,14.36,13.78,14.03,568400,"CDXS","NASDAQ"
