"times","open","high","low","close","volume","symbol","market"
2019-05-30,10.38,10.45,10.21,10.39,135100,"CDZI","NASDAQ"
2019-05-31,10.32,10.45,10.07,10.38,255200,"CDZI","NASDAQ"
2019-06-03,10.39,10.4,10.16,10.31,178500,"CDZI","NASDAQ"
2019-06-04,10.32,10.4,10.2,10.29,131800,"CDZI","NASDAQ"
2019-06-05,10.28,10.35,10.03,10.23,176000,"CDZI","NASDAQ"
2019-06-06,10.1798,10.3,9.91,10.24,236000,"CDZI","NASDAQ"
2019-06-07,10.25,10.38,10.14,10.16,196800,"CDZI","NASDAQ"
2019-06-10,10.2,10.2,10.1,10.14,196100,"CDZI","NASDAQ"
2019-06-11,10.15,10.24,10.038,10.22,186400,"CDZI","NASDAQ"
2019-06-12,10.15,10.27,10.08,10.2,211800,"CDZI","NASDAQ"
2019-06-13,10.22,10.26,10.1,10.24,238800,"CDZI","NASDAQ"
2019-06-14,10.22,10.3,10.17,10.25,173000,"CDZI","NASDAQ"
2019-06-17,10.3,10.34,10.25,10.32,101100,"CDZI","NASDAQ"
2019-06-18,10.4,10.575,10.26,10.34,123400,"CDZI","NASDAQ"
2019-06-19,10.31,10.4,10.3,10.36,78300,"CDZI","NASDAQ"
2019-06-20,10.41,10.6,10.4,10.51,131900,"CDZI","NASDAQ"
2019-06-21,10.5,10.72,10.47,10.66,139200,"CDZI","NASDAQ"
2019-06-24,10.65,10.85,10.6,10.73,182600,"CDZI","NASDAQ"
2019-06-25,10.61,10.76,10.61,10.73,120500,"CDZI","NASDAQ"
2019-06-26,10.76,10.91,10.72,10.83,142900,"CDZI","NASDAQ"
2019-06-27,10.85,10.95,10.85,10.94,141800,"CDZI","NASDAQ"
2019-06-28,10.88,11.39,10.88,11.25,1044700,"CDZI","NASDAQ"
2019-07-01,11.17,11.84,11.17,11.82,139700,"CDZI","NASDAQ"
2019-07-02,11.82,12.28,11.66,11.99,233900,"CDZI","NASDAQ"
2019-07-03,12.07,12.3,12.07,12.28,77900,"CDZI","NASDAQ"
2019-07-05,12.28,12.44,11.91,12.31,95800,"CDZI","NASDAQ"
2019-07-08,12.29,12.65,12.27,12.57,176900,"CDZI","NASDAQ"
2019-07-09,12.56,12.67,12.42,12.63,99200,"CDZI","NASDAQ"
2019-07-10,12.7,12.83,12.66,12.8,217500,"CDZI","NASDAQ"
2019-07-11,12.78,12.9,9.59,11,2132800,"CDZI","NASDAQ"
2019-07-12,11.09,11.21,10.83,10.94,461400,"CDZI","NASDAQ"
2019-07-15,10.94,11,9.69,10.61,510100,"CDZI","NASDAQ"
2019-07-16,10.67,10.9,10.47,10.61,361600,"CDZI","NASDAQ"
2019-07-17,10.8601,10.86,10.5,10.6,140100,"CDZI","NASDAQ"
2019-07-18,10.56,10.84,10.54,10.61,122600,"CDZI","NASDAQ"
2019-07-19,10.56,10.71,10.5,10.61,135700,"CDZI","NASDAQ"
2019-07-22,10.58,10.71,10.4,10.52,124600,"CDZI","NASDAQ"
2019-07-23,10.51,10.76,10.43,10.46,78200,"CDZI","NASDAQ"
2019-07-24,10.46,10.63,10.3,10.56,165000,"CDZI","NASDAQ"
2019-07-25,10.46,10.62,10.38,10.5,116700,"CDZI","NASDAQ"
