"times","open","high","low","close","volume","symbol","market"
2019-05-30,8.95,9.03,8.88,8.92,69900,"CECE","NASDAQ"
2019-05-31,8.8002,8.89,8.59,8.85,108700,"CECE","NASDAQ"
2019-06-03,8.82,9.32,8.81,9.2,306300,"CECE","NASDAQ"
2019-06-04,9.28,9.46,9.26,9.45,236400,"CECE","NASDAQ"
2019-06-05,9.5,9.59,9.2907,9.35,239700,"CECE","NASDAQ"
2019-06-06,9.4,9.42,8.96,8.98,91700,"CECE","NASDAQ"
2019-06-07,9.01,9.19,8.91,8.94,106600,"CECE","NASDAQ"
2019-06-10,8.96,9.14,8.51,8.74,268500,"CECE","NASDAQ"
2019-06-11,9.05,9.27,8.74,8.81,238900,"CECE","NASDAQ"
2019-06-12,8.95,9.4,8.79,9.16,228300,"CECE","NASDAQ"
2019-06-13,9.15,9.15,8.9302,9.02,143500,"CECE","NASDAQ"
2019-06-14,9.06,9.08,8.87,8.92,93800,"CECE","NASDAQ"
2019-06-17,8.92,8.92,8.77,8.86,106000,"CECE","NASDAQ"
2019-06-18,8.95,9.08,8.88,8.95,58400,"CECE","NASDAQ"
2019-06-19,8.91,8.93,8.8,8.88,57500,"CECE","NASDAQ"
2019-06-20,8.98,9.25,8.92,9.14,102600,"CECE","NASDAQ"
2019-06-21,9.1002,9.35,9.07,9.19,233300,"CECE","NASDAQ"
2019-06-24,9.18,9.255,9.05,9.19,123400,"CECE","NASDAQ"
2019-06-25,9.2,9.36,9.07,9.12,153900,"CECE","NASDAQ"
2019-06-26,9.14,9.2,9.06,9.16,81700,"CECE","NASDAQ"
2019-06-27,9.19,9.43,9.19,9.32,146000,"CECE","NASDAQ"
2019-06-28,9.32,9.63,9.217,9.59,356900,"CECE","NASDAQ"
2019-07-01,9.69,9.84,9.5,9.6,206500,"CECE","NASDAQ"
2019-07-02,9.66,9.66,9.36,9.44,117500,"CECE","NASDAQ"
2019-07-03,9.6,9.6,9.45,9.46,78000,"CECE","NASDAQ"
2019-07-05,9.4001,9.51,9.21,9.5,95800,"CECE","NASDAQ"
2019-07-08,9.6,9.73,9.5202,9.53,267300,"CECE","NASDAQ"
2019-07-09,9.5308,9.56,9.4,9.43,104100,"CECE","NASDAQ"
2019-07-10,9.43,9.5,9.3206,9.33,725400,"CECE","NASDAQ"
2019-07-11,9.33,9.42,9.2602,9.3,72700,"CECE","NASDAQ"
2019-07-12,9.25,9.5,9.25,9.33,110000,"CECE","NASDAQ"
2019-07-15,9.31,9.38,9.09,9.26,164100,"CECE","NASDAQ"
2019-07-16,9.25,9.36,9.07,9.14,136100,"CECE","NASDAQ"
2019-07-17,9.12,9.15,8.83,8.91,159600,"CECE","NASDAQ"
2019-07-18,8.8896,8.97,8.81,8.93,100500,"CECE","NASDAQ"
2019-07-19,8.88,8.96,8.86,8.87,53900,"CECE","NASDAQ"
2019-07-22,8.88,8.98,8.85,8.88,52600,"CECE","NASDAQ"
2019-07-23,8.94,8.94,8.67,8.75,99700,"CECE","NASDAQ"
2019-07-24,8.71,9,8.62,8.99,78700,"CECE","NASDAQ"
2019-07-25,9.02,9.15,8.92,8.98,190100,"CECE","NASDAQ"
2019-07-26,9.02,9.1,8.87,8.99,160600,"CECE","NASDAQ"
2019-07-29,8.9905,9.16,8.92,8.95,107800,"CECE","NASDAQ"
2019-07-30,8.9002,9.03,8.77,8.98,96900,"CECE","NASDAQ"
2019-07-31,8.95,9.51,8.95,9.23,272300,"CECE","NASDAQ"
2019-08-01,9.19,9.51,9.07,9.12,158100,"CECE","NASDAQ"
2019-08-02,9.09,9.11,8.88,9.02,91500,"CECE","NASDAQ"
2019-08-05,8.89,8.96,8.53,8.62,116300,"CECE","NASDAQ"
2019-08-06,8.51,8.71,7.49,8.17,394000,"CECE","NASDAQ"
2019-08-07,8.13,8.17,7.81,7.94,185700,"CECE","NASDAQ"
2019-08-08,7.92,7.92,7.69,7.72,160900,"CECE","NASDAQ"
2019-08-09,8.01,8.01,7.66,7.7,120700,"CECE","NASDAQ"
2019-08-12,7.55,7.62,7.37,7.56,168600,"CECE","NASDAQ"
2019-08-13,7.57,7.57,7.37,7.37,90500,"CECE","NASDAQ"
2019-08-14,7.28,7.35,7.02,7.02,157200,"CECE","NASDAQ"
2019-08-15,7.06,7.11,6.89,6.97,98100,"CECE","NASDAQ"
2019-08-16,7.02,7.07,6.95,7.03,91100,"CECE","NASDAQ"
2019-08-19,7.1,7.18,7.04,7.07,105500,"CECE","NASDAQ"
2019-08-20,7.06,7.11,7.01,7.05,155200,"CECE","NASDAQ"
2019-08-21,7.11,7.27,7.05,7.07,161400,"CECE","NASDAQ"
2019-08-22,7.09,7.19,7.04,7.14,143100,"CECE","NASDAQ"
2019-08-23,7.1,7.12,7.01,7.02,223200,"CECE","NASDAQ"
2019-08-26,7.09,7.09,6.95,6.98,135400,"CECE","NASDAQ"
2019-08-27,7.06,7.06,6.66,6.77,168600,"CECE","NASDAQ"
