"times","open","high","low","close","volume","symbol","market"
2019-05-30,6.49,6.545,6.3,6.43,21800,"CEMI","NASDAQ"
2019-05-31,6.58,6.68,6.32,6.65,12700,"CEMI","NASDAQ"
2019-06-03,6.6998,6.82,6.54,6.78,14700,"CEMI","NASDAQ"
2019-06-04,6.78,6.87,6.6,6.71,27900,"CEMI","NASDAQ"
2019-06-05,6.71,7,6.276,7,20500,"CEMI","NASDAQ"
2019-06-06,6.8,6.8,6.58,6.72,15700,"CEMI","NASDAQ"
2019-06-07,6.42,6.545,6.3,6.54,47900,"CEMI","NASDAQ"
2019-06-10,6.3,6.61,6.01,6.22,22900,"CEMI","NASDAQ"
2019-06-11,6.27,6.48,6.22,6.35,23200,"CEMI","NASDAQ"
2019-06-12,6.29,6.549,6.01,6.1,29100,"CEMI","NASDAQ"
2019-06-13,6.15,6.15,5.94,5.97,50400,"CEMI","NASDAQ"
2019-06-14,5.99,6.01,5.933,6,17000,"CEMI","NASDAQ"
2019-06-17,5.9601,6.01,5.728,5.73,35100,"CEMI","NASDAQ"
2019-06-18,5.73,5.82,5.7,5.8,29600,"CEMI","NASDAQ"
2019-06-19,5.84,6.25,5.7,6.11,58800,"CEMI","NASDAQ"
2019-06-20,6.16,6.23,5.74,5.86,38600,"CEMI","NASDAQ"
2019-06-21,5.895,5.9,5.73,5.83,98300,"CEMI","NASDAQ"
2019-06-24,5.89,6.05,5.86,5.96,29100,"CEMI","NASDAQ"
2019-06-25,6.152,6.152,5.85,5.92,16500,"CEMI","NASDAQ"
2019-06-26,6.18,6.18,5.4603,5.69,57300,"CEMI","NASDAQ"
2019-06-27,5.76,6.17,5.6,6.17,42900,"CEMI","NASDAQ"
2019-06-28,6.03,6.12,5.96,6.09,20800,"CEMI","NASDAQ"
2019-07-01,6.24,6.5,6.03,6.24,27400,"CEMI","NASDAQ"
2019-07-02,6.2,6.1999,5.9,5.94,51300,"CEMI","NASDAQ"
2019-07-03,5.911,6.03,5.911,5.94,8600,"CEMI","NASDAQ"
2019-07-05,5.53,6.149,5.5298,5.78,10700,"CEMI","NASDAQ"
2019-07-08,5.74,5.92,5.49,5.66,20000,"CEMI","NASDAQ"
2019-07-09,5.65,5.93,5.65,5.93,7800,"CEMI","NASDAQ"
2019-07-10,5.88,6,5.78,5.88,30700,"CEMI","NASDAQ"
2019-07-11,5.83,5.99,5.75,5.99,6800,"CEMI","NASDAQ"
