"times","open","high","low","close","volume","symbol","market"
2019-05-30,23.185,23.24,23.183,23.19,2000,"CEY","NASDAQ"
2019-05-31,23.293,23.415,23.293,23.415,12900,"CEY","NASDAQ"
2019-06-03,23.57,23.639,23.5411,23.55,11500,"CEY","NASDAQ"
2019-06-04,23.57,23.67,23.47,23.47,3800,"CEY","NASDAQ"
2019-06-05,23.71,23.71,23.53,23.53,8700,"CEY","NASDAQ"
2019-06-06,23.513,23.61,23.513,23.61,3500,"CEY","NASDAQ"
2019-06-07,23.794,23.91,23.733,23.83,8300,"CEY","NASDAQ"
2019-06-10,23.851,23.93,23.829,23.829,6700,"CEY","NASDAQ"
2019-06-11,24.13,24.15,24.065,24.076,9100,"CEY","NASDAQ"
2019-06-12,24.01,24.01,23.89,23.912,4200,"CEY","NASDAQ"
2019-06-13,23.79,23.81,23.733,23.74,13300,"CEY","NASDAQ"
2019-06-14,23.69,23.71,23.5707,23.57,8200,"CEY","NASDAQ"
2019-06-17,23.7114,23.71,23.63,23.67,9900,"CEY","NASDAQ"
2019-06-18,24.1,24.15,24.056,24.15,3100,"CEY","NASDAQ"
2019-06-19,24.17,24.335,24.116,24.333,4700,"CEY","NASDAQ"
2019-06-20,24.598,24.68,24.598,24.645,9200,"CEY","NASDAQ"
2019-06-21,24.53,24.53,24.43,24.43,1000,"CEY","NASDAQ"
2019-06-24,24.5,24.64,24.47,24.47,21800,"CEY","NASDAQ"
2019-06-25,24.422,24.46,24.32,24.32,4900,"CEY","NASDAQ"
2019-06-26,24.496,24.64,24.496,24.578,8300,"CEY","NASDAQ"
2019-06-27,24.66,24.66,24.64,24.64,2900,"CEY","NASDAQ"
2019-06-28,24.7,24.7,24.54,24.54,6600,"CEY","NASDAQ"
2019-07-01,24.92,24.92,24.691,24.72,10900,"CEY","NASDAQ"
2019-07-02,24.625,24.71,24.625,24.71,4900,"CEY","NASDAQ"
2019-07-03,24.603,24.657,24.603,24.657,1200,"CEY","NASDAQ"
2019-07-05,24.426,24.5,24.42,24.5,1700,"CEY","NASDAQ"
2019-07-08,24.45,24.53,24.45,24.492,2200,"CEY","NASDAQ"
2019-07-09,24.35,24.43,24.33,24.384,16400,"CEY","NASDAQ"
2019-07-10,24.6,24.73,24.52,24.57,9300,"CEY","NASDAQ"
2019-07-11,24.71,24.71,24.559,24.595,4500,"CEY","NASDAQ"
2019-07-12,24.5689,24.578,24.47,24.578,6200,"CEY","NASDAQ"
2019-07-15,24.64,24.68,24.618,24.63,6000,"CEY","NASDAQ"
2019-07-16,24.73,24.75,24.59,24.59,3200,"CEY","NASDAQ"
