"times","open","high","low","close","volume","symbol","market"
2019-05-30,24.756,24.761,24.7,24.727,3600,"CEZ","NASDAQ"
2019-05-31,24.927,24.927,24.927,24.927,900,"CEZ","NASDAQ"
2019-06-03,24.927,24.927,24.927,24.927,0,"CEZ","NASDAQ"
2019-06-04,25.129,25.18,25.129,25.18,300,"CEZ","NASDAQ"
2019-06-05,25.11,25.11,25.07,25.07,900,"CEZ","NASDAQ"
2019-06-06,25.01,25.01,25.0094,25.01,300,"CEZ","NASDAQ"
2019-06-07,25.245,25.25,25.245,25.25,400,"CEZ","NASDAQ"
2019-06-10,25.3,25.34,25.3,25.34,400,"CEZ","NASDAQ"
2019-06-11,25.34,25.34,25.34,25.34,100,"CEZ","NASDAQ"
2019-06-12,25.34,25.34,25.34,25.34,0,"CEZ","NASDAQ"
2019-06-13,25.34,25.34,25.34,25.34,0,"CEZ","NASDAQ"
2019-06-14,25.18,25.18,25.057,25.057,700,"CEZ","NASDAQ"
2019-06-17,25.079,25.09,25.079,25.09,4900,"CEZ","NASDAQ"
2019-06-18,25.457,25.516,25.43,25.49,3700,"CEZ","NASDAQ"
2019-06-19,25.539,25.737,25.539,25.737,2800,"CEZ","NASDAQ"
2019-06-20,25.737,25.737,25.737,25.737,100,"CEZ","NASDAQ"
2019-06-21,25.861,25.898,25.86,25.898,1800,"CEZ","NASDAQ"
2019-06-24,25.895,25.895,25.895,25.895,200,"CEZ","NASDAQ"
2019-06-25,25.843,25.91,25.764,25.764,4900,"CEZ","NASDAQ"
2019-06-26,25.88,25.925,25.87,25.87,5100,"CEZ","NASDAQ"
2019-06-27,25.931,26.02,25.93,26.02,800,"CEZ","NASDAQ"
2019-06-28,26.0219,26.02,26.02,26.02,100,"CEZ","NASDAQ"
2019-07-01,26.14,26.14,26.14,26.14,300,"CEZ","NASDAQ"
2019-07-02,26.17,26.17,26.17,26.17,200,"CEZ","NASDAQ"
2019-07-03,26.1544,26.19,26.152,26.19,300,"CEZ","NASDAQ"
2019-07-05,25.977,25.981,25.977,25.981,300,"CEZ","NASDAQ"
2019-07-08,25.875,25.97,25.875,25.97,1600,"CEZ","NASDAQ"
2019-07-09,25.899,25.899,25.79,25.87,12200,"CEZ","NASDAQ"
2019-07-10,26.05,26.072,26.05,26.072,6200,"CEZ","NASDAQ"
2019-07-11,26.058,26.058,26.04,26.04,500,"CEZ","NASDAQ"
2019-07-12,25.959,25.96,25.959,25.96,1600,"CEZ","NASDAQ"
2019-07-15,26.04,26.1,26.04,26.1,1100,"CEZ","NASDAQ"
2019-07-16,26.111,26.111,26.113,26.111,300,"CEZ","NASDAQ"
2019-07-17,25.8804,25.88,25.88,25.88,400,"CEZ","NASDAQ"
2019-07-18,25.95,26.43,25.881,26.36,1349800,"CEZ","NASDAQ"
2019-07-19,26.3,26.3,26.14,26.14,4500,"CEZ","NASDAQ"
2019-07-22,26.09,26.16,26.09,26.139,1400,"CEZ","NASDAQ"
2019-07-23,26.08,26.08,25.92,25.92,2100,"CEZ","NASDAQ"
2019-07-24,26.05,26.05,25.96,25.96,1800,"CEZ","NASDAQ"
2019-07-25,25.851,25.851,25.81,25.81,800,"CEZ","NASDAQ"
