"times","open","high","low","close","volume","symbol","market"
2019-08-15,14.5,15.5,14.25,14.68,800700,"CFB","NASDAQ"
2019-08-16,14.63,14.85,14.28,14.65,317300,"CFB","NASDAQ"
2019-08-19,14.66,14.81,14.5,14.69,270600,"CFB","NASDAQ"
2019-08-20,14.63,14.7,14.51,14.56,191400,"CFB","NASDAQ"
2019-08-21,14.56,14.76,14.4,14.5,222400,"CFB","NASDAQ"
2019-08-22,14.52,14.75,14.5,14.63,55200,"CFB","NASDAQ"
2019-08-23,14.46,14.7,14.25,14.34,128700,"CFB","NASDAQ"
2019-08-26,14.5,14.627,14.5,14.5,93400,"CFB","NASDAQ"
2019-08-27,14.45,14.55,14.26,14.55,130700,"CFB","NASDAQ"
2019-08-28,14.5,14.68,14.25,14.62,104300,"CFB","NASDAQ"
2019-08-29,14.57,14.62,14.36,14.5,108200,"CFB","NASDAQ"
2019-08-30,14.58,14.58,14.25,14.55,106300,"CFB","NASDAQ"
2019-09-03,14.47,14.58,14.35,14.53,135900,"CFB","NASDAQ"
2019-09-04,14.55,14.65,14.35,14.56,100800,"CFB","NASDAQ"
2019-09-05,14.68,14.68,14,14.6,105600,"CFB","NASDAQ"
2019-09-06,14.6,14.6,14.05,14.5,53200,"CFB","NASDAQ"
2019-09-09,14.46,14.58,14.34,14.52,149800,"CFB","NASDAQ"
2019-09-10,14.55,14.58,14.37,14.51,90700,"CFB","NASDAQ"
2019-09-11,14.51,14.59,14.02,14.59,73800,"CFB","NASDAQ"
2019-09-12,14.59,14.64,14.491,14.5,180800,"CFB","NASDAQ"
2019-09-13,14.5,14.59,14.5,14.56,74500,"CFB","NASDAQ"
2019-09-16,14.56,14.59,14.12,14.36,116400,"CFB","NASDAQ"
2019-09-17,14.3,14.36,13.89,14.05,73800,"CFB","NASDAQ"
2019-09-18,13.99,14.37,13.99,14.18,188200,"CFB","NASDAQ"
2019-09-19,14.19,14.37,12.83,14.32,158000,"CFB","NASDAQ"
2019-09-20,14.3,14.475,14.2,14.27,927000,"CFB","NASDAQ"
2019-09-23,14.24,14.45,13.855,14.12,126700,"CFB","NASDAQ"
2019-09-24,14.16,14.34,13.95,14.05,78700,"CFB","NASDAQ"
2019-09-25,13.94,14.13,13.41,14.06,89000,"CFB","NASDAQ"
2019-09-26,14,14.05,13.93,14.02,86100,"CFB","NASDAQ"
2019-09-27,13.89,13.96,11.11,13.85,221400,"CFB","NASDAQ"
2019-09-30,13.85,14.33,13.46,14.305,108400,"CFB","NASDAQ"
2019-10-01,14.22,14.4,13.935,14.06,85800,"CFB","NASDAQ"
2019-10-02,14,14.09,13.621,13.84,119900,"CFB","NASDAQ"
2019-10-03,13.84,13.96,12.95,13.36,117200,"CFB","NASDAQ"
2019-10-04,13.4,13.45,13.113,13.41,47100,"CFB","NASDAQ"
2019-10-07,13.15,13.42,13.15,13.36,44800,"CFB","NASDAQ"
2019-10-08,13.3,13.32,13.03,13.05,36100,"CFB","NASDAQ"
2019-10-09,13.07,13.07,12.66,12.7,43600,"CFB","NASDAQ"
2019-10-10,12.7,12.8,12.695,12.74,57900,"CFB","NASDAQ"
2019-10-11,12.74,13,12.74,12.85,97300,"CFB","NASDAQ"
2019-10-14,12.85,12.9,12.7,12.84,80000,"CFB","NASDAQ"
2019-10-15,12.84,13.09,12.77,12.89,135500,"CFB","NASDAQ"
2019-10-16,12.87,12.89,12.3,12.53,29600,"CFB","NASDAQ"
2019-10-17,12.56,12.56,12.27,12.34,28300,"CFB","NASDAQ"
2019-10-18,12.24,12.4752,12.2,12.38,55484,"CFB","NASDAQ"
