"times","open","high","low","close","volume","symbol","market"
2019-05-30,10.018,10.022,10,10.02,6700,"CFBI","NASDAQ"
2019-05-31,10.02,10.02,10.02,10.02,700,"CFBI","NASDAQ"
2019-06-03,9.983,10,9.972,10,1300,"CFBI","NASDAQ"
2019-06-04,10,10.05,10,10,5500,"CFBI","NASDAQ"
2019-06-05,10.009,10.0106,10,10.01,400,"CFBI","NASDAQ"
2019-06-06,10.02,10.1,10.0001,10.1,2100,"CFBI","NASDAQ"
2019-06-07,10.05,10.069,9.98,9.98,13900,"CFBI","NASDAQ"
2019-06-10,9.8303,9.98,9.83,9.9,3700,"CFBI","NASDAQ"
2019-06-11,9.9,9.9397,9.9,9.92,2800,"CFBI","NASDAQ"
2019-06-12,9.95,9.99,9.95,9.99,2400,"CFBI","NASDAQ"
2019-06-13,10,10.07,10,10.06,10100,"CFBI","NASDAQ"
2019-06-14,10.01,10.05,10.01,10.035,1900,"CFBI","NASDAQ"
2019-06-17,9.96,10.09,9.96,10.09,5600,"CFBI","NASDAQ"
2019-06-18,10.09,10.09,10.09,10.09,100,"CFBI","NASDAQ"
2019-06-19,10,10.01,9.99,10.01,2200,"CFBI","NASDAQ"
2019-06-20,9.98,9.98,9.979,9.98,1100,"CFBI","NASDAQ"
2019-06-21,9.92,10,9.92,10,1200,"CFBI","NASDAQ"
2019-06-24,9.98,10.06,9.98,10.06,600,"CFBI","NASDAQ"
2019-06-25,9.93,10.15,9.93,10.15,2500,"CFBI","NASDAQ"
2019-06-26,9.95,10.07,9.933,10.07,1700,"CFBI","NASDAQ"
2019-06-27,10.09,10.19,9.925,10.07,4700,"CFBI","NASDAQ"
2019-06-28,10.02,10.19,9.93,9.93,17000,"CFBI","NASDAQ"
2019-07-01,9.93,10.1,9.93,9.95,900,"CFBI","NASDAQ"
2019-07-02,9.932,9.95,9.93,9.95,800,"CFBI","NASDAQ"
2019-07-03,9.95,9.95,9.925,9.925,2100,"CFBI","NASDAQ"
2019-07-05,9.91,9.937,9.91,9.924,6200,"CFBI","NASDAQ"
2019-07-08,9.94,9.99,9.94,9.945,7800,"CFBI","NASDAQ"
2019-07-09,10.012,10.012,9.94,9.952,1400,"CFBI","NASDAQ"
2019-07-10,9.96,9.97,9.94,9.96,17900,"CFBI","NASDAQ"
2019-07-11,10.09,10.09,9.9892,9.99,500,"CFBI","NASDAQ"
2019-07-12,9.9999,10.07,9.96,9.96,6300,"CFBI","NASDAQ"
2019-07-15,9.96,9.97,9.96,9.97,800,"CFBI","NASDAQ"
2019-07-16,9.97,10.01,9.91,9.97,46300,"CFBI","NASDAQ"
2019-07-17,9.91,10,9.91,9.95,21800,"CFBI","NASDAQ"
2019-07-18,9.95,9.97,9.93,9.93,11900,"CFBI","NASDAQ"
2019-07-19,9.933,9.94,9.93,9.94,12900,"CFBI","NASDAQ"
2019-07-22,9.98,9.98,9.95,9.96,1000,"CFBI","NASDAQ"
2019-07-23,9.95,9.97,9.95,9.97,400,"CFBI","NASDAQ"
2019-07-24,9.95,9.95,9.95,9.95,300,"CFBI","NASDAQ"
