"times","open","high","low","close","volume","symbol","market"
2019-05-30,47.47,47.715,46.85,47.5,5700,"CFFI","NASDAQ"
2019-05-31,46.283,48.64,46.283,48.06,5600,"CFFI","NASDAQ"
2019-06-03,48.54,48.74,47.76,48.74,8800,"CFFI","NASDAQ"
2019-06-04,48.87,49.19,48.5,49.16,7200,"CFFI","NASDAQ"
2019-06-05,48.6009,49.5,48.6,49,2700,"CFFI","NASDAQ"
2019-06-06,49.985,50,49.67,49.8,4800,"CFFI","NASDAQ"
2019-06-07,49.52,50.03,49.5,49.95,4500,"CFFI","NASDAQ"
2019-06-10,49.6,50.645,49.6,50.43,5100,"CFFI","NASDAQ"
2019-06-11,50.2627,50.58,50.1,50.58,5600,"CFFI","NASDAQ"
2019-06-12,50.6,50.6,50.6,50.6,1900,"CFFI","NASDAQ"
2019-06-13,50.22,50.99,49.8,50.78,5700,"CFFI","NASDAQ"
2019-06-14,50.4519,50.53,50.25,50.25,5700,"CFFI","NASDAQ"
2019-06-17,49.85,50.58,49.85,50.58,900,"CFFI","NASDAQ"
2019-06-18,50.16,50.93,50.16,50.93,800,"CFFI","NASDAQ"
2019-06-19,51.121,51.4266,51.121,51.4,1600,"CFFI","NASDAQ"
2019-06-20,51.07,51.6,50.646,50.8,5000,"CFFI","NASDAQ"
2019-06-21,50.57,52,50.57,52,8400,"CFFI","NASDAQ"
2019-06-24,51.78,51.962,50.9,50.9,8300,"CFFI","NASDAQ"
2019-06-25,50.905,50.905,50.24,50.3,5100,"CFFI","NASDAQ"
2019-06-26,50.73,51.97,50.01,50.05,2300,"CFFI","NASDAQ"
2019-06-27,49.1,50.98,49.1,50.97,7300,"CFFI","NASDAQ"
2019-06-28,51,54.61,51.0019,54.61,21300,"CFFI","NASDAQ"
2019-07-01,54.2,54.2,52.25,53.44,11200,"CFFI","NASDAQ"
2019-07-02,54.16,54.16,52.514,53,11900,"CFFI","NASDAQ"
2019-07-03,53.99,54,52.695,52.695,1700,"CFFI","NASDAQ"
2019-07-05,53.6,53.95,52.98,53.95,2500,"CFFI","NASDAQ"
2019-07-08,53.89,53.9,53.26,53.4,2700,"CFFI","NASDAQ"
2019-07-09,53.34,53.68,52.31,52.8,3300,"CFFI","NASDAQ"
2019-07-10,53.29,53.97,53.29,53.91,3000,"CFFI","NASDAQ"
2019-07-11,54,54.08,53.78,54.04,2500,"CFFI","NASDAQ"
2019-07-12,53.99,54.25,53,53.82,3700,"CFFI","NASDAQ"
2019-07-15,53,53.25,52.4,52.4,9900,"CFFI","NASDAQ"
2019-07-16,51.65,51.7,50.52,51.07,9800,"CFFI","NASDAQ"
2019-07-17,51,52.28,50.61,50.61,3200,"CFFI","NASDAQ"
2019-07-18,50.79,51.26,50.34,50.34,2300,"CFFI","NASDAQ"
2019-07-19,50.22,51.54,50.06,50.32,2800,"CFFI","NASDAQ"
2019-07-22,51.55,51.55,50.43,51,3600,"CFFI","NASDAQ"
2019-07-23,50.5,51.4,50.5,51.25,2400,"CFFI","NASDAQ"
2019-07-24,51.44,52.55,51.44,51.84,3700,"CFFI","NASDAQ"
2019-07-25,52.04,53.13,52.04,52.5,2600,"CFFI","NASDAQ"
2019-07-26,51.99,54.97,51.99,54.38,7100,"CFFI","NASDAQ"
2019-07-29,54.1894,54.7,53.84,54.7,8700,"CFFI","NASDAQ"
2019-07-30,54.41,55.66,53.84,55.35,5400,"CFFI","NASDAQ"
2019-07-31,55.5,56,54.3,54.3,9100,"CFFI","NASDAQ"
2019-08-01,54.7462,55.92,53.73,53.93,4800,"CFFI","NASDAQ"
2019-08-02,54.79,54.88,53.25,53.94,3600,"CFFI","NASDAQ"
2019-08-05,52.68,52.75,52.68,52.68,3600,"CFFI","NASDAQ"
2019-08-06,52.46,53.16,52.46,52.62,2400,"CFFI","NASDAQ"
2019-08-07,53,53.94,53,53.05,1900,"CFFI","NASDAQ"
2019-08-08,53.3,54.99,53.3,53.35,3200,"CFFI","NASDAQ"
2019-08-09,53.64,53.64,53.38,53.38,1700,"CFFI","NASDAQ"
2019-08-12,52.45,52.4471,52.16,52.16,1900,"CFFI","NASDAQ"
2019-08-13,51.46,52.02,51.46,51.79,1100,"CFFI","NASDAQ"
2019-08-14,50.75,50.95,47.74,47.99,5300,"CFFI","NASDAQ"
2019-08-15,47.81,47.81,47.3987,47.4,3100,"CFFI","NASDAQ"
2019-08-16,47.83,47.83,46.04,46.04,11500,"CFFI","NASDAQ"
2019-08-19,46.44,47,46.18,46.59,11600,"CFFI","NASDAQ"
2019-08-20,46.84,46.94,46.05,46.94,3400,"CFFI","NASDAQ"
2019-08-21,46.45,47.99,46.45,47.53,3600,"CFFI","NASDAQ"
2019-08-22,47.36,48.55,47.36,47.41,3200,"CFFI","NASDAQ"
2019-08-23,47.86,47.86,45.66,45.66,7100,"CFFI","NASDAQ"
2019-08-26,46.15,47.14,45.75,46.28,4100,"CFFI","NASDAQ"
2019-08-27,46.78,47.23,46.38,46.76,6000,"CFFI","NASDAQ"
2019-08-28,47.45,47.5,47.09,47.38,2600,"CFFI","NASDAQ"
2019-08-29,47.79,48.26,47.12,47.12,3700,"CFFI","NASDAQ"
2019-08-30,47.4,47.4,47.4,47.4,1200,"CFFI","NASDAQ"
2019-09-03,48.03,48.03,46.57,46.71,3600,"CFFI","NASDAQ"
2019-09-04,46.88,47.11,46.88,47.11,700,"CFFI","NASDAQ"
2019-09-05,47.12,47.24,46.82,46.82,4100,"CFFI","NASDAQ"
2019-09-06,47.39,49.44,47.2,48.8,4900,"CFFI","NASDAQ"
2019-09-09,48.58,48.58,48.19,48.19,2600,"CFFI","NASDAQ"
2019-09-10,48.26,49.26,47.44,48.56,3800,"CFFI","NASDAQ"
2019-09-11,48.46,51.21,48.32,50.29,6500,"CFFI","NASDAQ"
2019-09-12,49.02,52.1,48.99,52,9300,"CFFI","NASDAQ"
