"times","open","high","low","close","volume","symbol","market"
2019-05-30,13.41,13.45,13.07,13.2,347400,"CFFN","NASDAQ"
2019-05-31,13.11,13.2795,13.11,13.28,264300,"CFFN","NASDAQ"
2019-06-03,13.28,13.39,13.19,13.29,299400,"CFFN","NASDAQ"
2019-06-04,13.4,13.7,13.33,13.69,285600,"CFFN","NASDAQ"
2019-06-05,13.69,13.72,13.51,13.7,312500,"CFFN","NASDAQ"
2019-06-06,13.68,13.72,13.51,13.71,232700,"CFFN","NASDAQ"
2019-06-07,13.71,13.71,13.58,13.61,191800,"CFFN","NASDAQ"
2019-06-10,13.64,13.75,13.5388,13.6,206100,"CFFN","NASDAQ"
2019-06-11,13.64,13.79,13.62,13.78,293100,"CFFN","NASDAQ"
2019-06-12,13.77,13.83,13.7,13.77,215900,"CFFN","NASDAQ"
2019-06-13,13.65,13.67,13.53,13.57,2e+05,"CFFN","NASDAQ"
2019-06-14,13.55,13.64,13.5,13.51,165900,"CFFN","NASDAQ"
2019-06-17,13.52,13.57,13.4,13.45,203600,"CFFN","NASDAQ"
2019-06-18,13.46,13.63,13.43,13.45,289500,"CFFN","NASDAQ"
2019-06-19,13.45,13.56,13.425,13.44,230800,"CFFN","NASDAQ"
2019-06-20,13.47,13.615,13.385,13.6,296700,"CFFN","NASDAQ"
2019-06-21,13.52,13.59,13.02,13.27,768300,"CFFN","NASDAQ"
2019-06-24,13.29,13.39,13.24,13.25,318600,"CFFN","NASDAQ"
2019-06-25,13.26,13.52,13.23,13.39,369500,"CFFN","NASDAQ"
2019-06-26,13.42,13.525,13.27,13.28,556900,"CFFN","NASDAQ"
2019-06-27,13.31,13.59,13.31,13.59,259300,"CFFN","NASDAQ"
2019-06-28,13.7,13.86,13.666,13.77,734300,"CFFN","NASDAQ"
2019-07-01,13.8207,13.87,13.52,13.6,572200,"CFFN","NASDAQ"
2019-07-02,13.6,13.71,13.34,13.43,437400,"CFFN","NASDAQ"
2019-07-03,13.49,13.68,13.48,13.64,117300,"CFFN","NASDAQ"
2019-07-05,13.64,13.85,13.59,13.82,333900,"CFFN","NASDAQ"
2019-07-08,13.82,13.9204,13.63,13.68,172800,"CFFN","NASDAQ"
2019-07-09,13.66,13.71,13.57,13.69,139500,"CFFN","NASDAQ"
2019-07-10,13.7,13.75,13.62,13.68,189700,"CFFN","NASDAQ"
2019-07-11,13.71,13.76,13.61,13.75,186300,"CFFN","NASDAQ"
2019-07-12,13.78,13.87,13.68,13.78,213800,"CFFN","NASDAQ"
2019-07-15,13.8,13.8,13.66,13.7,240900,"CFFN","NASDAQ"
2019-07-16,13.7,13.73,13.6,13.65,153700,"CFFN","NASDAQ"
2019-07-17,13.62,13.81,13.58,13.77,264100,"CFFN","NASDAQ"
2019-07-18,13.78,13.9,13.77,13.82,225500,"CFFN","NASDAQ"
2019-07-19,13.75,13.88,13.69,13.77,174400,"CFFN","NASDAQ"
2019-07-22,13.77,13.88,13.59,13.72,134900,"CFFN","NASDAQ"
2019-07-23,13.74,13.86,13.68,13.86,240500,"CFFN","NASDAQ"
2019-07-24,13.77,14.03,13.71,14.01,433400,"CFFN","NASDAQ"
2019-07-25,14.01,14.08,13.92,13.94,213100,"CFFN","NASDAQ"
2019-07-26,13.95,14.14,13.94,14.08,262800,"CFFN","NASDAQ"
2019-07-29,14.05,14.18,14.05,14.06,237400,"CFFN","NASDAQ"
2019-07-30,14,14.16,13.62,13.78,380200,"CFFN","NASDAQ"
2019-07-31,13.76,13.9,13.65,13.66,471500,"CFFN","NASDAQ"
2019-08-01,13.51,13.65,13.12,13.13,409500,"CFFN","NASDAQ"
2019-08-02,13.13,13.3,13.05,13.21,286800,"CFFN","NASDAQ"
2019-08-05,13.06,13.15,12.9,13,408900,"CFFN","NASDAQ"
2019-08-06,13.05,13.15,12.94,13.13,337700,"CFFN","NASDAQ"
2019-08-07,13.03,13.28,12.91,13.23,292700,"CFFN","NASDAQ"
2019-08-08,13.27,13.56,13.27,13.36,342400,"CFFN","NASDAQ"
2019-08-09,13.38,13.3798,13.23,13.24,238200,"CFFN","NASDAQ"
2019-08-12,13.2,13.39,13.17,13.35,137400,"CFFN","NASDAQ"
2019-08-13,13.34,13.59,13.34,13.43,255100,"CFFN","NASDAQ"
2019-08-14,13.29,13.37,13.23,13.33,228900,"CFFN","NASDAQ"
2019-08-15,13.36,13.44,13.19,13.29,156500,"CFFN","NASDAQ"
2019-08-16,13.35,13.54,13.3,13.46,233500,"CFFN","NASDAQ"
2019-08-19,13.59,13.67,13.48,13.55,260300,"CFFN","NASDAQ"
2019-08-20,13.57,13.57,13.33,13.44,145800,"CFFN","NASDAQ"
2019-08-21,13.55,13.55,13.37,13.49,175100,"CFFN","NASDAQ"
2019-08-22,13.6,13.61,13.45,13.52,160400,"CFFN","NASDAQ"
2019-08-23,13.49,13.59,13.11,13.16,317400,"CFFN","NASDAQ"
2019-08-26,13.26,13.39,13.2,13.38,145200,"CFFN","NASDAQ"
2019-08-27,13.45,13.47,13.11,13.12,254400,"CFFN","NASDAQ"
2019-08-28,13.11,13.41,13.11,13.28,220900,"CFFN","NASDAQ"
2019-08-29,13.37,13.56,13.36,13.45,219900,"CFFN","NASDAQ"
2019-08-30,13.5,13.51,13.4,13.47,209400,"CFFN","NASDAQ"
2019-09-03,13.44,13.47,13.22,13.39,228200,"CFFN","NASDAQ"
2019-09-04,13.47,13.47,13.23,13.25,203200,"CFFN","NASDAQ"
2019-09-05,13.4,13.68,13.38,13.51,238000,"CFFN","NASDAQ"
2019-09-06,13.5,13.58,13.33,13.34,169100,"CFFN","NASDAQ"
2019-09-09,13.41,13.67,13.37,13.65,206100,"CFFN","NASDAQ"
2019-09-10,13.68,13.71,13.51,13.65,226900,"CFFN","NASDAQ"
2019-09-11,13.72,13.91,13.57,13.9,403200,"CFFN","NASDAQ"
2019-09-12,13.86,14.14,13.77,14.11,370000,"CFFN","NASDAQ"
2019-09-13,14.18,14.24,14.09,14.11,324400,"CFFN","NASDAQ"
2019-09-16,14,14.13,13.93,13.94,258100,"CFFN","NASDAQ"
2019-09-17,13.87,14.04,13.74,14.04,251500,"CFFN","NASDAQ"
2019-09-18,14.03,14.13,13.95,13.98,263200,"CFFN","NASDAQ"
2019-09-19,14.03,14.22,13.95,13.96,218100,"CFFN","NASDAQ"
2019-09-20,13.94,14.15,13.94,14.04,643800,"CFFN","NASDAQ"
2019-09-23,13.98,14.09,13.9,14.04,228100,"CFFN","NASDAQ"
2019-09-24,14.04,14.05,13.77,13.83,311000,"CFFN","NASDAQ"
2019-09-25,13.89,14.1,13.87,14.04,356100,"CFFN","NASDAQ"
2019-09-26,14.01,14.06,13.87,13.89,216900,"CFFN","NASDAQ"
2019-09-27,13.94,14.05,13.86,13.89,225800,"CFFN","NASDAQ"
2019-09-30,13.91,13.97,13.76,13.78,308900,"CFFN","NASDAQ"
