"times","open","high","low","close","volume","symbol","market"
2019-05-30,0.4,0.425,0.39,0.422,339400,"CFRX","NASDAQ"
2019-05-31,0.43,0.45,0.403,0.418,402900,"CFRX","NASDAQ"
2019-06-03,0.425,0.448,0.402,0.41,140600,"CFRX","NASDAQ"
2019-06-04,0.43,0.43,0.4,0.407,69200,"CFRX","NASDAQ"
2019-06-05,0.412,0.43,0.412,0.412,36100,"CFRX","NASDAQ"
2019-06-06,0.49,0.67,0.45,0.46,16588600,"CFRX","NASDAQ"
2019-06-07,0.5,0.5,0.413,0.429,1121200,"CFRX","NASDAQ"
2019-06-10,0.414,0.436,0.41,0.422,418900,"CFRX","NASDAQ"
2019-06-11,0.45,0.57,0.431,0.505,2830600,"CFRX","NASDAQ"
2019-06-12,0.53,0.56,0.463,0.49,506200,"CFRX","NASDAQ"
2019-06-13,0.49,0.49,0.464,0.465,297300,"CFRX","NASDAQ"
2019-06-14,0.455,0.48,0.45,0.468,218800,"CFRX","NASDAQ"
2019-06-17,0.468,0.499,0.468,0.469,192400,"CFRX","NASDAQ"
2019-06-18,0.472,0.493,0.472,0.485,154000,"CFRX","NASDAQ"
2019-06-19,0.485,0.53,0.47,0.472,329000,"CFRX","NASDAQ"
2019-06-20,0.51,0.51,0.48,0.485,114100,"CFRX","NASDAQ"
2019-06-21,0.484,0.5,0.48,0.49,114900,"CFRX","NASDAQ"
2019-06-24,0.5,0.501,0.48,0.485,270300,"CFRX","NASDAQ"
2019-06-25,0.485,0.515,0.48,0.501,374300,"CFRX","NASDAQ"
2019-06-26,0.5,0.5,0.48,0.49,241400,"CFRX","NASDAQ"
2019-06-27,0.49,0.52,0.49,0.495,195300,"CFRX","NASDAQ"
2019-06-28,0.481,0.55,0.481,0.51,625000,"CFRX","NASDAQ"
2019-07-01,0.535,0.55,0.51,0.52,502800,"CFRX","NASDAQ"
2019-07-02,0.55,0.57,0.54,0.56,209000,"CFRX","NASDAQ"
2019-07-03,0.56,0.56,0.51,0.51,220900,"CFRX","NASDAQ"
2019-07-05,0.55,0.55,0.51,0.529,102900,"CFRX","NASDAQ"
2019-07-08,0.52,0.53,0.51,0.515,61300,"CFRX","NASDAQ"
2019-07-09,0.512,0.53,0.5,0.5,110500,"CFRX","NASDAQ"
2019-07-10,0.5,0.505,0.485,0.485,158600,"CFRX","NASDAQ"
2019-07-11,0.472,0.52,0.47,0.493,84300,"CFRX","NASDAQ"
2019-07-12,0.493,0.515,0.47,0.476,137600,"CFRX","NASDAQ"
2019-07-15,0.476,0.512,0.476,0.486,45600,"CFRX","NASDAQ"
2019-07-16,0.57,0.57,0.47,0.489,418000,"CFRX","NASDAQ"
2019-07-17,0.49,0.5,0.489,0.49,41400,"CFRX","NASDAQ"
2019-07-18,0.49,0.49,0.42,0.44,294500,"CFRX","NASDAQ"
2019-07-19,0.462,0.5,0.451,0.477,129300,"CFRX","NASDAQ"
2019-07-22,0.5,0.5,0.435,0.461,108800,"CFRX","NASDAQ"
2019-07-23,0.46,0.47,0.413,0.44,163500,"CFRX","NASDAQ"
2019-07-24,0.436,0.459,0.434,0.458,99900,"CFRX","NASDAQ"
2019-07-25,0.455,0.46,0.43,0.437,71400,"CFRX","NASDAQ"
2019-07-26,0.448,0.455,0.435,0.445,53100,"CFRX","NASDAQ"
2019-07-29,0.438,0.5,0.43,0.45,74900,"CFRX","NASDAQ"
2019-07-30,0.47,0.475,0.4451,0.472,65500,"CFRX","NASDAQ"
2019-07-31,0.46,0.49,0.446,0.446,93000,"CFRX","NASDAQ"
2019-08-01,0.457,0.48,0.43,0.43,92200,"CFRX","NASDAQ"
2019-08-02,0.433,0.449,0.413,0.43,254400,"CFRX","NASDAQ"
2019-08-05,0.43,0.43,0.41,0.411,127000,"CFRX","NASDAQ"
2019-08-06,0.428,0.432,0.41,0.42,91900,"CFRX","NASDAQ"
2019-08-07,0.41,0.422,0.41,0.418,55900,"CFRX","NASDAQ"
2019-08-08,0.422,0.427,0.406,0.406,148700,"CFRX","NASDAQ"
2019-08-09,0.42,0.45,0.411,0.415,88500,"CFRX","NASDAQ"
2019-08-12,0.44,0.44,0.401,0.407,63300,"CFRX","NASDAQ"
2019-08-13,0.417,0.43,0.401,0.405,148900,"CFRX","NASDAQ"
2019-08-14,0.41,0.41,0.4,0.4,48800,"CFRX","NASDAQ"
2019-08-15,0.4,0.42,0.39,0.392,161100,"CFRX","NASDAQ"
2019-08-16,0.41,0.41,0.38,0.397,252000,"CFRX","NASDAQ"
2019-08-19,0.39,0.39,0.378,0.388,116400,"CFRX","NASDAQ"
2019-08-20,0.39,0.4,0.378,0.385,235500,"CFRX","NASDAQ"
2019-08-21,0.386,0.394,0.38,0.388,133300,"CFRX","NASDAQ"
2019-08-22,0.39,0.394,0.381,0.386,77800,"CFRX","NASDAQ"
2019-08-23,0.376,0.394,0.361,0.38,178700,"CFRX","NASDAQ"
2019-08-26,0.388,0.388,0.361,0.37,121500,"CFRX","NASDAQ"
2019-08-27,0.37,0.375,0.361,0.37,222500,"CFRX","NASDAQ"
2019-08-28,0.37,0.38,0.33,0.344,887600,"CFRX","NASDAQ"
2019-08-29,0.35,0.35,0.269,0.31,1992500,"CFRX","NASDAQ"
2019-08-30,0.33,0.35,0.32,0.35,294700,"CFRX","NASDAQ"
2019-09-03,0.35,0.35,0.33,0.34,297700,"CFRX","NASDAQ"
2019-09-04,0.35,0.425,0.34,0.407,1415800,"CFRX","NASDAQ"
2019-09-05,0.407,0.41,0.33,0.345,1096500,"CFRX","NASDAQ"
2019-09-06,0.338,0.37,0.331,0.36,136300,"CFRX","NASDAQ"
2019-09-09,0.36,0.36,0.325,0.33,518000,"CFRX","NASDAQ"
2019-09-10,0.325,0.36,0.3,0.36,779400,"CFRX","NASDAQ"
2019-09-11,0.36,0.405,0.331,0.405,292800,"CFRX","NASDAQ"
2019-09-12,0.405,0.453,0.38,0.402,385000,"CFRX","NASDAQ"
2019-09-13,0.39,0.41,0.38,0.395,104000,"CFRX","NASDAQ"
2019-09-16,0.405,0.41,0.39,0.409,126600,"CFRX","NASDAQ"
2019-09-17,0.41,0.445,0.4,0.415,237600,"CFRX","NASDAQ"
2019-09-18,0.42,0.47,0.4,0.406,351900,"CFRX","NASDAQ"
2019-09-19,0.405,0.43,0.4,0.417,72300,"CFRX","NASDAQ"
2019-09-20,0.409,0.444,0.392,0.415,324000,"CFRX","NASDAQ"
2019-09-23,0.415,0.44,0.402,0.42,122500,"CFRX","NASDAQ"
2019-09-24,0.42,0.42,0.401,0.406,83600,"CFRX","NASDAQ"
2019-09-25,0.411,0.423,0.371,0.371,69000,"CFRX","NASDAQ"
2019-09-26,0.39,0.42,0.38,0.395,86700,"CFRX","NASDAQ"
2019-09-27,0.38,0.409,0.37,0.37,286000,"CFRX","NASDAQ"
2019-09-30,0.38,0.388,0.35,0.358,282800,"CFRX","NASDAQ"
