"times","open","high","low","close","volume","symbol","market"
2019-05-30,20.07,20.3,20.03,20.29,382500,"CG","NASDAQ"
2019-05-31,20,20.21,19.66,19.7,931100,"CG","NASDAQ"
2019-06-03,19.52,19.9606,19.5,19.8,245500,"CG","NASDAQ"
2019-06-04,20,20.5,19.83,20.45,782700,"CG","NASDAQ"
2019-06-05,20.59,20.85,20.22,20.76,474200,"CG","NASDAQ"
2019-06-06,20.73,20.97,20.7,20.93,252300,"CG","NASDAQ"
2019-06-07,21,21.59,20.61,21.54,572600,"CG","NASDAQ"
2019-06-10,21.46,21.73,21.16,21.34,561200,"CG","NASDAQ"
2019-06-11,21.53,21.85,21.39,21.53,819700,"CG","NASDAQ"
2019-06-12,21.36,21.59,21.156,21.57,281900,"CG","NASDAQ"
2019-06-13,21.7,21.92,21.67,21.87,212600,"CG","NASDAQ"
2019-06-14,21.79,22,21.71,21.78,317000,"CG","NASDAQ"
2019-06-17,21.78,22.2,21.72,22.18,777800,"CG","NASDAQ"
2019-06-18,22.229,22.48,21.99,22.1,758800,"CG","NASDAQ"
2019-06-19,22.17,22.6,22.1488,22.56,597100,"CG","NASDAQ"
2019-06-20,22.74,23,22.1916,22.39,1122600,"CG","NASDAQ"
2019-06-21,22.19,22.62,22.19,22.28,563200,"CG","NASDAQ"
2019-06-24,22.19,22.28,21.86,21.91,379000,"CG","NASDAQ"
2019-06-25,21.85,22.065,21.65,21.69,284900,"CG","NASDAQ"
2019-06-26,21.7,22,21.64,21.89,316600,"CG","NASDAQ"
2019-06-27,22,22.31,21.97,22.18,401800,"CG","NASDAQ"
2019-06-28,22.32,22.81,22.16,22.61,667100,"CG","NASDAQ"
2019-07-01,22.96,23.34,22.61,23.34,958400,"CG","NASDAQ"
2019-07-02,23.33,23.82,22.96,23.81,1811800,"CG","NASDAQ"
2019-07-03,23.74,24.06,23.35,23.68,574100,"CG","NASDAQ"
2019-07-05,23.68,23.87,23.48,23.66,484700,"CG","NASDAQ"
2019-07-08,23.39,23.58,23.01,23.34,708700,"CG","NASDAQ"
2019-07-09,23.1,25,23.1,24.29,3885500,"CG","NASDAQ"
2019-07-10,24.65,24.9,24.01,24.28,2189300,"CG","NASDAQ"
2019-07-11,24.27,24.49,23.96,24.08,1061100,"CG","NASDAQ"
2019-07-12,24.29,24.56,24,24.03,661800,"CG","NASDAQ"
2019-07-15,24.22,24.22,23.59,23.77,537300,"CG","NASDAQ"
2019-07-16,23.9,24.1,23.76,23.93,462500,"CG","NASDAQ"
2019-07-17,24,24.05,23.61,23.67,479100,"CG","NASDAQ"
2019-07-18,23.6,23.95,23.27,23.49,629900,"CG","NASDAQ"
2019-07-19,23.64,23.73,22.96,23.03,1395600,"CG","NASDAQ"
2019-07-22,23.25,23.91,22.21,23.76,1777200,"CG","NASDAQ"
