"times","open","high","low","close","volume","symbol","market"
2019-05-30,15.03,15.19,14.82,14.86,485000,"CGBD","NASDAQ"
2019-05-31,14.77,14.81,14.62,14.64,490600,"CGBD","NASDAQ"
2019-06-03,14.61,14.71,14.61,14.69,294400,"CGBD","NASDAQ"
2019-06-04,14.82,14.8351,14.63,14.77,375800,"CGBD","NASDAQ"
2019-06-05,14.76,14.808,14.6483,14.71,300800,"CGBD","NASDAQ"
2019-06-06,14.72,14.87,14.72,14.78,213200,"CGBD","NASDAQ"
2019-06-07,14.81,14.88,14.72,14.85,177200,"CGBD","NASDAQ"
2019-06-10,14.89,14.98,14.82,14.86,449600,"CGBD","NASDAQ"
2019-06-11,14.88,14.97,14.83,14.94,260900,"CGBD","NASDAQ"
2019-06-12,14.93,15.04,14.91,15,268900,"CGBD","NASDAQ"
2019-06-13,15.05,15.24,14.99,15.19,606400,"CGBD","NASDAQ"
2019-06-14,15.2,15.25,15.12,15.13,303300,"CGBD","NASDAQ"
2019-06-17,15.12,15.2001,15.02,15.1,397300,"CGBD","NASDAQ"
2019-06-18,15.19,15.3,15.13,15.26,273000,"CGBD","NASDAQ"
2019-06-19,15.3,15.5,15.25,15.48,320100,"CGBD","NASDAQ"
2019-06-20,15.5,15.5,15.12,15.3,877700,"CGBD","NASDAQ"
2019-06-21,15.3,15.39,15.21,15.31,421900,"CGBD","NASDAQ"
2019-06-24,15.39,15.559,15.39,15.51,509400,"CGBD","NASDAQ"
2019-06-25,15.56,15.56,15.36,15.41,417600,"CGBD","NASDAQ"
2019-06-26,15.43,15.49,15.3,15.34,492900,"CGBD","NASDAQ"
2019-06-27,14.97,15.07,14.9205,14.98,447800,"CGBD","NASDAQ"
2019-06-28,14.99,15.28,14.99,15.24,396600,"CGBD","NASDAQ"
2019-07-01,15.3,15.38,15.13,15.19,291100,"CGBD","NASDAQ"
2019-07-02,15.2202,15.28,15.17,15.18,206000,"CGBD","NASDAQ"
2019-07-03,15.22,15.38,15.18,15.33,126200,"CGBD","NASDAQ"
2019-07-05,15.2906,15.39,15.2,15.29,360300,"CGBD","NASDAQ"
2019-07-08,15.3,15.38,15.2594,15.29,415500,"CGBD","NASDAQ"
2019-07-09,15.23,15.41,15.23,15.31,306800,"CGBD","NASDAQ"
2019-07-10,15.3,15.45,15.258,15.38,241600,"CGBD","NASDAQ"
2019-07-11,15.36,15.37,15.232,15.29,366600,"CGBD","NASDAQ"
2019-07-12,15.3,15.375,15.2496,15.29,176700,"CGBD","NASDAQ"
2019-07-15,15.34,15.46,15.29,15.34,229100,"CGBD","NASDAQ"
2019-07-16,15.37,15.4,15.21,15.27,269700,"CGBD","NASDAQ"
2019-07-17,15.32,15.35,15.08,15.17,295000,"CGBD","NASDAQ"
2019-07-18,15.17,15.2,15.07,15.09,271500,"CGBD","NASDAQ"
2019-07-19,15.05,15.17,15.04,15.09,199000,"CGBD","NASDAQ"
2019-07-22,15.06,15.16,14.99,15.04,292800,"CGBD","NASDAQ"
2019-07-23,15.04,15.09,14.9707,15.02,366300,"CGBD","NASDAQ"
2019-07-24,15.0303,15.15,15,15.09,299600,"CGBD","NASDAQ"
2019-07-25,15.1,15.22,15.0785,15.1,505100,"CGBD","NASDAQ"
2019-07-26,15.11,15.28,15,15.22,400500,"CGBD","NASDAQ"
2019-07-29,15.24,15.26,15.18,15.21,230500,"CGBD","NASDAQ"
2019-07-30,15.19,15.3,15.19,15.23,225300,"CGBD","NASDAQ"
2019-07-31,15.22,15.25,15.0696,15.12,196000,"CGBD","NASDAQ"
