"times","open","high","low","close","volume","symbol","market"
2019-05-30,12.52,12.52,12.25,12.33,13600,"CGO","NASDAQ"
2019-05-31,12.33,12.4804,12.17,12.17,16600,"CGO","NASDAQ"
2019-06-03,12.19,12.19,12,12,36800,"CGO","NASDAQ"
2019-06-04,12.11,12.25,12.11,12.25,5200,"CGO","NASDAQ"
2019-06-05,12.29,12.33,12.2,12.33,13800,"CGO","NASDAQ"
2019-06-06,12.34,12.54,12.3207,12.5,10400,"CGO","NASDAQ"
2019-06-07,12.55,12.75,12.52,12.63,10000,"CGO","NASDAQ"
2019-06-10,12.71,12.81,12.51,12.81,7700,"CGO","NASDAQ"
2019-06-11,12.93,13.05,12.8,13,11800,"CGO","NASDAQ"
2019-06-12,13.11,13.11,12.82,13.04,24400,"CGO","NASDAQ"
2019-06-13,13.03,13.05,12.86,12.94,31800,"CGO","NASDAQ"
2019-06-14,12.93,12.93,12.85,12.86,10700,"CGO","NASDAQ"
2019-06-17,12.93,12.95,12.57,12.6,16900,"CGO","NASDAQ"
2019-06-18,12.63,12.6802,12.55,12.63,25700,"CGO","NASDAQ"
2019-06-19,12.57,12.76,12.57,12.75,8400,"CGO","NASDAQ"
2019-06-20,12.86,12.9201,12.74,12.85,21100,"CGO","NASDAQ"
2019-06-21,12.9,12.95,12.85,12.87,8800,"CGO","NASDAQ"
2019-06-24,12.9,13.06,12.89,12.98,21200,"CGO","NASDAQ"
2019-06-25,12.98,13.06,12.87,12.87,11300,"CGO","NASDAQ"
2019-06-26,12.81,12.9,12.75,12.75,20400,"CGO","NASDAQ"
2019-06-27,12.7594,12.87,12.67,12.8,20600,"CGO","NASDAQ"
2019-06-28,12.84,12.96,12.74,12.85,12600,"CGO","NASDAQ"
2019-07-01,13.03,13.11,12.99,13.03,11500,"CGO","NASDAQ"
2019-07-02,12.98,13.11,12.87,13.11,23400,"CGO","NASDAQ"
2019-07-03,13.06,13.2,13.06,13.18,7800,"CGO","NASDAQ"
2019-07-05,13.17,13.19,13.13,13.17,8700,"CGO","NASDAQ"
2019-07-08,13.13,13.19,13.11,13.16,16100,"CGO","NASDAQ"
2019-07-09,13.14,13.25,13.05,13.15,14900,"CGO","NASDAQ"
2019-07-10,13.2,13.27,13.13,13.16,28800,"CGO","NASDAQ"
2019-07-11,13.1497,13.15,12.94,12.97,18400,"CGO","NASDAQ"
2019-07-12,13,13.04,12.9492,12.97,33500,"CGO","NASDAQ"
2019-07-15,12.97,13.13,12.97,13.01,10600,"CGO","NASDAQ"
2019-07-16,13.0301,13.1,12.97,13.01,14400,"CGO","NASDAQ"
2019-07-17,13,13.01,12.9704,13.01,15800,"CGO","NASDAQ"
2019-07-18,12.99,13.03,12.83,12.88,21200,"CGO","NASDAQ"
2019-07-19,12.83,12.92,12.72,12.83,19900,"CGO","NASDAQ"
2019-07-22,12.9,12.91,12.8,12.84,19500,"CGO","NASDAQ"
2019-07-23,12.84,12.94,12.84,12.9,15200,"CGO","NASDAQ"
2019-07-24,12.89,13.19,12.89,13.08,25100,"CGO","NASDAQ"
2019-07-25,13.03,13.03,12.91,13,7800,"CGO","NASDAQ"
2019-07-26,12.99,13.05,12.9,13,12200,"CGO","NASDAQ"
2019-07-29,12.99,13.05,12.96,13.04,11300,"CGO","NASDAQ"
2019-07-30,12.92,13.04,12.92,12.99,8200,"CGO","NASDAQ"
2019-07-31,13.03,13.07,12.96,13.01,16600,"CGO","NASDAQ"
2019-08-01,13.03,13.07,12.8,12.84,29600,"CGO","NASDAQ"
2019-08-02,12.7801,13.1,12.78,12.85,21900,"CGO","NASDAQ"
2019-08-05,12.77,12.86,12.5,12.55,46200,"CGO","NASDAQ"
2019-08-06,12.65,12.85,12.6,12.85,16500,"CGO","NASDAQ"
2019-08-07,12.75,12.95,12.5,12.95,37100,"CGO","NASDAQ"
2019-08-08,12.92,12.92,12.81,12.9,15200,"CGO","NASDAQ"
2019-08-09,12.85,12.88,12.5,12.5,21300,"CGO","NASDAQ"
2019-08-12,12.439,12.54,12.15,12.25,22800,"CGO","NASDAQ"
2019-08-13,12.25,12.49,12.2,12.49,13800,"CGO","NASDAQ"
2019-08-14,12.34,12.34,12,12.02,21900,"CGO","NASDAQ"
2019-08-15,12.01,12.01,11.87,11.96,47000,"CGO","NASDAQ"
2019-08-16,12.09,12.25,11.97,12.08,11700,"CGO","NASDAQ"
2019-08-19,12.1,12.6,11.81,12.23,21900,"CGO","NASDAQ"
2019-08-20,12.35,12.51,12.2,12.35,23900,"CGO","NASDAQ"
2019-08-21,12.29,12.43,12.11,12.35,13100,"CGO","NASDAQ"
2019-08-22,12.33,12.4,12.15,12.2,17000,"CGO","NASDAQ"
2019-08-23,12.15,12.24,11.86,11.9,36900,"CGO","NASDAQ"
2019-08-26,11.93,12.16,11.8,11.8,20000,"CGO","NASDAQ"
2019-08-27,11.8,12.03,11.61,11.68,35700,"CGO","NASDAQ"
2019-08-28,11.57,11.86,11,11.68,43300,"CGO","NASDAQ"
2019-08-29,11.79,11.95,11.79,11.89,47800,"CGO","NASDAQ"
2019-08-30,11.86,12.05,11.86,11.87,23500,"CGO","NASDAQ"
2019-09-03,11.76,11.98,11.73,11.91,21000,"CGO","NASDAQ"
2019-09-04,11.87,12.09,11.87,12,28200,"CGO","NASDAQ"
2019-09-05,12.04,12.23,12,12.15,21000,"CGO","NASDAQ"
2019-09-06,12.24,12.42,12.15,12.27,11400,"CGO","NASDAQ"
2019-09-09,12.36,12.39,12.2,12.26,19100,"CGO","NASDAQ"
2019-09-10,12.26,12.31,12.12,12.27,24000,"CGO","NASDAQ"
2019-09-11,12.26,12.7,12.23,12.41,35200,"CGO","NASDAQ"
2019-09-12,12.4,12.54,12.09,12.54,24500,"CGO","NASDAQ"
2019-09-13,12.44,12.44,12.23,12.4,15400,"CGO","NASDAQ"
2019-09-16,12.29,12.43,12.26,12.33,21900,"CGO","NASDAQ"
2019-09-17,12.36,12.44,12.17,12.35,23000,"CGO","NASDAQ"
2019-09-18,12.34,12.4,12.29,12.34,18200,"CGO","NASDAQ"
2019-09-19,12.33,12.33,12.15,12.31,16300,"CGO","NASDAQ"
2019-09-20,12.33,12.61,12.24,12.45,20900,"CGO","NASDAQ"
2019-09-23,12.35,12.81,12.29,12.57,59100,"CGO","NASDAQ"
2019-09-24,12.57,12.67,12.44,12.6,19400,"CGO","NASDAQ"
2019-09-25,12.6,12.71,12.36,12.37,23400,"CGO","NASDAQ"
2019-09-26,12.43,12.5,12.3,12.3,11900,"CGO","NASDAQ"
2019-09-27,12.34,12.34,12,12.09,22700,"CGO","NASDAQ"
2019-09-30,12.13,12.24,12.05,12.11,16300,"CGO","NASDAQ"
2019-10-01,12.17,12.33,12.01,12.33,27900,"CGO","NASDAQ"
2019-10-02,12.26,12.31,11.92,12,24000,"CGO","NASDAQ"
2019-10-03,11.99,12.19,11.92,12.19,17300,"CGO","NASDAQ"
2019-10-04,12.06,12.21,12.06,12.1,24700,"CGO","NASDAQ"
2019-10-07,12.19,12.26,12.1,12.18,14500,"CGO","NASDAQ"
2019-10-08,12.17,12.18,12.07,12.18,17700,"CGO","NASDAQ"
2019-10-09,12.17,12.17,12.09,12.11,17700,"CGO","NASDAQ"
2019-10-10,12.11,12.18,12.07,12.07,26300,"CGO","NASDAQ"
2019-10-11,12.08,12.13,11.95,11.98,32400,"CGO","NASDAQ"
2019-10-14,11.97,12.02,11.97,12.02,28300,"CGO","NASDAQ"
2019-10-15,11.98,12.14,11.92,11.92,20100,"CGO","NASDAQ"
2019-10-16,11.93,12.07,11.93,12.01,16700,"CGO","NASDAQ"
2019-10-17,12,12.17,12,12.09,18400,"CGO","NASDAQ"
2019-10-18,12.04,12.2,12.04,12.19,16883,"CGO","NASDAQ"
