"times","open","high","low","close","volume","symbol","market"
2019-05-30,33.51,33.5916,32.41,32.43,113500,"CHEF","NASDAQ"
2019-05-31,32.21,32.21,30.86,31.67,197800,"CHEF","NASDAQ"
2019-06-03,31.7134,32.23,31.27,31.77,164500,"CHEF","NASDAQ"
2019-06-04,31.98,32.32,31.33,32.02,267800,"CHEF","NASDAQ"
2019-06-05,32.15,32.88,32.15,32.7,112900,"CHEF","NASDAQ"
2019-06-06,32.69,32.8,31.6895,31.93,135600,"CHEF","NASDAQ"
2019-06-07,32.02,32.48,31.8,32.23,100600,"CHEF","NASDAQ"
2019-06-10,32.3,32.73,32.1,32.41,319700,"CHEF","NASDAQ"
2019-06-11,32.59,33.41,32.37,32.77,310100,"CHEF","NASDAQ"
2019-06-12,32.7367,33.545,32.71,33.23,237700,"CHEF","NASDAQ"
2019-06-13,33.4,34.07,33.135,34.06,231000,"CHEF","NASDAQ"
2019-06-14,34.08,34.1,33.45,33.45,142500,"CHEF","NASDAQ"
2019-06-17,33.47,33.92,33.24,33.77,105900,"CHEF","NASDAQ"
2019-06-18,33.8,34.2,33.61,33.86,174900,"CHEF","NASDAQ"
2019-06-19,33.85,33.98,33.14,33.91,93800,"CHEF","NASDAQ"
2019-06-20,33.88,33.89,32.65,32.68,186000,"CHEF","NASDAQ"
2019-06-21,32.52,32.56,31.66,31.75,541200,"CHEF","NASDAQ"
2019-06-24,32.15,33.05,31.78,32.84,191500,"CHEF","NASDAQ"
2019-06-25,32.83,33.51,32.41,33.26,154000,"CHEF","NASDAQ"
2019-06-26,33.52,33.99,33.08,33.3,131600,"CHEF","NASDAQ"
2019-06-27,33.36,34,33.33,34,102900,"CHEF","NASDAQ"
2019-06-28,34,35.37,33.86,35.07,752400,"CHEF","NASDAQ"
2019-07-01,35.45,35.53,33.845,33.95,173800,"CHEF","NASDAQ"
2019-07-02,34.06,34.365,33.8119,34.08,114600,"CHEF","NASDAQ"
2019-07-03,34.18,34.98,34.08,34.55,52500,"CHEF","NASDAQ"
2019-07-05,34.41,34.85,34.04,34.67,82900,"CHEF","NASDAQ"
2019-07-08,34.59,34.98,34.24,34.31,136400,"CHEF","NASDAQ"
2019-07-09,34.3,34.61,34.19,34.36,87500,"CHEF","NASDAQ"
2019-07-10,34.34,34.53,33.98,34.47,93600,"CHEF","NASDAQ"
2019-07-11,34.48,35.19,34.48,34.95,223000,"CHEF","NASDAQ"
2019-07-12,35.03,35.67,34.87,35.54,106600,"CHEF","NASDAQ"
2019-07-15,35.6,35.9823,35.08,35.13,76100,"CHEF","NASDAQ"
2019-07-16,35.21,36.03,35.09,35.78,165700,"CHEF","NASDAQ"
2019-07-17,35.71,35.79,34.25,34.43,127600,"CHEF","NASDAQ"
2019-07-18,34.49,34.9,34.13,34.88,103000,"CHEF","NASDAQ"
2019-07-19,34.66,35.02,34.22,34.23,188500,"CHEF","NASDAQ"
2019-07-22,34.2,34.41,34.01,34.25,69800,"CHEF","NASDAQ"
2019-07-23,34.17,34.55,33.95,34.46,118500,"CHEF","NASDAQ"
2019-07-24,34.3,35.07,34.3,34.72,113000,"CHEF","NASDAQ"
2019-07-25,34.7,35.23,34.6342,35.1,102600,"CHEF","NASDAQ"
2019-07-26,35.26,36.56,35.26,36.28,131900,"CHEF","NASDAQ"
2019-07-29,36.13,36.4,35.55,35.83,90800,"CHEF","NASDAQ"
2019-07-30,35.5,36.52,35.3,35.99,165400,"CHEF","NASDAQ"
2019-07-31,35.97,37.13,35.87,36.47,255300,"CHEF","NASDAQ"
2019-08-01,35.91,37.72,34.2308,37.18,425300,"CHEF","NASDAQ"
2019-08-02,37.26,37.45,36.25,37.02,270900,"CHEF","NASDAQ"
2019-08-05,36.68,37.15,36.14,37,262200,"CHEF","NASDAQ"
2019-08-06,37.25,37.35,36.42,36.99,165200,"CHEF","NASDAQ"
2019-08-07,36.63,37.7396,36.56,37.55,217900,"CHEF","NASDAQ"
2019-08-08,37.73,38.4,37.55,37.99,225500,"CHEF","NASDAQ"
2019-08-09,38.03,38.44,37.68,37.75,133300,"CHEF","NASDAQ"
2019-08-12,37.66,37.925,37.1,37.14,1e+05,"CHEF","NASDAQ"
2019-08-13,37.11,38.12,37.11,37.86,103800,"CHEF","NASDAQ"
2019-08-14,37.46,37.89,36.84,37,160600,"CHEF","NASDAQ"
2019-08-15,37.12,37.65,36.9,37.42,125700,"CHEF","NASDAQ"
2019-08-16,37.47,38.392,37.32,38.05,79600,"CHEF","NASDAQ"
2019-08-19,38,38.4,37.89,38.18,143700,"CHEF","NASDAQ"
2019-08-20,38.19,38.6,37.7,37.9,169800,"CHEF","NASDAQ"
2019-08-21,38.32,38.6,37.96,38.55,119500,"CHEF","NASDAQ"
2019-08-22,38.6,39.57,38.43,39.33,494500,"CHEF","NASDAQ"
2019-08-23,39.33,39.57,37.76,37.94,293900,"CHEF","NASDAQ"
2019-08-26,38.36,38.41,37.45,38.36,137500,"CHEF","NASDAQ"
2019-08-27,38.37,38.64,37.96,38.18,116900,"CHEF","NASDAQ"
2019-08-28,38.12,38.95,38.08,38.52,102300,"CHEF","NASDAQ"
2019-08-29,38.76,38.95,38.37,38.75,98300,"CHEF","NASDAQ"
2019-08-30,38.81,39,38.49,38.58,64400,"CHEF","NASDAQ"
2019-09-03,38.35,38.65,38.1,38.32,125200,"CHEF","NASDAQ"
2019-09-04,38.65,38.74,38.22,38.61,90600,"CHEF","NASDAQ"
2019-09-05,38.88,39.2,38.44,38.8,142700,"CHEF","NASDAQ"
2019-09-06,39,39.2,37.76,37.85,160200,"CHEF","NASDAQ"
2019-09-09,37.99,38.9,37.58,38.72,172600,"CHEF","NASDAQ"
2019-09-10,38.75,39.6,37.94,38.85,297000,"CHEF","NASDAQ"
2019-09-11,39,40.68,38.94,40.68,415200,"CHEF","NASDAQ"
2019-09-12,40.78,42.06,40.22,40.82,341000,"CHEF","NASDAQ"
2019-09-13,41.16,41.53,40.19,40.61,141300,"CHEF","NASDAQ"
2019-09-16,40.41,41.5,40.41,40.84,162400,"CHEF","NASDAQ"
2019-09-17,40.73,41.5,40.61,41.2,153700,"CHEF","NASDAQ"
2019-09-18,41.27,41.49,40.18,40.55,244300,"CHEF","NASDAQ"
2019-09-19,40.71,41.03,40.04,40.28,138600,"CHEF","NASDAQ"
2019-09-20,40.23,40.92,39.96,40.47,669200,"CHEF","NASDAQ"
2019-09-23,40.37,40.88,39.94,39.95,134900,"CHEF","NASDAQ"
2019-09-24,40,40.3,39.42,39.58,162000,"CHEF","NASDAQ"
2019-09-25,39.55,40.02,39.37,39.57,176700,"CHEF","NASDAQ"
2019-09-26,39.57,40.78,39.37,40.01,466400,"CHEF","NASDAQ"
2019-09-27,40.13,40.24,39.43,39.77,227800,"CHEF","NASDAQ"
2019-09-30,39.97,40.84,39.97,40.32,315400,"CHEF","NASDAQ"
2019-10-01,40.56,40.87,39.72,39.85,193700,"CHEF","NASDAQ"
2019-10-02,39.74,39.9,38.96,39.61,186200,"CHEF","NASDAQ"
