"times","open","high","low","close","volume","symbol","market"
2019-05-30,10.02,10.13,10.02,10.09,178100,"CHI","NASDAQ"
2019-05-31,10.06,10.06,9.92,9.95,241400,"CHI","NASDAQ"
2019-06-03,9.96,10.05,9.76,9.84,299500,"CHI","NASDAQ"
2019-06-04,9.921,10.05,9.89,10.04,171900,"CHI","NASDAQ"
2019-06-05,10.25,10.34,10.03,10.09,209700,"CHI","NASDAQ"
2019-06-06,10.1,10.13,10.04,10.1,216300,"CHI","NASDAQ"
2019-06-07,10.12,10.17,10.1096,10.14,211900,"CHI","NASDAQ"
2019-06-10,10.19,10.23,10.16,10.2,167000,"CHI","NASDAQ"
2019-06-11,10.25,10.35,10.23,10.33,240700,"CHI","NASDAQ"
2019-06-12,10.34,10.48,10.3,10.38,239300,"CHI","NASDAQ"
2019-06-13,10.37,10.3999,10.28,10.32,110600,"CHI","NASDAQ"
2019-06-14,10.32,10.3196,10.22,10.22,116400,"CHI","NASDAQ"
2019-06-17,10.23,10.3,10.2,10.2,150500,"CHI","NASDAQ"
2019-06-18,10.28,10.33,10.26,10.29,171100,"CHI","NASDAQ"
2019-06-19,10.3103,10.35,10.27,10.34,126100,"CHI","NASDAQ"
2019-06-20,10.44,10.5,10.33,10.44,207900,"CHI","NASDAQ"
2019-06-21,10.42,10.57,10.36,10.46,207000,"CHI","NASDAQ"
2019-06-24,10.5,10.56,10.44,10.45,135400,"CHI","NASDAQ"
2019-06-25,10.5,10.5,10.3299,10.37,134400,"CHI","NASDAQ"
2019-06-26,10.37,10.47,10.36,10.4,129500,"CHI","NASDAQ"
2019-06-27,10.44,10.49,10.42,10.45,103200,"CHI","NASDAQ"
2019-06-28,10.4794,10.58,10.47,10.51,136600,"CHI","NASDAQ"
2019-07-01,10.6,10.68,10.56,10.59,101100,"CHI","NASDAQ"
2019-07-02,10.59,10.7,10.59,10.69,145400,"CHI","NASDAQ"
2019-07-03,10.7,10.7301,10.61,10.66,84400,"CHI","NASDAQ"
2019-07-05,10.64,10.72,10.64,10.7,81900,"CHI","NASDAQ"
2019-07-08,10.7,10.73,10.64,10.68,164000,"CHI","NASDAQ"
2019-07-09,10.71,10.79,10.71,10.76,114100,"CHI","NASDAQ"
2019-07-10,10.84,10.88,10.73,10.8,201300,"CHI","NASDAQ"
2019-07-11,10.72,10.7403,10.69,10.73,131400,"CHI","NASDAQ"
