"times","open","high","low","close","volume","symbol","market"
2019-05-30,113.22,114.055,111.43,112.57,1627700,"CHKP","NASDAQ"
2019-05-31,111.58,112.09,110.18,110.28,1050700,"CHKP","NASDAQ"
2019-06-03,110.63,111.2052,108.59,109.4,1019300,"CHKP","NASDAQ"
2019-06-04,110.93,112.2,110.06,112.09,919600,"CHKP","NASDAQ"
2019-06-05,112.36,113.12,111.63,112.34,669300,"CHKP","NASDAQ"
2019-06-06,112.9,113.1,111.45,111.96,452400,"CHKP","NASDAQ"
2019-06-07,112.5,113.6392,111.91,111.99,653800,"CHKP","NASDAQ"
2019-06-10,112.53,114.54,112.49,113.98,827200,"CHKP","NASDAQ"
2019-06-11,115.23,115.35,111.54,113.28,910900,"CHKP","NASDAQ"
2019-06-12,113.2,113.76,112.41,113.22,514500,"CHKP","NASDAQ"
2019-06-13,113.76,114.9551,112.62,113,771300,"CHKP","NASDAQ"
2019-06-14,112.46,113.81,112.35,113.32,695000,"CHKP","NASDAQ"
2019-06-17,113.24,114,113.02,113.35,530500,"CHKP","NASDAQ"
2019-06-18,115.53,115.5637,112.5,112.74,814000,"CHKP","NASDAQ"
2019-06-19,113.26,114.6,112.01,114.23,719100,"CHKP","NASDAQ"
2019-06-20,116,116.0077,113.685,114.82,844000,"CHKP","NASDAQ"
2019-06-21,114.83,115.98,114.01,114.18,1426500,"CHKP","NASDAQ"
2019-06-24,114.63,114.8,113.235,113.89,577100,"CHKP","NASDAQ"
2019-06-25,113.99,114.48,113.63,114.08,805600,"CHKP","NASDAQ"
2019-06-26,114.5766,115.42,113.76,113.95,536000,"CHKP","NASDAQ"
2019-06-27,114.57,116.03,114.24,115.23,746300,"CHKP","NASDAQ"
2019-06-28,115.74,116.29,114.85,115.61,829100,"CHKP","NASDAQ"
2019-07-01,117.2325,118.092,116.43,117.78,907800,"CHKP","NASDAQ"
2019-07-02,118.4,119.44,117.71,119.25,699400,"CHKP","NASDAQ"
2019-07-03,119.7,120.68,119.01,119.47,454100,"CHKP","NASDAQ"
2019-07-05,119.38,119.58,117.86,119.56,642000,"CHKP","NASDAQ"
2019-07-08,119.4353,120.6,119.1,120.27,664000,"CHKP","NASDAQ"
2019-07-09,119.69,120.25,119.07,120.21,971000,"CHKP","NASDAQ"
2019-07-10,120.69,120.99,119.62,119.74,666900,"CHKP","NASDAQ"
2019-07-11,120.05,120.3,118.8,119.23,1172700,"CHKP","NASDAQ"
2019-07-12,119.81,119.81,118.3029,118.8,822500,"CHKP","NASDAQ"
2019-07-15,118.86,118.98,116.77,117.63,1164700,"CHKP","NASDAQ"
2019-07-16,116.24,116.44,114.59,116.25,1110700,"CHKP","NASDAQ"
2019-07-17,116.66,117.59,115.72,115.99,1012600,"CHKP","NASDAQ"
2019-07-18,115.7,117.32,115.33,116.88,746300,"CHKP","NASDAQ"
2019-07-19,117.6,117.95,116.02,116.08,792600,"CHKP","NASDAQ"
2019-07-22,116.43,118,115.17,115.27,724100,"CHKP","NASDAQ"
2019-07-23,116.04,116.48,114.08,115.71,1059000,"CHKP","NASDAQ"
2019-07-24,114.5,114.9,111.52,113.25,2750800,"CHKP","NASDAQ"
2019-07-25,112.92,115.06,112.44,113.68,1126500,"CHKP","NASDAQ"
2019-07-26,114.25,114.83,112.47,112.49,925400,"CHKP","NASDAQ"
2019-07-29,112.39,112.72,110.4,111.88,1207400,"CHKP","NASDAQ"
2019-07-30,110.89,111.81,110.39,111.43,964300,"CHKP","NASDAQ"
2019-07-31,111.71,113.31,111.15,111.95,1225100,"CHKP","NASDAQ"
2019-08-01,111.77,112.2,110.48,110.79,1317600,"CHKP","NASDAQ"
2019-08-02,110.67,112.11,110.51,111.74,1093100,"CHKP","NASDAQ"
2019-08-05,109.96,110.49,107.78,108.09,1598100,"CHKP","NASDAQ"
2019-08-06,109.02,109.851,107.51,108.22,1439400,"CHKP","NASDAQ"
2019-08-07,107.39,109.489,107.03,109.32,838900,"CHKP","NASDAQ"
2019-08-08,109.58,111.7638,109.58,111.7,1053100,"CHKP","NASDAQ"
2019-08-09,111.08,112,110.86,111.04,711400,"CHKP","NASDAQ"
2019-08-12,110.36,110.76,109.21,109.43,589700,"CHKP","NASDAQ"
2019-08-13,109.56,111.79,109,110.62,879900,"CHKP","NASDAQ"
2019-08-14,108.71,109.405,107.1,107.51,974900,"CHKP","NASDAQ"
2019-08-15,107.29,108.37,106.94,107.64,695400,"CHKP","NASDAQ"
2019-08-16,108.67,109.3192,107.99,108.12,625500,"CHKP","NASDAQ"
2019-08-19,108.66,109.09,108.08,108.77,524200,"CHKP","NASDAQ"
2019-08-20,108.7,109.22,107.94,108.47,708800,"CHKP","NASDAQ"
2019-08-21,109.19,109.99,108.61,109.21,630200,"CHKP","NASDAQ"
2019-08-22,109.29,110,108.13,108.98,680400,"CHKP","NASDAQ"
2019-08-23,108.56,109.16,106.51,106.8,842500,"CHKP","NASDAQ"
2019-08-26,107.45,107.99,105.81,106.52,652300,"CHKP","NASDAQ"
2019-08-27,107.15,107.72,105.49,106.72,1110800,"CHKP","NASDAQ"
