"times","open","high","low","close","volume","symbol","market"
2019-05-30,7.61,7.74,7.048,7.36,194500,"CHMA","NASDAQ"
2019-05-31,7.34,7.34,6.9,7.1,141200,"CHMA","NASDAQ"
2019-06-03,7.11,7.149,6.52,6.7,104300,"CHMA","NASDAQ"
2019-06-04,6.72,6.94,6.7,6.88,92900,"CHMA","NASDAQ"
2019-06-05,6.89,7.44,6.88,7.2,222100,"CHMA","NASDAQ"
2019-06-06,7.55,7.55,7.01,7.29,293700,"CHMA","NASDAQ"
2019-06-07,7.3796,8.29,7.16,7.44,1663600,"CHMA","NASDAQ"
2019-06-10,7.9694,8.039,7.7,7.91,622200,"CHMA","NASDAQ"
2019-06-11,8.02,8.1804,7.75,7.75,360600,"CHMA","NASDAQ"
2019-06-12,7.89,8.03,7.77,7.9,292500,"CHMA","NASDAQ"
2019-06-13,7.9,8.1,7.78,7.98,464100,"CHMA","NASDAQ"
2019-06-14,8,8.09,7.769,7.82,202200,"CHMA","NASDAQ"
2019-06-17,7.82,8.21,7.82,8.08,241700,"CHMA","NASDAQ"
2019-06-18,8.1,8.21,8,8.01,197500,"CHMA","NASDAQ"
2019-06-19,8,8.15,7.95,7.99,156200,"CHMA","NASDAQ"
2019-06-20,7.98,8.05,7.75,7.77,208200,"CHMA","NASDAQ"
2019-06-21,7.76,7.77,7.08,7.54,414100,"CHMA","NASDAQ"
2019-06-24,7.54,7.75,7.3996,7.71,229000,"CHMA","NASDAQ"
2019-06-25,7.71,7.78,7.51,7.61,128600,"CHMA","NASDAQ"
2019-06-26,7.63,7.66,7.47,7.59,87700,"CHMA","NASDAQ"
2019-06-27,7.63,7.67,7.31,7.45,364100,"CHMA","NASDAQ"
2019-06-28,7.54,7.81,7.37,7.47,3430200,"CHMA","NASDAQ"
2019-07-01,7.52,8.0997,7.52,7.97,365200,"CHMA","NASDAQ"
2019-07-02,8.04,8.24,7.83,7.9,248100,"CHMA","NASDAQ"
2019-07-03,7.98,8,7.66,7.87,281700,"CHMA","NASDAQ"
2019-07-05,7.87,7.97,7.416,7.69,201700,"CHMA","NASDAQ"
2019-07-08,7.71,7.72,7.119,7.14,250000,"CHMA","NASDAQ"
2019-07-09,7.15,7.2242,6.818,6.95,229400,"CHMA","NASDAQ"
2019-07-10,7.1,7.274,6.885,7.23,182100,"CHMA","NASDAQ"
2019-07-11,7.21,7.23,6.51,6.6,304100,"CHMA","NASDAQ"
2019-07-12,6.54,6.637,6.215,6.44,329700,"CHMA","NASDAQ"
2019-07-15,6.43,6.79,6.32,6.51,374000,"CHMA","NASDAQ"
2019-07-16,6.54,6.55,6.202,6.33,255900,"CHMA","NASDAQ"
2019-07-17,6.31,6.47,5.78,5.87,410500,"CHMA","NASDAQ"
2019-07-18,5.87,6.28,5.674,6.26,402000,"CHMA","NASDAQ"
2019-07-19,6.26,6.35,6.2,6.3,304400,"CHMA","NASDAQ"
2019-07-22,6.31,6.41,6.08,6.2,324000,"CHMA","NASDAQ"
2019-07-23,7.35,9.25,7.2,7.86,19149700,"CHMA","NASDAQ"
2019-07-24,7.9002,7.92,6.43,6.5,1825900,"CHMA","NASDAQ"
2019-07-25,6.61,6.96,5.66,5.66,1215700,"CHMA","NASDAQ"
2019-07-26,5.64,5.9,5.45,5.46,4219300,"CHMA","NASDAQ"
2019-07-29,5.52,5.77,5.35,5.56,988600,"CHMA","NASDAQ"
2019-07-30,5.55,5.61,5.399,5.51,611300,"CHMA","NASDAQ"
2019-07-31,5.69,5.74,5.45,5.49,835300,"CHMA","NASDAQ"
2019-08-01,5.5,5.58,5.12,5.14,583300,"CHMA","NASDAQ"
2019-08-02,5.12,5.16,4.81,5.07,753600,"CHMA","NASDAQ"
2019-08-05,5.01,5.17,4.85,4.85,508400,"CHMA","NASDAQ"
2019-08-06,4.92,5.25,4.89,4.99,605400,"CHMA","NASDAQ"
2019-08-07,4.99,5.07,4.8,4.97,326000,"CHMA","NASDAQ"
2019-08-08,5,5.11,4.89,5.03,304000,"CHMA","NASDAQ"
2019-08-09,5.1498,5.35,4.98,5.07,366900,"CHMA","NASDAQ"
2019-08-12,5.17,5.28,5.02,5.21,667800,"CHMA","NASDAQ"
2019-08-13,5.16,5.25,5.0299,5.15,614300,"CHMA","NASDAQ"
2019-08-14,5.07,5.12,4.93,4.97,430400,"CHMA","NASDAQ"
2019-08-15,4.96,5.09,4.88,4.99,408300,"CHMA","NASDAQ"
2019-08-16,5,5.09,4.8799,4.88,934600,"CHMA","NASDAQ"
2019-08-19,4.95,5.19,4.949,5.08,870100,"CHMA","NASDAQ"
2019-08-20,5.1,5.5,5.1,5.47,408500,"CHMA","NASDAQ"
2019-08-21,5.5,5.7,5.37,5.5,591800,"CHMA","NASDAQ"
2019-08-22,5.64,5.66,5.4,5.49,332400,"CHMA","NASDAQ"
2019-08-23,5.45,5.51,5.08,5.18,300600,"CHMA","NASDAQ"
2019-08-26,5.24,5.4,5.11,5.36,322900,"CHMA","NASDAQ"
2019-08-27,5.37,5.46,5.03,5.09,369100,"CHMA","NASDAQ"
2019-08-28,5.06,5.18,5.01,5.03,304100,"CHMA","NASDAQ"
2019-08-29,5.07,5.17,4.95,5.16,284400,"CHMA","NASDAQ"
2019-08-30,5.17,5.4,5.14,5.18,337300,"CHMA","NASDAQ"
2019-09-03,5.15,5.259,4.98,5.05,414900,"CHMA","NASDAQ"
2019-09-04,5.09,5.15,4.97,5.01,332400,"CHMA","NASDAQ"
2019-09-05,5.06,5.19,4.87,5.13,301500,"CHMA","NASDAQ"
2019-09-06,5.14,5.31,5.08,5.19,214500,"CHMA","NASDAQ"
2019-09-09,5.24,5.24,4.79,4.83,446300,"CHMA","NASDAQ"
2019-09-10,4.8,5.09,4.66,5.05,307500,"CHMA","NASDAQ"
2019-09-11,5.1,5.32,5.09,5.25,213900,"CHMA","NASDAQ"
2019-09-12,5.25,5.42,5.21,5.24,256000,"CHMA","NASDAQ"
2019-09-13,5.28,5.36,5.02,5.22,369900,"CHMA","NASDAQ"
2019-09-16,5.17,5.47,5.17,5.25,344600,"CHMA","NASDAQ"
2019-09-17,5.25,5.51,5.21,5.49,530200,"CHMA","NASDAQ"
2019-09-18,5.47,5.93,5.4,5.71,565500,"CHMA","NASDAQ"
2019-09-19,5.76,5.87,5.56,5.65,255100,"CHMA","NASDAQ"
2019-09-20,5.59,5.78,5.57,5.68,1139400,"CHMA","NASDAQ"
2019-09-23,5.68,5.75,5.53,5.57,264800,"CHMA","NASDAQ"
2019-09-24,5.59,5.695,5.12,5.26,436500,"CHMA","NASDAQ"
2019-09-25,5.24,5.44,5.12,5.35,467300,"CHMA","NASDAQ"
2019-09-26,5.35,5.36,4.96,4.97,310500,"CHMA","NASDAQ"
2019-09-27,4.97,5.02,4.8,4.87,341200,"CHMA","NASDAQ"
2019-09-30,5,5.06,4.87,4.95,341100,"CHMA","NASDAQ"
2019-10-01,5.01,5.02,4.64,4.72,273000,"CHMA","NASDAQ"
2019-10-02,4.68,4.95,4.51,4.86,452900,"CHMA","NASDAQ"
2019-10-03,4.83,5.08,4.83,4.99,494900,"CHMA","NASDAQ"
2019-10-04,4.96,5.12,4.86,4.97,145100,"CHMA","NASDAQ"
2019-10-07,4.94,5.01,4.82,4.85,131300,"CHMA","NASDAQ"
2019-10-08,4.82,4.83,4.62,4.68,143500,"CHMA","NASDAQ"
2019-10-09,4.72,4.72,4.55,4.57,130400,"CHMA","NASDAQ"
2019-10-10,4.58,4.66,4.5,4.61,156000,"CHMA","NASDAQ"
2019-10-11,4.65,4.9,4.6,4.79,153800,"CHMA","NASDAQ"
