"times","open","high","low","close","volume","symbol","market"
2019-05-30,46.56,46.84,45.02,45.6,12700,"CHMG","NASDAQ"
2019-05-31,45.56,45.787,44.35,44.8,8100,"CHMG","NASDAQ"
2019-06-03,44.99,45.915,43.7,45.3,12500,"CHMG","NASDAQ"
2019-06-04,45.42,46.24,45.094,45.5,3800,"CHMG","NASDAQ"
2019-06-05,45.4,46.195,44.918,45.87,8600,"CHMG","NASDAQ"
2019-06-06,45.444,46.49,45.444,46,3700,"CHMG","NASDAQ"
2019-06-07,46.8516,46.85,45.98,45.98,1700,"CHMG","NASDAQ"
2019-06-10,45.89,46.75,45.56,46,3100,"CHMG","NASDAQ"
2019-06-11,45.73,47.07,45.6,45.64,4400,"CHMG","NASDAQ"
2019-06-12,45.91,46.14,45.23,45.99,2300,"CHMG","NASDAQ"
2019-06-13,45.98,46.1,45.89,46.1,2300,"CHMG","NASDAQ"
2019-06-14,45.76,46.45,45.42,45.5,4300,"CHMG","NASDAQ"
2019-06-17,45.77,46.88,45.77,46.88,3300,"CHMG","NASDAQ"
2019-06-18,47,47.85,47,47.4,1500,"CHMG","NASDAQ"
2019-06-19,47.93,47.93,47.03,47.16,3400,"CHMG","NASDAQ"
2019-06-20,47.88,47.88,47.57,47.57,1300,"CHMG","NASDAQ"
2019-06-21,47.24,48.98,47.24,48.05,16500,"CHMG","NASDAQ"
2019-06-24,47.75,48.45,47.354,47.45,3600,"CHMG","NASDAQ"
2019-06-25,47.16,47.38,46.44,47.2,2400,"CHMG","NASDAQ"
2019-06-26,47.7,47.7,46.25,47.65,3100,"CHMG","NASDAQ"
2019-06-27,47.98,47.98,47.235,47.64,7700,"CHMG","NASDAQ"
2019-06-28,47.7,48.5,47.268,48.34,36600,"CHMG","NASDAQ"
2019-07-01,48.4139,48.65,47.71,48.65,4300,"CHMG","NASDAQ"
2019-07-02,48.8,48.89,48.455,48.89,1800,"CHMG","NASDAQ"
2019-07-03,48.89,48.89,48.62,48.62,700,"CHMG","NASDAQ"
2019-07-05,48.6,49,48.243,49,2600,"CHMG","NASDAQ"
2019-07-08,48.88,48.88,47.02,48.46,2500,"CHMG","NASDAQ"
2019-07-09,48.51,48.8,48.51,48.66,1800,"CHMG","NASDAQ"
2019-07-10,48.81,48.94,48.7794,48.88,2800,"CHMG","NASDAQ"
2019-07-11,48.98,48.98,48.75,48.76,10900,"CHMG","NASDAQ"
2019-07-12,48.96,48.96,47.71,47.71,9400,"CHMG","NASDAQ"
2019-07-15,48.2291,48.75,46.99,48.49,4900,"CHMG","NASDAQ"
2019-07-16,48.25,48.25,47.58,47.97,3800,"CHMG","NASDAQ"
2019-07-17,46.9,47.7978,46.9,47,5800,"CHMG","NASDAQ"
2019-07-18,47.06,47.51,47.06,47.51,1900,"CHMG","NASDAQ"
2019-07-19,47.22,48.9,46.73,48.75,8300,"CHMG","NASDAQ"
2019-07-22,47.82,48.39,47.4709,48,3200,"CHMG","NASDAQ"
2019-07-23,47.72,47.72,47.31,47.31,1000,"CHMG","NASDAQ"
2019-07-24,45.5,48.09,45.5,47.21,7400,"CHMG","NASDAQ"
2019-07-25,46.28,47.03,45.3,45.35,10300,"CHMG","NASDAQ"
2019-07-26,45.25,46.51,44.94,45.13,7500,"CHMG","NASDAQ"
2019-07-29,45.44,45.44,44.3,44.31,8200,"CHMG","NASDAQ"
2019-07-30,44.23,44.97,43.21,43.21,4100,"CHMG","NASDAQ"
2019-07-31,43.51,44.02,43.5,43.64,5300,"CHMG","NASDAQ"
2019-08-01,42.75,44.34,42.67,43.05,5100,"CHMG","NASDAQ"
2019-08-02,43.03,43.81,43.02,43.31,4100,"CHMG","NASDAQ"
2019-08-05,42.38,42.66,41.9986,42,4400,"CHMG","NASDAQ"
