"times","open","high","low","close","volume","symbol","market"
2019-06-27,14.01,15.19,13.53,15,18259500,"CHNG","NASDAQ"
2019-06-28,14.72,15.3,14.32,14.6,4175900,"CHNG","NASDAQ"
2019-07-01,15,15,14.08,14.4,2468000,"CHNG","NASDAQ"
2019-07-02,14.45,14.8,14.24,14.5,1939700,"CHNG","NASDAQ"
2019-07-03,14.5,15.2,14.47,14.88,5208300,"CHNG","NASDAQ"
2019-07-05,14.9,15.15,14.75,14.93,613100,"CHNG","NASDAQ"
2019-07-08,14.9,15.1,14.6509,14.77,1740300,"CHNG","NASDAQ"
2019-07-09,14.84,14.96,14.7,14.81,2653400,"CHNG","NASDAQ"
2019-07-10,14.82,15.22,14.59,14.65,1424000,"CHNG","NASDAQ"
2019-07-11,14.7,15.04,14.63,14.87,1643400,"CHNG","NASDAQ"
2019-07-12,14.82,15.0504,14.66,14.84,314100,"CHNG","NASDAQ"
2019-07-15,14.85,15.07,14.46,14.8,364500,"CHNG","NASDAQ"
2019-07-16,14.72,14.72,13.97,14.28,1042800,"CHNG","NASDAQ"
2019-07-17,14.3501,14.35,13.55,14.01,963700,"CHNG","NASDAQ"
2019-07-18,13.85,14,13.28,13.62,1926800,"CHNG","NASDAQ"
2019-07-19,13.6,13.69,13.41,13.5,686700,"CHNG","NASDAQ"
2019-07-22,13.77,14.02,13.261,14,2163800,"CHNG","NASDAQ"
2019-07-23,14.069,14.73,13.904,14.61,1464700,"CHNG","NASDAQ"
2019-07-24,14.6,14.75,13.85,14.22,1511600,"CHNG","NASDAQ"
2019-07-25,14.22,14.48,14.0853,14.28,521800,"CHNG","NASDAQ"
2019-07-26,14.2991,14.704,14.125,14.48,722200,"CHNG","NASDAQ"
2019-07-29,14.42,14.61,14.1494,14.46,895100,"CHNG","NASDAQ"
2019-07-30,14.37,14.37,14,14.04,1458700,"CHNG","NASDAQ"
2019-07-31,14.05,14.293,13.9,13.93,1069000,"CHNG","NASDAQ"
2019-08-01,13.87,13.94,12.91,13.54,2147200,"CHNG","NASDAQ"
2019-08-02,13.52,13.55,12.79,13.16,1406600,"CHNG","NASDAQ"
2019-08-05,13.03,13.39,12.865,13.14,1417500,"CHNG","NASDAQ"
2019-08-06,13.18,13.47,13.18,13.33,680600,"CHNG","NASDAQ"
2019-08-07,13.21,13.35,12.957,13.15,1443300,"CHNG","NASDAQ"
2019-08-08,13.23,13.477,13.07,13.35,700100,"CHNG","NASDAQ"
2019-08-09,13.36,13.41,13,13.2,566700,"CHNG","NASDAQ"
2019-08-12,13.15,13.275,13.01,13.09,784400,"CHNG","NASDAQ"
2019-08-13,13.1,13.2,12.04,12.07,1948700,"CHNG","NASDAQ"
2019-08-14,13.24,13.44,12.77,13.16,5299300,"CHNG","NASDAQ"
2019-08-15,13.2,14.41,13.2,14.1,2849100,"CHNG","NASDAQ"
2019-08-16,14,14.79,13.92,14.73,2622000,"CHNG","NASDAQ"
2019-08-19,14.8,15.38,14.54,15.2,1686500,"CHNG","NASDAQ"
2019-08-20,15.41,15.5,15,15.06,1239800,"CHNG","NASDAQ"
2019-08-21,15.06,15.31,15,15.19,1056400,"CHNG","NASDAQ"
2019-08-22,15.22,15.24,14.22,14.23,1615500,"CHNG","NASDAQ"
2019-08-23,14.19,14.71,14.14,14.4,661800,"CHNG","NASDAQ"
2019-08-26,14.48,14.65,14.2,14.27,761500,"CHNG","NASDAQ"
2019-08-27,14.3,14.3,13.61,13.64,876400,"CHNG","NASDAQ"
2019-08-28,13.55,13.915,13.11,13.79,1558800,"CHNG","NASDAQ"
2019-08-29,13.88,14.18,13.68,14.06,1207200,"CHNG","NASDAQ"
2019-08-30,14.09,14.16,13.75,14.03,661300,"CHNG","NASDAQ"
2019-09-03,13.95,14.27,13.74,13.81,1193200,"CHNG","NASDAQ"
2019-09-04,13.91,14.2,13.73,13.82,682100,"CHNG","NASDAQ"
2019-09-05,13.92,14.04,13.57,13.75,364800,"CHNG","NASDAQ"
