"times","open","high","low","close","volume","symbol","market"
2019-05-30,19.4394,19.645,19.12,19.49,963200,"CHRS","NASDAQ"
2019-05-31,19.17,19.6,18.74,18.9,724200,"CHRS","NASDAQ"
2019-06-03,18.98,19.03,18.2,18.37,902000,"CHRS","NASDAQ"
2019-06-04,18.65,18.7493,17.92,18.63,833900,"CHRS","NASDAQ"
2019-06-05,18.72,18.86,18.33,18.64,767800,"CHRS","NASDAQ"
2019-06-06,18.59,18.8689,17.94,17.97,764700,"CHRS","NASDAQ"
2019-06-07,18.01,18.33,17.785,17.91,504300,"CHRS","NASDAQ"
2019-06-10,17.99,18.44,17.22,17.26,674400,"CHRS","NASDAQ"
2019-06-11,17.79,18.16,17.18,17.56,1041500,"CHRS","NASDAQ"
2019-06-12,17.59,18.1,17.39,17.91,607900,"CHRS","NASDAQ"
2019-06-13,17.94,18.26,17.5302,18.25,555500,"CHRS","NASDAQ"
2019-06-14,18.11,18.78,18.11,18.65,692800,"CHRS","NASDAQ"
2019-06-17,18.69,19.7006,18.53,19.55,812300,"CHRS","NASDAQ"
2019-06-18,19.69,19.69,19.01,19.36,774300,"CHRS","NASDAQ"
2019-06-19,19.7,20.97,19.61,20.67,1661700,"CHRS","NASDAQ"
2019-06-20,20.99,21.87,20.7,21.66,1457400,"CHRS","NASDAQ"
2019-06-21,21.73,22.03,21.28,21.77,1143900,"CHRS","NASDAQ"
2019-06-24,21.68,21.79,20.71,21.34,776400,"CHRS","NASDAQ"
2019-06-25,21.47,21.98,20.7511,21.14,1253900,"CHRS","NASDAQ"
2019-06-26,21.29,21.61,20.645,20.89,965100,"CHRS","NASDAQ"
2019-06-27,20.95,21.51,20.9504,21.49,624500,"CHRS","NASDAQ"
2019-06-28,21.62,22.17,21.49,22.1,3653700,"CHRS","NASDAQ"
2019-07-01,22.31,22.5755,21.475,22.52,1074000,"CHRS","NASDAQ"
2019-07-02,22.52,23.18,22.32,22.96,1054600,"CHRS","NASDAQ"
2019-07-03,23.15,23.43,22.65,23.37,529300,"CHRS","NASDAQ"
2019-07-05,23.16,23.293,22.3795,22.74,690200,"CHRS","NASDAQ"
2019-07-08,22.76,23.43,17.81,19.715,7719800,"CHRS","NASDAQ"
2019-07-09,19.75,20.55,19.34,20.29,1504300,"CHRS","NASDAQ"
2019-07-10,20.31,20.48,19.6,20.39,780800,"CHRS","NASDAQ"
2019-07-11,20.53,20.6,19.7,19.75,871700,"CHRS","NASDAQ"
2019-07-12,19.67,19.99,19.165,19.23,896600,"CHRS","NASDAQ"
2019-07-15,19.2,19.23,18.65,18.86,601100,"CHRS","NASDAQ"
2019-07-16,18.9,19.27,18.43,18.52,521300,"CHRS","NASDAQ"
2019-07-17,18.46,18.525,17.76,17.78,509600,"CHRS","NASDAQ"
2019-07-18,17.73,18.24,17.513,18.08,534800,"CHRS","NASDAQ"
2019-07-19,18.03,18.29,17.6607,17.68,556300,"CHRS","NASDAQ"
2019-07-22,17.81,17.81,16.99,17.06,609800,"CHRS","NASDAQ"
2019-07-23,17.11,18.7989,16.79,18.1,1697000,"CHRS","NASDAQ"
2019-07-24,18.07,18.2117,17.37,17.8,668000,"CHRS","NASDAQ"
2019-07-25,17.88,17.9,16.87,16.89,811200,"CHRS","NASDAQ"
2019-07-26,16.93,17.22,16.665,16.69,690100,"CHRS","NASDAQ"
2019-07-29,16.68,17.2378,16.18,16.3,688400,"CHRS","NASDAQ"
