"times","open","high","low","close","volume","symbol","market"
2019-05-30,27.76,27.85,27.63,27.79,23000,"CHSCL","NASDAQ"
2019-05-31,27.74,27.82,27.38,27.44,106400,"CHSCL","NASDAQ"
2019-06-03,27.52,27.73,27.51,27.691,12600,"CHSCL","NASDAQ"
2019-06-04,27.7733,27.89,27.75,27.75,33400,"CHSCL","NASDAQ"
2019-06-05,27.929,27.93,27.827,27.92,10100,"CHSCL","NASDAQ"
2019-06-06,27.85,27.99,27.801,27.99,12200,"CHSCL","NASDAQ"
2019-06-07,27.84,27.99,27.8,27.98,46100,"CHSCL","NASDAQ"
2019-06-10,27.94,27.99,27.9,27.91,30700,"CHSCL","NASDAQ"
2019-06-11,27.96,27.96,27.76,27.76,31400,"CHSCL","NASDAQ"
2019-06-12,27.83,27.881,27.69,27.8,15600,"CHSCL","NASDAQ"
2019-06-13,27.6,27.64,27.31,27.5,20100,"CHSCL","NASDAQ"
2019-06-14,27.6,27.73,27.52,27.73,14700,"CHSCL","NASDAQ"
2019-06-17,27.6226,27.78,27.62,27.71,25000,"CHSCL","NASDAQ"
2019-06-18,27.77,27.88,27.64,27.64,25900,"CHSCL","NASDAQ"
2019-06-19,27.73,27.8,27.595,27.76,30900,"CHSCL","NASDAQ"
2019-06-20,27.67,27.817,27.67,27.7,24200,"CHSCL","NASDAQ"
2019-06-21,27.66,27.83,27.61,27.66,32100,"CHSCL","NASDAQ"
2019-06-24,27.85,27.85,27.66,27.66,18200,"CHSCL","NASDAQ"
2019-06-25,27.66,27.7804,27.66,27.69,27600,"CHSCL","NASDAQ"
2019-06-26,27.7294,27.73,27.38,27.44,35400,"CHSCL","NASDAQ"
2019-06-27,27.43,27.544,27.38,27.38,40000,"CHSCL","NASDAQ"
2019-06-28,27.61,27.76,27.18,27.21,156700,"CHSCL","NASDAQ"
2019-07-01,27.37,27.54,27.282,27.43,29300,"CHSCL","NASDAQ"
2019-07-02,27.49,27.72,27.316,27.67,23500,"CHSCL","NASDAQ"
2019-07-03,27.51,27.64,27.4204,27.47,36200,"CHSCL","NASDAQ"
2019-07-05,27.45,27.509,27.26,27.39,12200,"CHSCL","NASDAQ"
2019-07-08,27.29,27.58,27.29,27.36,15300,"CHSCL","NASDAQ"
2019-07-09,27.28,27.442,27.28,27.28,21800,"CHSCL","NASDAQ"
2019-07-10,27.39,27.54,27.21,27.29,19200,"CHSCL","NASDAQ"
2019-07-11,27.31,27.4,27.27,27.36,7600,"CHSCL","NASDAQ"
2019-07-12,27.39,27.4682,27.39,27.46,18900,"CHSCL","NASDAQ"
2019-07-15,27.3337,27.48,27.33,27.44,16500,"CHSCL","NASDAQ"
2019-07-16,27.4563,27.55,27.41,27.44,13800,"CHSCL","NASDAQ"
2019-07-17,27.45,27.64,27.41,27.555,31800,"CHSCL","NASDAQ"
2019-07-18,27.57,27.82,27.514,27.76,27900,"CHSCL","NASDAQ"
2019-07-19,27.77,27.93,27.744,27.8,36000,"CHSCL","NASDAQ"
2019-07-22,27.569,27.917,27.569,27.7,37900,"CHSCL","NASDAQ"
2019-07-23,27.76,27.88,27.6133,27.62,27300,"CHSCL","NASDAQ"
2019-07-24,27.62,27.81,27.61,27.63,29500,"CHSCL","NASDAQ"
2019-07-25,27.67,27.78,27.57,27.57,46800,"CHSCL","NASDAQ"
2019-07-26,27.64,27.745,27.58,27.62,17800,"CHSCL","NASDAQ"
2019-07-29,27.69,27.69,27.56,27.59,39100,"CHSCL","NASDAQ"
2019-07-30,27.58,27.65,27.41,27.41,39300,"CHSCL","NASDAQ"
2019-07-31,27.48,27.55,27.3,27.38,119500,"CHSCL","NASDAQ"
2019-08-01,27.4087,27.59,27.41,27.51,29800,"CHSCL","NASDAQ"
2019-08-02,27.49,27.53,27.33,27.41,17700,"CHSCL","NASDAQ"
2019-08-05,27.42,27.42,27.03,27.18,21300,"CHSCL","NASDAQ"
2019-08-06,27.2,27.4,27.17,27.27,17300,"CHSCL","NASDAQ"
2019-08-07,27.23,27.285,26.99,27.09,64000,"CHSCL","NASDAQ"
2019-08-08,27.31,27.31,27.08,27.26,23300,"CHSCL","NASDAQ"
2019-08-09,27.25,27.37,27.13,27.22,18000,"CHSCL","NASDAQ"
2019-08-12,27.25,27.52,27.175,27.45,21000,"CHSCL","NASDAQ"
2019-08-13,27.34,27.68,27.34,27.58,30300,"CHSCL","NASDAQ"
2019-08-14,27.57,27.6,27.404,27.6,26300,"CHSCL","NASDAQ"
2019-08-15,27.6,27.79,27.58,27.77,43200,"CHSCL","NASDAQ"
2019-08-16,27.8,27.8,27.48,27.56,19300,"CHSCL","NASDAQ"
2019-08-19,27.79,27.79,27.57,27.68,17700,"CHSCL","NASDAQ"
2019-08-20,27.8,27.8,27.62,27.68,23700,"CHSCL","NASDAQ"
2019-08-21,27.792,27.8,27.61,27.67,27400,"CHSCL","NASDAQ"
2019-08-22,27.77,27.8,27.657,27.71,39800,"CHSCL","NASDAQ"
2019-08-23,27.78,27.79,27.6,27.62,19800,"CHSCL","NASDAQ"
2019-08-26,27.71,27.71,27.35,27.38,60800,"CHSCL","NASDAQ"
2019-08-27,27.48,27.58,27.328,27.45,37600,"CHSCL","NASDAQ"
2019-08-28,27.53,27.58,27.42,27.44,62800,"CHSCL","NASDAQ"
2019-08-29,27.58,27.58,27.2,27.21,52700,"CHSCL","NASDAQ"
2019-08-30,27.25,27.417,27.16,27.2,146100,"CHSCL","NASDAQ"
2019-09-03,27.32,27.503,27.32,27.41,16700,"CHSCL","NASDAQ"
2019-09-04,27.5,27.6,27.365,27.6,50100,"CHSCL","NASDAQ"
2019-09-05,27.65,27.699,27.495,27.58,19700,"CHSCL","NASDAQ"
2019-09-06,27.635,27.77,27.535,27.74,26600,"CHSCL","NASDAQ"
2019-09-09,27.8,27.8,27.585,27.66,27500,"CHSCL","NASDAQ"
2019-09-10,27.64,27.75,27.61,27.66,38100,"CHSCL","NASDAQ"
2019-09-11,27.58,27.824,27.5,27.62,48000,"CHSCL","NASDAQ"
2019-09-12,27.62,27.78,27.53,27.72,24000,"CHSCL","NASDAQ"
2019-09-13,27.51,27.535,26.97,27.12,46400,"CHSCL","NASDAQ"
2019-09-16,27.15,27.85,27.1,27.32,11300,"CHSCL","NASDAQ"
2019-09-17,27.35,27.35,27.1,27.3,18400,"CHSCL","NASDAQ"
2019-09-18,27.35,27.5,27.253,27.35,40700,"CHSCL","NASDAQ"
2019-09-19,27.35,27.35,27.25,27.309,12600,"CHSCL","NASDAQ"
2019-09-20,27.35,27.35,27.25,27.35,19800,"CHSCL","NASDAQ"
2019-09-23,27.35,27.46,27.315,27.46,42100,"CHSCL","NASDAQ"
2019-09-24,27.46,27.48,27.31,27.33,24600,"CHSCL","NASDAQ"
2019-09-25,27.37,27.48,27.21,27.32,26000,"CHSCL","NASDAQ"
2019-09-26,27.42,27.48,27.37,27.41,11800,"CHSCL","NASDAQ"
2019-09-27,27.4,27.469,27.2,27.28,17200,"CHSCL","NASDAQ"
2019-09-30,27.4,27.42,27.186,27.3,102500,"CHSCL","NASDAQ"
2019-10-01,27.41,27.487,27.3,27.3,46700,"CHSCL","NASDAQ"
2019-10-02,27.38,27.38,27.17,27.31,19100,"CHSCL","NASDAQ"
2019-10-03,27.39,27.429,27.249,27.38,26200,"CHSCL","NASDAQ"
2019-10-04,27.39,27.58,27.247,27.52,26100,"CHSCL","NASDAQ"
2019-10-07,27.33,27.61,27.311,27.41,13500,"CHSCL","NASDAQ"
2019-10-08,27.45,27.55,27.36,27.36,21700,"CHSCL","NASDAQ"
2019-10-09,27.41,27.53,27.36,27.36,24900,"CHSCL","NASDAQ"
2019-10-10,27.32,27.48,27.32,27.4,18200,"CHSCL","NASDAQ"
2019-10-11,27.34,27.55,27.34,27.55,13100,"CHSCL","NASDAQ"
2019-10-14,27.55,27.74,27.52,27.59,37400,"CHSCL","NASDAQ"
2019-10-15,27.53,27.7,27.51,27.691,15000,"CHSCL","NASDAQ"
2019-10-16,27.7,27.95,27.56,27.89,30800,"CHSCL","NASDAQ"
2019-10-17,27.88,27.9,27.713,27.88,19300,"CHSCL","NASDAQ"
2019-10-18,27.84,27.88,27.54,27.56,22704,"CHSCL","NASDAQ"
