"times","open","high","low","close","volume","symbol","market"
2019-05-30,26.65,26.74,26.49,26.58,19100,"CHSCN","NASDAQ"
2019-05-31,26.63,26.64,26.16,26.16,104900,"CHSCN","NASDAQ"
2019-06-03,26.3,26.4399,26.3,26.38,26700,"CHSCN","NASDAQ"
2019-06-04,26.53,26.76,26.495,26.75,22100,"CHSCN","NASDAQ"
2019-06-05,26.77,26.9,26.75,26.82,24000,"CHSCN","NASDAQ"
2019-06-06,26.85,26.9,26.7,26.82,10800,"CHSCN","NASDAQ"
2019-06-07,26.96,26.96,26.64,26.912,17800,"CHSCN","NASDAQ"
2019-06-10,26.99,27,26.86,26.87,15300,"CHSCN","NASDAQ"
2019-06-11,26.94,26.98,26.79,26.79,8000,"CHSCN","NASDAQ"
2019-06-12,26.79,26.921,26.76,26.78,8900,"CHSCN","NASDAQ"
2019-06-13,26.66,26.66,26.455,26.49,10500,"CHSCN","NASDAQ"
2019-06-14,26.49,26.7818,26.49,26.58,9300,"CHSCN","NASDAQ"
2019-06-17,26.6,26.88,26.6,26.76,8800,"CHSCN","NASDAQ"
2019-06-18,26.93,26.94,26.7,26.88,14300,"CHSCN","NASDAQ"
2019-06-19,26.66,26.95,26.6,26.89,14400,"CHSCN","NASDAQ"
2019-06-20,27.08,27.13,27.0393,27.09,8600,"CHSCN","NASDAQ"
2019-06-21,27.09,27.17,26.83,27.002,13100,"CHSCN","NASDAQ"
2019-06-24,27.04,27.04,26.73,26.74,11400,"CHSCN","NASDAQ"
2019-06-25,26.843,26.97,26.77,26.78,11100,"CHSCN","NASDAQ"
2019-06-26,26.85,26.8508,26.51,26.71,20800,"CHSCN","NASDAQ"
2019-06-27,26.77,26.7808,26.46,26.63,14700,"CHSCN","NASDAQ"
2019-06-28,26.86,26.86,26.25,26.25,95100,"CHSCN","NASDAQ"
2019-07-01,26.38,26.55,26.38,26.46,12100,"CHSCN","NASDAQ"
2019-07-02,26.52,26.74,26.5,26.64,19800,"CHSCN","NASDAQ"
2019-07-03,26.7,26.7,26.5,26.52,9900,"CHSCN","NASDAQ"
2019-07-05,26.302,26.51,26.302,26.4,7300,"CHSCN","NASDAQ"
2019-07-08,26.48,26.54,26.39,26.39,6000,"CHSCN","NASDAQ"
2019-07-09,26.32,26.459,26.32,26.34,11700,"CHSCN","NASDAQ"
2019-07-10,26.417,26.5082,26.321,26.36,10800,"CHSCN","NASDAQ"
2019-07-11,26.29,26.509,26.28,26.39,13500,"CHSCN","NASDAQ"
2019-07-12,26.45,26.6375,26.38,26.51,10500,"CHSCN","NASDAQ"
2019-07-15,26.62,26.65,26.44,26.59,6500,"CHSCN","NASDAQ"
2019-07-16,26.59,26.65,26.531,26.59,13600,"CHSCN","NASDAQ"
2019-07-17,26.58,26.9,26.58,26.84,5600,"CHSCN","NASDAQ"
2019-07-18,26.84,27.23,26.757,27.17,10500,"CHSCN","NASDAQ"
2019-07-19,27.18,27.33,26.95,27.33,22600,"CHSCN","NASDAQ"
2019-07-22,27.26,27.319,27.1105,27.14,9800,"CHSCN","NASDAQ"
2019-07-23,27.1695,27.17,26.8,26.97,19900,"CHSCN","NASDAQ"
2019-07-24,26.97,27.25,26.9704,27.07,21100,"CHSCN","NASDAQ"
2019-07-25,27.16,27.237,26.99,27.12,11000,"CHSCN","NASDAQ"
2019-07-26,27.19,27.27,27.11,27.21,16600,"CHSCN","NASDAQ"
2019-07-29,27.225,27.564,27.1723,27.48,10900,"CHSCN","NASDAQ"
2019-07-30,27.49,27.49,27.2,27.24,19100,"CHSCN","NASDAQ"
2019-07-31,27.11,27.43,27.03,27.03,76200,"CHSCN","NASDAQ"
2019-08-01,27.07,27.3,27.07,27.29,21900,"CHSCN","NASDAQ"
2019-08-02,27.21,27.35,27.066,27.35,13400,"CHSCN","NASDAQ"
