"times","open","high","low","close","volume","symbol","market"
2019-05-30,1.845,1.9,1.845,1.89,4000,"CIDM","NASDAQ"
2019-05-31,1.86,1.9,1.85,1.85,9000,"CIDM","NASDAQ"
2019-06-03,1.85,1.9,1.8399,1.85,35900,"CIDM","NASDAQ"
2019-06-04,1.859,1.87,1.79,1.82,23100,"CIDM","NASDAQ"
2019-06-05,1.8,1.84,1.8,1.802,14900,"CIDM","NASDAQ"
2019-06-06,1.8,1.8,1.7,1.73,29300,"CIDM","NASDAQ"
2019-06-07,1.666,1.685,1.5,1.52,132500,"CIDM","NASDAQ"
2019-06-10,1.5,1.5,1.33,1.37,141700,"CIDM","NASDAQ"
2019-06-11,1.38,1.43,1.15,1.31,178300,"CIDM","NASDAQ"
2019-06-12,1.3,1.44,1.25,1.38,202900,"CIDM","NASDAQ"
2019-06-13,1.42,1.42,1.29,1.36,42500,"CIDM","NASDAQ"
2019-06-14,1.354,1.4,1.3,1.4,41100,"CIDM","NASDAQ"
2019-06-17,1.39,1.42,1.29,1.29,44700,"CIDM","NASDAQ"
2019-06-18,1.33,1.41,1.33,1.343,28700,"CIDM","NASDAQ"
2019-06-19,1.36,1.41,1.341,1.39,24100,"CIDM","NASDAQ"
2019-06-20,1.4,1.44,1.38,1.39,53500,"CIDM","NASDAQ"
2019-06-21,1.37,1.4,1.35,1.36,10600,"CIDM","NASDAQ"
2019-06-24,1.37,1.37,1.315,1.335,30400,"CIDM","NASDAQ"
2019-06-25,1.35,1.393,1.34,1.371,5700,"CIDM","NASDAQ"
2019-06-26,1.349,1.4,1.344,1.375,13600,"CIDM","NASDAQ"
2019-06-27,1.39,1.4,1.36,1.36,4700,"CIDM","NASDAQ"
2019-06-28,1.37,1.4298,1.35,1.35,27100,"CIDM","NASDAQ"
2019-07-01,1.37,1.4,1.33,1.33,25100,"CIDM","NASDAQ"
2019-07-02,1.34,1.39,1.31,1.36,32200,"CIDM","NASDAQ"
2019-07-03,1.35,1.36,1.33,1.33,10700,"CIDM","NASDAQ"
2019-07-05,1.35,1.363,1.33,1.33,21700,"CIDM","NASDAQ"
2019-07-08,1.34,1.38,1.28,1.31,17800,"CIDM","NASDAQ"
2019-07-09,1.32,1.33,1.15,1.15,32100,"CIDM","NASDAQ"
2019-07-10,1.18,1.26,1.18,1.25,20000,"CIDM","NASDAQ"
2019-07-11,1.22,1.27,1.15,1.16,42700,"CIDM","NASDAQ"
2019-07-12,1.17,1.26,1.16,1.2,11000,"CIDM","NASDAQ"
2019-07-15,1.19,1.21,1.17,1.21,37200,"CIDM","NASDAQ"
2019-07-16,1.29,1.29,1.15,1.16,70100,"CIDM","NASDAQ"
2019-07-17,1.16,1.29,1.09,1.22,68700,"CIDM","NASDAQ"
2019-07-18,1.19,1.2,1.15,1.17,13100,"CIDM","NASDAQ"
2019-07-19,1.18,1.25,1.17,1.22,74900,"CIDM","NASDAQ"
2019-07-22,1.24,1.25,1.15,1.22,7500,"CIDM","NASDAQ"
2019-07-23,1.1999,1.25,1.18,1.25,17700,"CIDM","NASDAQ"
2019-07-24,1.23,1.24,1.18,1.21,44600,"CIDM","NASDAQ"
2019-07-25,1.23,1.24,1.14,1.15,57500,"CIDM","NASDAQ"
2019-07-26,1.15,1.2,1.15,1.19,3700,"CIDM","NASDAQ"
2019-07-29,1.19,1.2,1.05,1.13,19000,"CIDM","NASDAQ"
2019-07-30,1.12,1.17,1.12,1.16,6100,"CIDM","NASDAQ"
2019-07-31,1.14,1.15,1.1,1.1,8000,"CIDM","NASDAQ"
2019-08-01,1.1,1.1,1.06,1.06,35000,"CIDM","NASDAQ"
2019-08-02,1.06,1.13,1.06,1.12,9400,"CIDM","NASDAQ"
2019-08-05,1.12,1.12,1.05,1.05,9500,"CIDM","NASDAQ"
2019-08-06,1.06,1.09,1.01,1.01,22900,"CIDM","NASDAQ"
2019-08-07,1.04,1.09,1.04,1.09,19600,"CIDM","NASDAQ"
2019-08-08,1.09,1.24,1.07,1.24,19700,"CIDM","NASDAQ"
2019-08-09,1.32,1.35,1.2301,1.3,18100,"CIDM","NASDAQ"
2019-08-12,1.26,1.26,1.22,1.22,8900,"CIDM","NASDAQ"
2019-08-13,1.24,1.25,1.24,1.24,2900,"CIDM","NASDAQ"
2019-08-14,1.27,1.28,1.17,1.25,23100,"CIDM","NASDAQ"
2019-08-15,1.25,1.25,1.22,1.22,500,"CIDM","NASDAQ"
2019-08-16,1.24,1.24,1.24,1.24,900,"CIDM","NASDAQ"
2019-08-19,1.25,1.28,1.21,1.21,4100,"CIDM","NASDAQ"
2019-08-20,1.21,1.3,1.04,1.05,121300,"CIDM","NASDAQ"
2019-08-21,1.05,1.13,1.01,1.13,31700,"CIDM","NASDAQ"
2019-08-22,1.13,1.14,1.09,1.09,2300,"CIDM","NASDAQ"
2019-08-23,1.1,1.14,1.09,1.13,10600,"CIDM","NASDAQ"
2019-08-26,1.13,1.13,1.02,1.06,26600,"CIDM","NASDAQ"
2019-08-27,1.07,1.07,0.95,1.02,15600,"CIDM","NASDAQ"
2019-08-28,1,1.06,0.99,0.99,14600,"CIDM","NASDAQ"
2019-08-29,1.01,1.03,0.99,0.99,10300,"CIDM","NASDAQ"
