"times","open","high","low","close","volume","symbol","market"
2019-05-30,61.95,61.96,61.39,61.57,45500,"CIGI","NASDAQ"
2019-05-31,61.31,61.799,61.09,61.56,59300,"CIGI","NASDAQ"
2019-06-03,61.75,62.52,61.56,62.52,73700,"CIGI","NASDAQ"
2019-06-04,63.04,64.23,62.91,64.1,78800,"CIGI","NASDAQ"
2019-06-05,64.2,65.71,63.89,65.54,174400,"CIGI","NASDAQ"
2019-06-06,65.7,66.35,65.54,66.2,89700,"CIGI","NASDAQ"
2019-06-07,66.61,68.6,66.52,68.34,296600,"CIGI","NASDAQ"
2019-06-10,68.57,69.47,68.39,69.1,142800,"CIGI","NASDAQ"
2019-06-11,69.2,69.62,66.4,67.06,91400,"CIGI","NASDAQ"
2019-06-12,67.12,67.71,66.49,66.66,147400,"CIGI","NASDAQ"
2019-06-13,67.09,68.04,66.83,67.95,33700,"CIGI","NASDAQ"
2019-06-14,68.31,69.01,67.28,68.5,44100,"CIGI","NASDAQ"
2019-06-17,68.8,69.81,68.6395,69.19,45800,"CIGI","NASDAQ"
2019-06-18,69.405,70.81,69.34,70.18,69500,"CIGI","NASDAQ"
2019-06-19,70.04,70.74,69.98,70.62,59600,"CIGI","NASDAQ"
2019-06-20,71.1,71.33,69.93,70.28,70500,"CIGI","NASDAQ"
2019-06-21,70.35,70.9708,69.735,70.49,48400,"CIGI","NASDAQ"
2019-06-24,70.21,70.67,69.94,70.13,58100,"CIGI","NASDAQ"
2019-06-25,70.42,70.94,70,70.75,73500,"CIGI","NASDAQ"
2019-06-26,70.24,70.43,69.3773,69.85,101400,"CIGI","NASDAQ"
2019-06-27,69.78,70.99,69.67,70.77,38800,"CIGI","NASDAQ"
2019-06-28,71,71.63,70.43,71.62,30800,"CIGI","NASDAQ"
2019-07-01,72,72.15,71.1,71.58,22200,"CIGI","NASDAQ"
2019-07-02,71.58,71.87,70.89,71.28,53500,"CIGI","NASDAQ"
2019-07-03,71.33,71.7,71.15,71.58,26500,"CIGI","NASDAQ"
2019-07-05,70.88,72,70.65,72,40700,"CIGI","NASDAQ"
2019-07-08,72,72.23,71.27,72.12,60400,"CIGI","NASDAQ"
2019-07-09,71.78,71.93,70.96,71.23,30500,"CIGI","NASDAQ"
2019-07-10,71.49,71.98,70.6,71.46,44400,"CIGI","NASDAQ"
2019-07-11,71.8,72.01,71.17,71.97,49800,"CIGI","NASDAQ"
2019-07-12,71.22,73.58,71.09,73.08,76400,"CIGI","NASDAQ"
2019-07-15,73.58,73.95,72.92,73.28,61400,"CIGI","NASDAQ"
2019-07-16,73.0296,74.05,73.03,73.83,90400,"CIGI","NASDAQ"
2019-07-17,73.91,75.36,73.86,74.45,60800,"CIGI","NASDAQ"
2019-07-18,73.99,75.42,73.99,75.2,54500,"CIGI","NASDAQ"
2019-07-19,75.35,75.73,75.14,75.38,106000,"CIGI","NASDAQ"
2019-07-22,74.89,75.1,74.5254,74.75,120000,"CIGI","NASDAQ"
2019-07-23,74.99,74.99,74.4,74.52,58400,"CIGI","NASDAQ"
2019-07-24,74.74,76.42,74.44,76.36,33400,"CIGI","NASDAQ"
2019-07-25,76.48,76.71,75.94,76.28,41100,"CIGI","NASDAQ"
2019-07-26,76.71,77.39,76.18,77.17,41400,"CIGI","NASDAQ"
2019-07-29,77.51,77.79,76.52,76.96,45000,"CIGI","NASDAQ"
2019-07-30,74.3,74.3,71.12,72.69,168900,"CIGI","NASDAQ"
2019-07-31,73.07,73.54,72.55,72.56,112200,"CIGI","NASDAQ"
2019-08-01,72.65,73.43,72.21,72.67,74200,"CIGI","NASDAQ"
2019-08-02,72.22,72.6578,71.76,72.36,36900,"CIGI","NASDAQ"
2019-08-05,71.35,74.18,69.72,71.12,32300,"CIGI","NASDAQ"
2019-08-06,70.61,71.46,68.81,70.14,82300,"CIGI","NASDAQ"
2019-08-07,70.41,70.7308,69.23,70.49,44100,"CIGI","NASDAQ"
2019-08-08,71.31,72.22,70.84,71.74,59700,"CIGI","NASDAQ"
2019-08-09,72.0958,72.1,70.92,71.01,69400,"CIGI","NASDAQ"
2019-08-12,71.04,71.04,69.13,69.78,55300,"CIGI","NASDAQ"
2019-08-13,69.6731,70.51,68.81,69.47,56500,"CIGI","NASDAQ"
2019-08-14,68.91,68.925,67.083,67.73,109600,"CIGI","NASDAQ"
2019-08-15,67.27,67.85,66.6,67.09,37000,"CIGI","NASDAQ"
2019-08-16,67.49,68.45,67.26,67.72,64600,"CIGI","NASDAQ"
2019-08-19,68.25,68.9,67.73,68.08,40000,"CIGI","NASDAQ"
2019-08-20,67.88,68.09,67.42,67.82,39800,"CIGI","NASDAQ"
2019-08-21,68.66,68.86,68.17,68.31,18600,"CIGI","NASDAQ"
2019-08-22,68.33,68.33,67.17,67.3,23700,"CIGI","NASDAQ"
2019-08-23,67.01,67.2,65.77,65.96,53500,"CIGI","NASDAQ"
2019-08-26,66.37,66.69,65.56,65.66,31200,"CIGI","NASDAQ"
2019-08-27,66.06,66.08,64.91,65.35,87700,"CIGI","NASDAQ"
2019-08-28,64.53,66.76,64.53,66.14,43300,"CIGI","NASDAQ"
