"times","open","high","low","close","volume","symbol","market"
2019-05-24,285,287,285,287,300,"CIH","NASDAQ"
2019-05-28,287,287,287,287,470,"CIH","NASDAQ"
2019-05-30,289,290,289,290,25,"CIH","NASDAQ"
2019-05-31,286.15,293,277.5,277.5,1330,"CIH","NASDAQ"
2019-06-03,272.2,272.2,272.2,272.2,172,"CIH","NASDAQ"
2019-06-04,290,290,290,290,16,"CIH","NASDAQ"
2019-06-05,290,290,290,290,0,"CIH","NASDAQ"
2019-06-06,290,290,290,290,0,"CIH","NASDAQ"
2019-06-07,290,290,290,290,16,"CIH","NASDAQ"
2019-06-12,0.34,4.58,0.34,3.2,286442,"CIH","NASDAQ"
2019-06-13,3.2,3.2,2.364,2.96,259400,"CIH","NASDAQ"
2019-06-14,2.99,3.4,2.99,3.3,518100,"CIH","NASDAQ"
2019-06-17,3.41,3.41,2.58,3.41,972500,"CIH","NASDAQ"
2019-06-18,3.32,3.5996,3.16,3.49,585700,"CIH","NASDAQ"
2019-06-19,3.6,3.68,3.4,3.4,265100,"CIH","NASDAQ"
2019-06-20,3.5,3.55,3.19,3.32,195000,"CIH","NASDAQ"
2019-06-21,3.37,3.5,3.29,3.4,851900,"CIH","NASDAQ"
2019-06-24,3.4,3.53,3.2,3.52,204200,"CIH","NASDAQ"
2019-06-25,3.53,3.53,3.32,3.48,64200,"CIH","NASDAQ"
2019-06-26,3.43,3.54,3.31,3.49,111200,"CIH","NASDAQ"
2019-06-27,3.5,3.69,3.36,3.45,882700,"CIH","NASDAQ"
2019-06-28,3.49,3.56,3.347,3.55,60800,"CIH","NASDAQ"
2019-07-01,3.56,3.66,3.37,3.6,79400,"CIH","NASDAQ"
2019-07-02,3.5,3.68,3.35,3.54,44200,"CIH","NASDAQ"
2019-07-03,3.46,3.63,3.03,3.22,111400,"CIH","NASDAQ"
2019-07-05,3.02,3.19,2.72,2.72,113800,"CIH","NASDAQ"
2019-07-08,2.9,3.08,2.8,3,115400,"CIH","NASDAQ"
2019-07-09,2.95,3.04,2.95,2.97,867900,"CIH","NASDAQ"
2019-07-10,2.97,2.9996,2.72,2.774,51000,"CIH","NASDAQ"
2019-07-11,2.75,2.9699,2.66,2.88,1201500,"CIH","NASDAQ"
2019-07-12,2.88,3.05,2.88,3,118000,"CIH","NASDAQ"
2019-07-15,2.92,3.1397,2.92,3.07,108000,"CIH","NASDAQ"
2019-07-16,2.99,3.14,2.97,3.04,112300,"CIH","NASDAQ"
2019-07-17,3.14,3.14,2.98,3.015,181000,"CIH","NASDAQ"
2019-07-18,3.08,3.1,2.9349,3.035,69700,"CIH","NASDAQ"
2019-07-19,2.92,3.07,2.92,3.05,67600,"CIH","NASDAQ"
2019-07-22,3,3.11,2.97,2.99,69500,"CIH","NASDAQ"
2019-07-23,3.02,3.09,2.92,3,19400,"CIH","NASDAQ"
2019-07-24,3.11,3.11,2.96,2.96,57500,"CIH","NASDAQ"
2019-07-25,2.92,3.035,2.92,2.94,30100,"CIH","NASDAQ"
2019-07-26,3.05,3.09,2.95,2.96,164400,"CIH","NASDAQ"
2019-07-29,3,3.09,2.9,3,51500,"CIH","NASDAQ"
2019-07-30,2.86,3.02,2.86,2.97,12300,"CIH","NASDAQ"
2019-07-31,2.95,3.04,2.86,2.88,73300,"CIH","NASDAQ"
2019-08-01,2.92,3.04,2.57,2.85,63600,"CIH","NASDAQ"
2019-08-02,2.8,2.885,2.78,2.78,23800,"CIH","NASDAQ"
2019-08-05,2.75,2.7501,2.28,2.67,61900,"CIH","NASDAQ"
2019-08-06,2.57,2.6499,2.46,2.49,10400,"CIH","NASDAQ"
2019-08-07,2.63,2.63,2.3,2.3,16400,"CIH","NASDAQ"
2019-08-08,2.26,2.46,2.25,2.43,28300,"CIH","NASDAQ"
2019-08-09,2.28,2.42,2.26,2.3,7600,"CIH","NASDAQ"
2019-08-12,2.34,2.38,2.25,2.27,71100,"CIH","NASDAQ"
2019-08-13,2.25,2.25,1.9,2.05,38800,"CIH","NASDAQ"
2019-08-14,2.23,2.37,2.055,2.07,52700,"CIH","NASDAQ"
2019-08-15,2.09,2.35,2.081,2.35,85300,"CIH","NASDAQ"
2019-08-16,2.45,2.45,2.1,2.1,151400,"CIH","NASDAQ"
2019-08-19,2.11,2.3,2.11,2.2,8200,"CIH","NASDAQ"
2019-08-20,2.2,2.49,2.15,2.33,54600,"CIH","NASDAQ"
2019-08-21,2.284,2.42,2.25,2.28,27300,"CIH","NASDAQ"
2019-08-22,2.45,2.6,2.1,2.46,60400,"CIH","NASDAQ"
2019-08-23,2.45,3.06,2.45,3.06,78600,"CIH","NASDAQ"
2019-08-26,3,3,2.83,2.9,159400,"CIH","NASDAQ"
2019-08-27,2.93,3.2,2.903,2.95,42600,"CIH","NASDAQ"
2019-08-28,3,3.1,2.91,2.91,121400,"CIH","NASDAQ"
2019-08-29,3.1,3.33,3,3.1,50900,"CIH","NASDAQ"
2019-08-30,3.27,3.29,3.075,3.17,41100,"CIH","NASDAQ"
2019-09-03,3.26,3.335,2.89,3,361200,"CIH","NASDAQ"
2019-09-04,3,3.16,2.93,2.93,1197300,"CIH","NASDAQ"
2019-09-05,3.22,3.415,3.12,3.4,165700,"CIH","NASDAQ"
2019-09-06,3.4,3.78,3.35,3.58,153100,"CIH","NASDAQ"
2019-09-09,3.5,3.65,3.48,3.5,69900,"CIH","NASDAQ"
2019-09-10,3.53,3.72,3.2,3.54,766200,"CIH","NASDAQ"
2019-09-11,3.37,3.9,3.37,3.89,118100,"CIH","NASDAQ"
2019-09-12,3.88,4.33,3.79,4.1,343500,"CIH","NASDAQ"
2019-09-13,4.08,4.66,4,4.34,411400,"CIH","NASDAQ"
2019-09-16,4.42,5.07,4.314,5.04,407000,"CIH","NASDAQ"
2019-09-17,5.02,5.18,4.41,5.07,799700,"CIH","NASDAQ"
2019-09-18,5.08,5.12,4.7,4.93,541300,"CIH","NASDAQ"
2019-09-19,4.94,5.05,4.72,5.01,320400,"CIH","NASDAQ"
2019-09-20,4.87,5.01,4.79,4.88,172500,"CIH","NASDAQ"
2019-09-23,4.88,4.96,4.76,4.85,977700,"CIH","NASDAQ"
2019-09-24,4.76,4.945,4.76,4.766,778800,"CIH","NASDAQ"
2019-09-25,4.76,4.89,4.38,4.5,127500,"CIH","NASDAQ"
2019-09-26,4.51,4.8,4.2,4.35,2354300,"CIH","NASDAQ"
2019-09-27,4.34,4.34,3.8,4.01,97700,"CIH","NASDAQ"
2019-09-30,3.95,4.16,3.68,3.9,38400,"CIH","NASDAQ"
2019-10-01,3.91,4.18,3.74,3.765,31000,"CIH","NASDAQ"
2019-10-02,3.61,4.19,3.61,3.78,45800,"CIH","NASDAQ"
2019-10-03,3.835,4.07,3.835,3.98,27500,"CIH","NASDAQ"
2019-10-04,3.92,4.07,3.9,3.97,23400,"CIH","NASDAQ"
2019-10-07,3.93,4.15,3.88,4.1,35000,"CIH","NASDAQ"
2019-10-08,4.15,4.25,4,4.21,40500,"CIH","NASDAQ"
2019-10-09,4.14,4.25,4.1,4.17,8200,"CIH","NASDAQ"
2019-10-10,4.12,4.28,4.03,4.03,21300,"CIH","NASDAQ"
2019-10-11,3.99,4.12,3.95,3.99,9200,"CIH","NASDAQ"
2019-10-14,4,4.69,3.905,4.53,174500,"CIH","NASDAQ"
2019-10-15,4.53,4.53,4,4.17,58000,"CIH","NASDAQ"
2019-10-16,4.08,4.25,4.08,4.25,28400,"CIH","NASDAQ"
2019-10-17,4.21,4.21,3.91,4.05,18500,"CIH","NASDAQ"
2019-10-18,4.05,4.1,3.8,3.85,71116,"CIH","NASDAQ"
