"times","open","high","low","close","volume","symbol","market"
2019-05-30,15.69,15.69,15.47,15.61,168200,"CLBK","NASDAQ"
2019-05-31,15.53,15.5904,15.13,15.27,114300,"CLBK","NASDAQ"
2019-06-03,15.2,15.45,15.09,15.27,151700,"CLBK","NASDAQ"
2019-06-04,15.35,15.4,15.18,15.36,88400,"CLBK","NASDAQ"
2019-06-05,15.39,15.405,15.2894,15.3,119300,"CLBK","NASDAQ"
2019-06-06,15.27,15.3,15.1,15.17,198200,"CLBK","NASDAQ"
2019-06-07,15,15,14.3802,14.47,544500,"CLBK","NASDAQ"
2019-06-10,14.56,15.1804,14.56,14.87,316900,"CLBK","NASDAQ"
2019-06-11,15.05,15.1,14.87,14.93,293000,"CLBK","NASDAQ"
2019-06-12,14.25,14.715,14.25,14.6,334100,"CLBK","NASDAQ"
2019-06-13,14.6,14.9,14.5,14.65,314300,"CLBK","NASDAQ"
2019-06-14,14.7,14.71,14.5054,14.51,194400,"CLBK","NASDAQ"
2019-06-17,14.5,14.5,14.36,14.48,214400,"CLBK","NASDAQ"
2019-06-18,14.66,14.87,14.59,14.69,239700,"CLBK","NASDAQ"
2019-06-19,14.7,14.76,14.61,14.68,187100,"CLBK","NASDAQ"
2019-06-20,14.75,14.9,14.62,14.89,255900,"CLBK","NASDAQ"
2019-06-21,14.79,14.98,14.79,14.83,371400,"CLBK","NASDAQ"
2019-06-24,14.84,14.9,14.76,14.83,274400,"CLBK","NASDAQ"
2019-06-25,14.84,14.94,14.8,14.9,151600,"CLBK","NASDAQ"
2019-06-26,14.92,14.95,14.85,14.91,199100,"CLBK","NASDAQ"
2019-06-27,14.94,15.16,14.86,15.07,323900,"CLBK","NASDAQ"
2019-06-28,15.09,15.16,14.9,15.1,666300,"CLBK","NASDAQ"
2019-07-01,15.13,15.25,15.07,15.18,258200,"CLBK","NASDAQ"
2019-07-02,15.21,15.29,15.13,15.13,196000,"CLBK","NASDAQ"
2019-07-03,15.16,15.35,15.15,15.26,121500,"CLBK","NASDAQ"
2019-07-05,15.24,15.33,15.17,15.31,180900,"CLBK","NASDAQ"
2019-07-08,15.31,15.32,15.2,15.32,215900,"CLBK","NASDAQ"
2019-07-09,15.29,15.37,15.25,15.35,169200,"CLBK","NASDAQ"
2019-07-10,15.35,15.35,15.2,15.21,117000,"CLBK","NASDAQ"
2019-07-11,15.21,15.34,15.11,15.34,157900,"CLBK","NASDAQ"
