"times","open","high","low","close","volume","symbol","market"
2019-05-30,2.8959,2.985,2.876,2.96,9300,"CLBS","NASDAQ"
2019-05-31,2.935,2.97,2.88,2.91,9200,"CLBS","NASDAQ"
2019-06-03,2.89,2.94,2.85,2.92,9600,"CLBS","NASDAQ"
2019-06-04,2.8,3.055,2.8,2.95,11900,"CLBS","NASDAQ"
2019-06-05,2.972,2.981,2.75,2.75,47300,"CLBS","NASDAQ"
2019-06-06,2.74,2.819,2.71,2.71,10500,"CLBS","NASDAQ"
2019-06-07,2.807,2.807,2.65,2.69,11400,"CLBS","NASDAQ"
2019-06-10,2.664,2.91,2.65,2.79,84900,"CLBS","NASDAQ"
2019-06-11,2.75,2.883,2.75,2.875,41100,"CLBS","NASDAQ"
2019-06-12,2.87,3.08,2.8,2.91,99900,"CLBS","NASDAQ"
2019-06-13,2.9,2.97,2.86,2.86,35500,"CLBS","NASDAQ"
2019-06-14,2.85,2.91,2.675,2.786,137100,"CLBS","NASDAQ"
2019-06-17,2.74,2.9,2.74,2.9,22800,"CLBS","NASDAQ"
2019-06-18,2.87,2.93,2.85,2.85,29600,"CLBS","NASDAQ"
2019-06-19,2.851,2.851,2.55,2.85,119800,"CLBS","NASDAQ"
2019-06-20,2.83,2.83,2.6,2.65,46100,"CLBS","NASDAQ"
2019-06-21,2.65,2.68,2.568,2.6,29400,"CLBS","NASDAQ"
2019-06-24,2.573,2.84,2.47,2.63,122200,"CLBS","NASDAQ"
2019-06-25,2.66,2.67,2.45,2.47,41900,"CLBS","NASDAQ"
2019-06-26,2.5,2.53,2.31,2.31,86900,"CLBS","NASDAQ"
2019-06-27,2.28,2.35,2.18,2.25,59100,"CLBS","NASDAQ"
2019-06-28,2.23,2.35,2.16,2.28,104200,"CLBS","NASDAQ"
2019-07-01,2.3,2.4,2.271,2.36,33800,"CLBS","NASDAQ"
2019-07-02,2.322,2.6,2.17,2.39,224000,"CLBS","NASDAQ"
2019-07-03,2.42,2.577,2.3,2.46,43100,"CLBS","NASDAQ"
2019-07-05,2.48,2.6,2.45,2.51,43900,"CLBS","NASDAQ"
2019-07-08,2.5,2.59,2.45,2.53,27100,"CLBS","NASDAQ"
2019-07-09,2.5001,2.73,2.5,2.68,37900,"CLBS","NASDAQ"
2019-07-10,2.7,2.73,2.61,2.66,18700,"CLBS","NASDAQ"
2019-07-11,2.65,2.7,2.5701,2.6,8900,"CLBS","NASDAQ"
2019-07-12,2.55,2.69,2.55,2.63,18800,"CLBS","NASDAQ"
2019-07-15,2.64,3.02,2.6,2.94,208900,"CLBS","NASDAQ"
2019-07-16,2.91,3,2.85,2.91,27500,"CLBS","NASDAQ"
2019-07-17,2.89,2.98,2.86,2.92,6400,"CLBS","NASDAQ"
2019-07-18,2.9,2.96,2.8,2.8,58300,"CLBS","NASDAQ"
2019-07-19,2.85,2.99,2.85,2.89,85700,"CLBS","NASDAQ"
2019-07-22,2.9,3.1,2.9,2.95,52900,"CLBS","NASDAQ"
2019-07-23,2.98,3.1,2.63,2.87,136200,"CLBS","NASDAQ"
2019-07-24,2.9,3.2,2.9,2.95,63500,"CLBS","NASDAQ"
2019-07-25,2.92,3.04,2.83,2.99,10600,"CLBS","NASDAQ"
2019-07-26,2.97,3.04,2.95,2.96,30000,"CLBS","NASDAQ"
2019-07-29,2.99,3.08,2.9,2.9,9200,"CLBS","NASDAQ"
2019-07-30,2.87,2.97,2.8,2.91,49300,"CLBS","NASDAQ"
2019-07-31,2.84,2.94,2.67,2.82,46200,"CLBS","NASDAQ"
2019-08-01,2.82,2.99,2.81,2.82,9600,"CLBS","NASDAQ"
2019-08-02,2.83,2.9,2.64,2.67,9300,"CLBS","NASDAQ"
2019-08-05,2.7,2.84,2.61,2.72,14200,"CLBS","NASDAQ"
2019-08-06,2.67,2.77,2.62,2.62,19600,"CLBS","NASDAQ"
2019-08-07,2.71,2.78,2.67,2.68,12600,"CLBS","NASDAQ"
2019-08-08,2.74,2.87,2.68,2.68,27900,"CLBS","NASDAQ"
2019-08-09,2.63,2.79,2.6,2.6,9800,"CLBS","NASDAQ"
2019-08-12,2.63,2.73,2.6099,2.66,5700,"CLBS","NASDAQ"
2019-08-13,2.71,2.71,2.6,2.61,13600,"CLBS","NASDAQ"
2019-08-14,2.6,2.68,2.5,2.5,27700,"CLBS","NASDAQ"
2019-08-15,2.5,2.6,2.49,2.53,7800,"CLBS","NASDAQ"
2019-08-16,2.51,2.52,2.3401,2.35,36100,"CLBS","NASDAQ"
2019-08-19,2.38,2.41,2.31,2.36,8700,"CLBS","NASDAQ"
2019-08-20,2.37,2.37,2.26,2.26,9900,"CLBS","NASDAQ"
2019-08-21,2.26,2.33,2.26,2.33,6000,"CLBS","NASDAQ"
2019-08-22,2.32,2.71,2.32,2.38,49800,"CLBS","NASDAQ"
2019-08-23,2.49,2.61,2.35,2.5,3900,"CLBS","NASDAQ"
2019-08-26,2.43,2.56,2.32,2.36,11600,"CLBS","NASDAQ"
2019-08-27,2.4,2.45,2.25,2.33,5700,"CLBS","NASDAQ"
2019-08-28,2.33,2.39,2.33,2.35,1200,"CLBS","NASDAQ"
2019-08-29,2.35,2.45,2.35,2.36,3500,"CLBS","NASDAQ"
2019-08-30,2.39,2.39,2.26,2.32,9500,"CLBS","NASDAQ"
2019-09-03,2.27,2.27,2.21,2.22,13900,"CLBS","NASDAQ"
2019-09-04,2.27,2.3,2.2,2.3,8400,"CLBS","NASDAQ"
2019-09-05,2.3,2.3,2.22,2.22,2700,"CLBS","NASDAQ"
2019-09-06,2.25,2.29,2.23,2.25,4000,"CLBS","NASDAQ"
2019-09-09,2.22,2.74,2.22,2.48,45400,"CLBS","NASDAQ"
