"times","open","high","low","close","volume","symbol","market"
2019-05-29,23,23,23,23,500,"CLDB","NASDAQ"
2019-05-30,24.06,24.06,23.6,23.6,1000,"CLDB","NASDAQ"
2019-05-31,23,23,23,23,400,"CLDB","NASDAQ"
2019-06-03,23.74,23.75,23.72,23.72,3300,"CLDB","NASDAQ"
2019-06-04,23.72,23.72,23.72,23.72,100,"CLDB","NASDAQ"
2019-06-05,24.7,24.7,24.7,24.7,200,"CLDB","NASDAQ"
2019-06-06,23.61,23.61,23.1,23.1,1100,"CLDB","NASDAQ"
2019-06-07,23.11,23.11,23,23,500,"CLDB","NASDAQ"
2019-06-10,23,23,23,23,100,"CLDB","NASDAQ"
2019-06-11,23,23,23,23,200,"CLDB","NASDAQ"
2019-06-12,23,23,23,23,100,"CLDB","NASDAQ"
2019-06-13,24,24,24,24,100,"CLDB","NASDAQ"
2019-06-14,24,24,24,24,100,"CLDB","NASDAQ"
2019-06-17,25,25,25,25,200,"CLDB","NASDAQ"
2019-06-18,25,25,25,25,100,"CLDB","NASDAQ"
2019-06-19,23.23,23.23,23.1,23.1,1100,"CLDB","NASDAQ"
2019-06-20,23.1,23.1,23.1,23.1,100,"CLDB","NASDAQ"
2019-06-21,23.1,23.1,23.1,23.1,0,"CLDB","NASDAQ"
2019-06-24,24,24,23.65,23.65,300,"CLDB","NASDAQ"
2019-06-25,23,23,22.6,22.6,1000,"CLDB","NASDAQ"
2019-06-26,22.6,23.99,22.6,23.5,1500,"CLDB","NASDAQ"
2019-06-27,23.5,23.99,23,23.05,6900,"CLDB","NASDAQ"
2019-06-28,23.75,23.99,23.06,23.1,2700,"CLDB","NASDAQ"
2019-07-01,23.17,23.17,21.9,21.9,6500,"CLDB","NASDAQ"
2019-07-02,23.05,23.9,23.05,23.87,900,"CLDB","NASDAQ"
2019-07-03,23.02,23.39,23.02,23.39,900,"CLDB","NASDAQ"
2019-07-05,23.05,24.025,23.0522,24.025,1300,"CLDB","NASDAQ"
2019-07-08,23.05,23.05,23.0519,23.05,100,"CLDB","NASDAQ"
2019-07-09,23.05,23.05,23.05,23.05,0,"CLDB","NASDAQ"
2019-07-10,23.08,23.99,23.05,23.99,900,"CLDB","NASDAQ"
2019-07-11,23.05,23.0496,23.05,23.05,300,"CLDB","NASDAQ"
2019-07-12,23.05,23.0501,23.05,23.05,100,"CLDB","NASDAQ"
2019-07-15,22.75,22.75,22.75,22.75,100,"CLDB","NASDAQ"
2019-07-16,22.87,22.87,22.87,22.87,200,"CLDB","NASDAQ"
2019-07-17,23.1,23.1,23.1003,23.1,300,"CLDB","NASDAQ"
2019-07-18,22.75,22.75,22.75,22.75,300,"CLDB","NASDAQ"
2019-07-19,23.95,24,22.8109,22.81,1400,"CLDB","NASDAQ"
2019-07-22,24,24,24,24,500,"CLDB","NASDAQ"
2019-07-23,24,24,24,24,0,"CLDB","NASDAQ"
2019-07-24,24,24,24,24,0,"CLDB","NASDAQ"
2019-07-25,23.23,23.25,22.75,23.25,1500,"CLDB","NASDAQ"
2019-07-26,23.25,23.249,23.25,23.25,300,"CLDB","NASDAQ"
2019-07-29,22.78,23,22.78,23,200,"CLDB","NASDAQ"
2019-07-30,23.1,23.2,23.1,23.1,600,"CLDB","NASDAQ"
2019-07-31,23.11,23.12,23.1,23.1,1100,"CLDB","NASDAQ"
2019-08-01,23.94,23.94,23.94,23.94,400,"CLDB","NASDAQ"
2019-08-02,23.1,23.102,23.1,23.1,500,"CLDB","NASDAQ"
2019-08-05,23.1,23.1,23.1,23.1,0,"CLDB","NASDAQ"
2019-08-06,23.1,23.1,23.1,23.1,0,"CLDB","NASDAQ"
2019-08-07,22.85,22.85,22.85,22.85,200,"CLDB","NASDAQ"
2019-08-08,22.8983,23.3,22.76,23.3,3400,"CLDB","NASDAQ"
