"times","open","high","low","close","volume","symbol","market"
2019-05-30,13.69,14.05,13.69,13.79,19900,"CLFD","NASDAQ"
2019-05-31,13.52,13.93,13.0003,13.29,27400,"CLFD","NASDAQ"
2019-06-03,13.65,13.94,13.35,13.38,19300,"CLFD","NASDAQ"
2019-06-04,13.15,13.8993,12.52,12.74,23900,"CLFD","NASDAQ"
2019-06-05,12.75,13.35,12.67,12.99,38200,"CLFD","NASDAQ"
2019-06-06,13.205,13.43,13,13.42,5200,"CLFD","NASDAQ"
2019-06-07,13.35,13.713,12.337,13.43,9400,"CLFD","NASDAQ"
2019-06-10,13.42,13.9902,13.01,13.68,4700,"CLFD","NASDAQ"
2019-06-11,13.93,13.93,13.54,13.76,9400,"CLFD","NASDAQ"
2019-06-12,13.68,13.87,13.37,13.38,4700,"CLFD","NASDAQ"
2019-06-13,13.57,13.78,13.46,13.65,43500,"CLFD","NASDAQ"
2019-06-14,13.64,13.77,13.23,13.33,5500,"CLFD","NASDAQ"
2019-06-17,13.39,13.58,13.12,13.21,8000,"CLFD","NASDAQ"
2019-06-18,13.32,13.485,13.13,13.2,9900,"CLFD","NASDAQ"
2019-06-19,13.28,13.41,13.1,13.38,7400,"CLFD","NASDAQ"
2019-06-20,13.55,13.72,13.23,13.28,19700,"CLFD","NASDAQ"
2019-06-21,13.18,13.3939,13.08,13.3,17800,"CLFD","NASDAQ"
2019-06-24,13.442,13.54,13.2997,13.31,11700,"CLFD","NASDAQ"
2019-06-25,13.36,13.572,13.0489,13.16,5800,"CLFD","NASDAQ"
2019-06-26,13.01,13.637,13.01,13.1,11500,"CLFD","NASDAQ"
2019-06-27,13.12,13.24,12.54,12.98,12800,"CLFD","NASDAQ"
2019-06-28,12.77,13.29,12.73,13.25,170200,"CLFD","NASDAQ"
2019-07-01,13.34,13.46,12.46,13.21,10800,"CLFD","NASDAQ"
2019-07-02,13.31,13.31,12.065,13.15,6900,"CLFD","NASDAQ"
2019-07-03,13.55,13.55,13.14,13.25,7100,"CLFD","NASDAQ"
2019-07-05,13.29,13.62,12.99,13.35,9400,"CLFD","NASDAQ"
2019-07-08,13.2,13.35,12.9992,13.14,6400,"CLFD","NASDAQ"
2019-07-09,13.01,13.25,13.01,13.18,6100,"CLFD","NASDAQ"
2019-07-10,13.27,13.5,13.13,13.17,9300,"CLFD","NASDAQ"
2019-07-11,13.16,13.39,12.95,13.08,12300,"CLFD","NASDAQ"
2019-07-12,12.94,13.39,12.94,13.17,34400,"CLFD","NASDAQ"
2019-07-15,13.2,13.3,13.05,13.07,18600,"CLFD","NASDAQ"
2019-07-16,13.17,13.4,12.87,13.38,39300,"CLFD","NASDAQ"
2019-07-17,13.3,13.49,13.24,13.3,34100,"CLFD","NASDAQ"
2019-07-18,13.3,13.41,13.1794,13.26,8200,"CLFD","NASDAQ"
2019-07-19,13.19,13.34,13.11,13.25,7500,"CLFD","NASDAQ"
2019-07-22,13.29,13.5,13.09,13.41,10000,"CLFD","NASDAQ"
2019-07-23,13.41,13.96,13.24,13.82,22900,"CLFD","NASDAQ"
2019-07-24,13.89,14.04,13.74,13.94,9000,"CLFD","NASDAQ"
2019-07-25,14.04,14.04,13.1,13.28,19200,"CLFD","NASDAQ"
2019-07-26,13.06,13.71,12.65,13.35,31800,"CLFD","NASDAQ"
2019-07-29,13.27,13.45,13.06,13.06,23800,"CLFD","NASDAQ"
2019-07-30,12.99,13.28,12.77,13.06,47200,"CLFD","NASDAQ"
2019-07-31,13.27,13.69,13.25,13.25,21300,"CLFD","NASDAQ"
2019-08-01,13.3,13.48,13.03,13.14,16000,"CLFD","NASDAQ"
2019-08-02,12.96,12.96,12.14,12.31,18400,"CLFD","NASDAQ"
2019-08-05,12.06,12.17,11.61,11.81,30000,"CLFD","NASDAQ"
2019-08-06,11.66,12.03,11.66,11.92,16000,"CLFD","NASDAQ"
2019-08-07,11.68,12.37,11.68,11.95,15400,"CLFD","NASDAQ"
2019-08-08,12.203,12.53,12.155,12.43,15900,"CLFD","NASDAQ"
2019-08-09,12.5,12.6,12.1,12.17,9900,"CLFD","NASDAQ"
2019-08-12,12.21,12.22,11.8091,12.105,8700,"CLFD","NASDAQ"
2019-08-13,12.049,12.42,11.892,12.39,4200,"CLFD","NASDAQ"
2019-08-14,12.15,12.43,11.5,11.65,16800,"CLFD","NASDAQ"
2019-08-15,11.25,11.85,10.15,10.81,92200,"CLFD","NASDAQ"
2019-08-16,10.88,11.21,10.57,10.88,47200,"CLFD","NASDAQ"
2019-08-19,10.93,11.66,10.54,10.89,21000,"CLFD","NASDAQ"
2019-08-20,10.82,11.25,10.78,11.04,15900,"CLFD","NASDAQ"
2019-08-21,11.23,11.94,11.23,11.55,27300,"CLFD","NASDAQ"
2019-08-22,11.6,11.72,11.31,11.49,13100,"CLFD","NASDAQ"
2019-08-23,11.21,11.43,10.64,10.75,22200,"CLFD","NASDAQ"
2019-08-26,10.95,11.51,10.86,11.45,15200,"CLFD","NASDAQ"
2019-08-27,11.5,11.57,10.98,11.06,13100,"CLFD","NASDAQ"
2019-08-28,10.73,11.2,10.65,10.77,22800,"CLFD","NASDAQ"
2019-08-29,10.86,11.1,10.63,10.66,39900,"CLFD","NASDAQ"
2019-08-30,10.65,10.8,10.51,10.69,86500,"CLFD","NASDAQ"
2019-09-03,10.64,10.65,10.38,10.4,15200,"CLFD","NASDAQ"
2019-09-04,10.6,10.86,10.49,10.6,13800,"CLFD","NASDAQ"
2019-09-05,10.77,11.07,10.4,10.5,71000,"CLFD","NASDAQ"
2019-09-06,10.55,10.82,10.05,10.31,107500,"CLFD","NASDAQ"
2019-09-09,10.36,11.5,10.32,11.3,57000,"CLFD","NASDAQ"
2019-09-10,11.34,12.17,11.27,12.07,32500,"CLFD","NASDAQ"
2019-09-11,12.24,12.44,12.1,12.22,29000,"CLFD","NASDAQ"
2019-09-12,12.28,12.47,12.15,12.47,15100,"CLFD","NASDAQ"
2019-09-13,12.51,12.89,12.34,12.7,20600,"CLFD","NASDAQ"
2019-09-16,12.65,12.98,12.33,12.61,18900,"CLFD","NASDAQ"
2019-09-17,12.6,12.78,12.43,12.44,16200,"CLFD","NASDAQ"
2019-09-18,12.51,12.67,12.19,12.27,14500,"CLFD","NASDAQ"
2019-09-19,12.43,12.71,11.85,12.34,12500,"CLFD","NASDAQ"
2019-09-20,12.34,12.5,12.13,12.26,35300,"CLFD","NASDAQ"
2019-09-23,12.02,12.44,12.02,12.29,8400,"CLFD","NASDAQ"
2019-09-24,12.21,12.37,11.73,11.75,12200,"CLFD","NASDAQ"
2019-09-25,11.65,12.41,11.51,12.35,21100,"CLFD","NASDAQ"
2019-09-26,12.21,12.45,12.12,12.18,16700,"CLFD","NASDAQ"
2019-09-27,12.18,12.34,11.81,12.14,37200,"CLFD","NASDAQ"
2019-09-30,12.24,12.27,11.78,11.85,17500,"CLFD","NASDAQ"
2019-10-01,12.03,12.03,11.38,11.54,21400,"CLFD","NASDAQ"
2019-10-02,11.45,11.8,11.3,11.69,10400,"CLFD","NASDAQ"
2019-10-03,11.57,11.84,11.46,11.6,5800,"CLFD","NASDAQ"
2019-10-04,11.78,11.85,11.35,11.79,14800,"CLFD","NASDAQ"
2019-10-07,11.8,12.08,11.8,12.04,16100,"CLFD","NASDAQ"
2019-10-08,11.93,11.96,11.63,11.82,6500,"CLFD","NASDAQ"
2019-10-09,11.96,12.05,11.2,11.75,5300,"CLFD","NASDAQ"
