"times","open","high","low","close","volume","symbol","market"
2019-05-30,1.14,1.16,1.11,1.12,143100,"CLSD","NASDAQ"
2019-05-31,1.11,1.12,1.07,1.09,274500,"CLSD","NASDAQ"
2019-06-03,1.08,1.11,1.07,1.08,228300,"CLSD","NASDAQ"
2019-06-04,1.08,1.145,1.075,1.13,301700,"CLSD","NASDAQ"
2019-06-05,1.1401,1.16,1.02,1.03,394000,"CLSD","NASDAQ"
2019-06-06,1.04,1.08,1.02,1.065,277200,"CLSD","NASDAQ"
2019-06-07,1.08,1.08,1.03,1.04,389300,"CLSD","NASDAQ"
2019-06-10,1.04,1.11,1.02,1.08,254300,"CLSD","NASDAQ"
2019-06-11,1.08,1.1,1.02,1.04,197600,"CLSD","NASDAQ"
2019-06-12,1.03,1.05,0.95,1.01,602900,"CLSD","NASDAQ"
2019-06-13,1.01,1.06,1,1.06,219700,"CLSD","NASDAQ"
2019-06-14,1.05,1.08,1.026,1.04,259500,"CLSD","NASDAQ"
2019-06-17,1.05,1.07,1.02,1.03,212600,"CLSD","NASDAQ"
2019-06-18,1.04,1.06,1.03,1.055,144500,"CLSD","NASDAQ"
2019-06-19,1.05,1.15,1.05,1.05,462700,"CLSD","NASDAQ"
2019-06-20,1.07,1.09,1.03,1.07,405300,"CLSD","NASDAQ"
2019-06-21,1.06,1.1,1.03,1.03,391100,"CLSD","NASDAQ"
2019-06-24,1.04,1.07,1.03,1.03,186400,"CLSD","NASDAQ"
2019-06-25,1.06,1.06,1.02,1.03,199400,"CLSD","NASDAQ"
2019-06-26,1.05,1.06,1,1,217100,"CLSD","NASDAQ"
2019-06-27,1.01,1.02,0.967,0.99,461200,"CLSD","NASDAQ"
2019-06-28,0.992,1,0.956,0.972,3096300,"CLSD","NASDAQ"
2019-07-01,0.9959,1.1,0.982,1.04,450300,"CLSD","NASDAQ"
2019-07-02,1.05,1.12,1.02,1.12,600400,"CLSD","NASDAQ"
2019-07-03,1.12,1.12,1.062,1.12,189800,"CLSD","NASDAQ"
2019-07-05,1.12,1.125,1.06,1.075,273300,"CLSD","NASDAQ"
2019-07-08,1.06,1.11,1.05,1.09,190200,"CLSD","NASDAQ"
2019-07-09,1.1099,1.12,1.06,1.09,655400,"CLSD","NASDAQ"
