"times","open","high","low","close","volume","symbol","market"
2019-05-30,2.06,2.1,1.95,1.98,97600,"CLSN","NASDAQ"
2019-05-31,1.97,2.01,1.96,2,101600,"CLSN","NASDAQ"
2019-06-03,2,2.02,1.95,1.99,123000,"CLSN","NASDAQ"
2019-06-04,1.98,2,1.96,1.97,39100,"CLSN","NASDAQ"
2019-06-05,1.96,2.01,1.81,1.81,262200,"CLSN","NASDAQ"
2019-06-06,1.8,1.841,1.64,1.64,266000,"CLSN","NASDAQ"
2019-06-07,1.76,1.88,1.67,1.87,192700,"CLSN","NASDAQ"
2019-06-10,1.87,1.97,1.85,1.879,43500,"CLSN","NASDAQ"
2019-06-11,1.8599,1.86,1.75,1.8,112600,"CLSN","NASDAQ"
2019-06-12,1.7999,1.88,1.769,1.79,70200,"CLSN","NASDAQ"
2019-06-13,1.79,1.87,1.78,1.8,49100,"CLSN","NASDAQ"
2019-06-14,1.8,1.84,1.73,1.81,76800,"CLSN","NASDAQ"
2019-06-17,1.81,1.85,1.73,1.81,123200,"CLSN","NASDAQ"
2019-06-18,1.83,1.89,1.803,1.89,58700,"CLSN","NASDAQ"
2019-06-19,1.89,1.92,1.81,1.82,139400,"CLSN","NASDAQ"
2019-06-20,1.87,1.98,1.82,1.82,174000,"CLSN","NASDAQ"
2019-06-21,1.84,1.89,1.77,1.8,106400,"CLSN","NASDAQ"
2019-06-24,1.844,1.95,1.75,1.75,83300,"CLSN","NASDAQ"
2019-06-25,1.76,1.84,1.74,1.78,75200,"CLSN","NASDAQ"
2019-06-26,1.76,1.81,1.7,1.76,106100,"CLSN","NASDAQ"
2019-06-27,1.79,1.83,1.754,1.83,26100,"CLSN","NASDAQ"
2019-06-28,1.79,1.83,1.766,1.82,93600,"CLSN","NASDAQ"
2019-07-01,1.84,1.85,1.75,1.76,87000,"CLSN","NASDAQ"
2019-07-02,1.78,1.79,1.71,1.73,104200,"CLSN","NASDAQ"
2019-07-03,1.75,1.767,1.72,1.73,19200,"CLSN","NASDAQ"
2019-07-05,1.72,1.79,1.72,1.74,83600,"CLSN","NASDAQ"
2019-07-08,1.71,1.77,1.71,1.74,34100,"CLSN","NASDAQ"
2019-07-09,1.71,1.83,1.71,1.74,85600,"CLSN","NASDAQ"
2019-07-10,1.71,1.84,1.71,1.79,87300,"CLSN","NASDAQ"
2019-07-11,1.79,1.85,1.77,1.77,50100,"CLSN","NASDAQ"
2019-07-12,1.76,1.82,1.72,1.77,71000,"CLSN","NASDAQ"
2019-07-15,1.77,1.84,1.77,1.82,117100,"CLSN","NASDAQ"
2019-07-16,1.84,1.84,1.77,1.8,140300,"CLSN","NASDAQ"
2019-07-17,1.81,1.82,1.74,1.74,63300,"CLSN","NASDAQ"
2019-07-18,1.73,1.78,1.72,1.72,91900,"CLSN","NASDAQ"
