"times","open","high","low","close","volume","symbol","market"
2019-05-30,15.8608,16.11,14.91,15.01,1513600,"CLVS","NASDAQ"
2019-05-31,14.89,15.16,14.44,14.78,1099600,"CLVS","NASDAQ"
2019-06-03,14.91,15.34,14.79,14.9,1184800,"CLVS","NASDAQ"
2019-06-04,15.07,15.487,14.8,15.46,929200,"CLVS","NASDAQ"
2019-06-05,15.55,15.57,14.685,14.93,754200,"CLVS","NASDAQ"
2019-06-06,14.92,15.05,14.1,14.66,860300,"CLVS","NASDAQ"
2019-06-07,14.81,14.98,14.26,14.84,859500,"CLVS","NASDAQ"
2019-06-10,14.97,15.1312,13.69,13.79,1274000,"CLVS","NASDAQ"
2019-06-11,13.86,14.03,13.57,13.73,936400,"CLVS","NASDAQ"
2019-06-12,13.71,13.99,13.033,13.1,1198400,"CLVS","NASDAQ"
2019-06-13,13.159,13.43,13,13.37,924600,"CLVS","NASDAQ"
2019-06-14,13.2902,13.375,12.75,12.95,1299500,"CLVS","NASDAQ"
2019-06-17,13.2,14.25,13.13,14.11,2642500,"CLVS","NASDAQ"
2019-06-18,14.22,14.92,14.139,14.55,1868900,"CLVS","NASDAQ"
2019-06-19,14.61,15.75,14.49,14.77,2214200,"CLVS","NASDAQ"
2019-06-20,14.7,14.983,14.03,14.44,1939900,"CLVS","NASDAQ"
2019-06-21,14.35,15.35,14.05,15.04,4790200,"CLVS","NASDAQ"
2019-06-24,15.01,15.1599,13.27,13.34,3117500,"CLVS","NASDAQ"
2019-06-25,13.62,13.86,13.285,13.42,1591600,"CLVS","NASDAQ"
2019-06-26,13.49,13.74,12.61,12.81,2602700,"CLVS","NASDAQ"
2019-06-27,12.87,13.53,12.75,13.52,2521900,"CLVS","NASDAQ"
2019-06-28,13.49,15.09,13.4,14.87,5031800,"CLVS","NASDAQ"
2019-07-01,15.1307,15.44,14.56,15.35,2446600,"CLVS","NASDAQ"
2019-07-02,15.1,15.1,14.04,14.43,2868100,"CLVS","NASDAQ"
2019-07-03,14.5,14.83,14.35,14.69,976300,"CLVS","NASDAQ"
2019-07-05,14.61,15.05,14.08,14.2,1709100,"CLVS","NASDAQ"
2019-07-08,14.06,14.53,13.95,14.24,1665100,"CLVS","NASDAQ"
2019-07-09,14.0896,14.33,13.68,14.07,1512500,"CLVS","NASDAQ"
2019-07-10,14.12,14.28,13.7,13.83,1117800,"CLVS","NASDAQ"
2019-07-11,13.86,13.98,13.2,13.24,1170400,"CLVS","NASDAQ"
2019-07-12,13.13,13.38,12.9,13.25,1133400,"CLVS","NASDAQ"
2019-07-15,13.32,13.53,12.88,12.96,1226500,"CLVS","NASDAQ"
2019-07-16,12.98,13.36,12.7204,12.8,1356800,"CLVS","NASDAQ"
2019-07-17,12.8,12.84,12.27,12.33,1619100,"CLVS","NASDAQ"
2019-07-18,12.3,12.32,11.23,11.57,3683800,"CLVS","NASDAQ"
2019-07-19,11.66,11.7,10.7,10.95,3853000,"CLVS","NASDAQ"
2019-07-22,10.99,11.14,10.63,10.84,1891600,"CLVS","NASDAQ"
2019-07-23,10.92,11.4,10.72,11.2,2593600,"CLVS","NASDAQ"
2019-07-24,11.22,11.25,10.8397,11.07,1882500,"CLVS","NASDAQ"
2019-07-25,11.04,11.19,10.54,10.63,1958800,"CLVS","NASDAQ"
2019-07-26,10.72,10.85,10.42,10.79,1940500,"CLVS","NASDAQ"
2019-07-29,10.78,10.9,10.53,10.7,1338100,"CLVS","NASDAQ"
2019-07-30,10.62,11.22,10.53,11.13,1467000,"CLVS","NASDAQ"
2019-07-31,11.2,11.22,10.52,10.55,1947400,"CLVS","NASDAQ"
2019-08-01,9.33,9.55,8.77,8.87,5410800,"CLVS","NASDAQ"
2019-08-02,8.46,9.37,8.35,9.26,3084200,"CLVS","NASDAQ"
2019-08-05,9,9.24,8.51,8.86,2745000,"CLVS","NASDAQ"
2019-08-06,8.97,9.5,8.85,9.42,2170000,"CLVS","NASDAQ"
2019-08-07,9.25,9.3499,8.84,8.97,1633900,"CLVS","NASDAQ"
2019-08-08,7.76,7.77,5.45,5.83,20785500,"CLVS","NASDAQ"
2019-08-09,5.68,5.8694,5.2,5.68,12857500,"CLVS","NASDAQ"
2019-08-12,5.69,6.025,5.58,5.67,7784400,"CLVS","NASDAQ"
2019-08-13,5.4001,5.77,5.36,5.69,5210200,"CLVS","NASDAQ"
2019-08-14,5.51,5.78,5.33,5.34,6031500,"CLVS","NASDAQ"
2019-08-15,5.31,5.45,4.98,5.2,5890500,"CLVS","NASDAQ"
2019-08-16,5.46,5.85,5.45,5.6,5473900,"CLVS","NASDAQ"
2019-08-19,5.9,6.07,5.72,5.95,4223000,"CLVS","NASDAQ"
2019-08-20,6,6.09,5.82,6.03,3591900,"CLVS","NASDAQ"
2019-08-21,6.12,6.12,5.93,6.06,2560600,"CLVS","NASDAQ"
2019-08-22,6.06,6.09,5.85,5.89,2723100,"CLVS","NASDAQ"
2019-08-23,5.85,6.1,5.81,5.95,1993900,"CLVS","NASDAQ"
2019-08-26,6.01,6.09,5.89,6.04,2305900,"CLVS","NASDAQ"
