"times","open","high","low","close","volume","symbol","market"
2019-05-30,19.5,21.4,19.36,21.2,2200,"CMCT","NASDAQ"
2019-05-31,20.7,21.15,20.01,21,5500,"CMCT","NASDAQ"
2019-06-03,20.65,20.88,19.66,20.79,2400,"CMCT","NASDAQ"
2019-06-04,21,20.9999,20.25,20.61,2400,"CMCT","NASDAQ"
2019-06-05,20.97,21,20.51,21,3400,"CMCT","NASDAQ"
2019-06-06,20.899,21,19.955,20.09,6100,"CMCT","NASDAQ"
2019-06-07,19.954,20.1,19.95,20.01,2700,"CMCT","NASDAQ"
2019-06-10,20.01,20.5002,19.998,20.5,4700,"CMCT","NASDAQ"
2019-06-11,20.5,20.545,20.23,20.5,4700,"CMCT","NASDAQ"
2019-06-12,20.5,20.5,20.2,20.5,4500,"CMCT","NASDAQ"
2019-06-13,20.4555,20.8,20.455,20.8,3300,"CMCT","NASDAQ"
2019-06-14,20.8,20.9,20.55,20.85,3000,"CMCT","NASDAQ"
2019-06-17,20.705,20.705,20.565,20.69,4400,"CMCT","NASDAQ"
2019-06-18,20.7,20.7,20.674,20.7,3100,"CMCT","NASDAQ"
2019-06-19,20.7,20.8,20.7,20.8,1000,"CMCT","NASDAQ"
2019-06-20,20.8001,20.8,20.7,20.8,1100,"CMCT","NASDAQ"
2019-06-21,20.8,20.8,19.36,19.36,23100,"CMCT","NASDAQ"
2019-06-24,19.35,19.65,19.29,19.29,7100,"CMCT","NASDAQ"
2019-06-25,19.485,19.65,19.21,19.21,3800,"CMCT","NASDAQ"
2019-06-26,19.55,19.6094,19.36,19.61,5900,"CMCT","NASDAQ"
2019-06-27,19.5,19.99,19.5,19.99,10100,"CMCT","NASDAQ"
2019-06-28,19.99,20.8,19.77,20.62,159200,"CMCT","NASDAQ"
2019-07-01,20.49,20.8004,20.49,20.75,4000,"CMCT","NASDAQ"
2019-07-02,20.56,20.8,20.423,20.8,4200,"CMCT","NASDAQ"
2019-07-03,20.8,20.8,20.5709,20.57,500,"CMCT","NASDAQ"
2019-07-05,20.15,20.79,20.15,20.48,1700,"CMCT","NASDAQ"
2019-07-08,20.3814,20.75,20.34,20.62,1600,"CMCT","NASDAQ"
2019-07-09,20.37,20.71,20.37,20.68,400,"CMCT","NASDAQ"
2019-07-10,20.63,20.7,20.37,20.37,900,"CMCT","NASDAQ"
2019-07-11,20.59,20.59,19.95,20.25,3100,"CMCT","NASDAQ"
2019-07-12,20.04,20.55,20.02,20.02,800,"CMCT","NASDAQ"
2019-07-15,20.73,20.73,20.07,20.3,600,"CMCT","NASDAQ"
2019-07-16,20.56,20.56,20.06,20.36,700,"CMCT","NASDAQ"
2019-07-17,20.3204,20.75,19.92,20.61,2400,"CMCT","NASDAQ"
2019-07-18,20.2,20.6,20.01,20.25,1100,"CMCT","NASDAQ"
2019-07-19,20.05,20.37,19.83,20.03,1300,"CMCT","NASDAQ"
2019-07-22,19.82,20.26,19.82,20.18,600,"CMCT","NASDAQ"
2019-07-23,20.29,20.32,20.051,20.32,1700,"CMCT","NASDAQ"
2019-07-24,20.24,20.32,20.0511,20.05,1700,"CMCT","NASDAQ"
