"times","open","high","low","close","volume","symbol","market"
2019-05-30,16.16,17.4,16,16.46,29700,"CMLS","NASDAQ"
2019-05-31,17.2,17.22,15.5,16,164400,"CMLS","NASDAQ"
2019-06-03,15.9901,16.25,15.517,15.8,46100,"CMLS","NASDAQ"
2019-06-04,15.96,16.07,14.61,15.8,93300,"CMLS","NASDAQ"
2019-06-05,15.92,16.175,15.4,15.45,48500,"CMLS","NASDAQ"
2019-06-06,15.49,16.37,15.02,16.37,64500,"CMLS","NASDAQ"
2019-06-07,16.16,17.9689,15.92,16.31,61100,"CMLS","NASDAQ"
2019-06-10,17.665,17.665,15.785,16.42,119900,"CMLS","NASDAQ"
2019-06-11,16.52,17.6,16.16,16.7,116300,"CMLS","NASDAQ"
2019-06-12,16.72,18.287,16.615,17.5,139500,"CMLS","NASDAQ"
2019-06-13,17.55,18.3,17,17.11,68600,"CMLS","NASDAQ"
2019-06-14,17.68,17.82,17.225,17.38,68000,"CMLS","NASDAQ"
2019-06-17,17.62,17.62,17.01,17.28,49500,"CMLS","NASDAQ"
2019-06-18,17.6,17.69,16.7,17.09,166300,"CMLS","NASDAQ"
2019-06-19,17.08,18.085,17.08,17.63,46800,"CMLS","NASDAQ"
2019-06-20,17.83,18,17.35,17.45,27200,"CMLS","NASDAQ"
2019-06-21,17.56,17.65,17.04,17.21,40100,"CMLS","NASDAQ"
2019-06-24,17.15,17.5,17,17.03,52000,"CMLS","NASDAQ"
2019-06-25,17.14,17.2,16.85,16.92,79400,"CMLS","NASDAQ"
2019-06-26,17.32,17.668,16.67,17.17,67000,"CMLS","NASDAQ"
2019-06-27,17.3,17.75,17.08,17.6,94800,"CMLS","NASDAQ"
2019-06-28,17.83,19.18,17.36,18.55,1722000,"CMLS","NASDAQ"
2019-07-01,18.57,18.79,17.7,18.57,216700,"CMLS","NASDAQ"
2019-07-02,18.6,18.85,18.29,18.48,141600,"CMLS","NASDAQ"
2019-07-03,18.6,18.635,18.18,18.38,23200,"CMLS","NASDAQ"
2019-07-05,18.23,18.41,17.5897,17.91,100600,"CMLS","NASDAQ"
2019-07-08,17.9,18.385,17.81,17.99,52700,"CMLS","NASDAQ"
2019-07-09,17.9008,17.95,17.48,17.58,86200,"CMLS","NASDAQ"
2019-07-10,17.81,18.125,17.5,17.51,118100,"CMLS","NASDAQ"
2019-07-11,17.6395,18.075,17.55,17.82,90200,"CMLS","NASDAQ"
2019-07-12,17.83,18,17.36,17.92,86200,"CMLS","NASDAQ"
2019-07-15,17.92,18.485,17.6,17.79,57900,"CMLS","NASDAQ"
2019-07-16,17.89,18.03,17.48,17.56,28100,"CMLS","NASDAQ"
2019-07-17,17.57,17.57,17.01,17.45,85300,"CMLS","NASDAQ"
