"times","open","high","low","close","volume","symbol","market"
2019-05-29,3.8,3.97,3.6,3.97,12800,"CNFR","NASDAQ"
2019-05-30,4.05,4.06,3.78,3.795,6700,"CNFR","NASDAQ"
2019-05-31,3.95,3.95,3.93,3.93,300,"CNFR","NASDAQ"
2019-06-03,3.6,3.64,3.12,3.42,60900,"CNFR","NASDAQ"
2019-06-04,3.39,3.819,3.39,3.802,16900,"CNFR","NASDAQ"
2019-06-05,3.71,3.86,3.704,3.75,8400,"CNFR","NASDAQ"
2019-06-06,3.9,4.07,3.85,3.85,17100,"CNFR","NASDAQ"
2019-06-07,3.858,3.858,3.858,3.858,1800,"CNFR","NASDAQ"
2019-06-10,3.63,3.63,3.63,3.63,200,"CNFR","NASDAQ"
2019-06-11,3.98,3.9802,3.7,3.75,3100,"CNFR","NASDAQ"
2019-06-12,3.6,3.85,3.6,3.85,600,"CNFR","NASDAQ"
2019-06-13,3.61,3.96,3.6098,3.96,300,"CNFR","NASDAQ"
2019-06-14,3.825,3.986,3.825,3.85,1000,"CNFR","NASDAQ"
2019-06-17,3.62,3.99,3.62,3.885,3900,"CNFR","NASDAQ"
2019-06-18,3.63,3.7,3.63,3.7,1100,"CNFR","NASDAQ"
2019-06-19,3.61,4,3.61,4,700,"CNFR","NASDAQ"
2019-06-20,3.85,3.87,3.7,3.87,3300,"CNFR","NASDAQ"
2019-06-21,4,4,4,4,1700,"CNFR","NASDAQ"
2019-06-24,4,4,4,4,300,"CNFR","NASDAQ"
2019-06-25,3.9998,4,4,4,300,"CNFR","NASDAQ"
2019-06-26,4,4,4,4,100,"CNFR","NASDAQ"
2019-06-27,4,4,4,4,0,"CNFR","NASDAQ"
2019-06-28,4,4,3.82,3.99,4300,"CNFR","NASDAQ"
2019-07-01,3.5,3.921,3.5,3.921,2000,"CNFR","NASDAQ"
2019-07-02,3.925,4,3.925,4,2900,"CNFR","NASDAQ"
2019-07-03,4,4,4,4,1600,"CNFR","NASDAQ"
2019-07-05,3.981,3.988,3.981,3.988,1600,"CNFR","NASDAQ"
2019-07-08,3.97,3.97,3.931,3.94,1800,"CNFR","NASDAQ"
2019-07-09,3.9,3.9,3.75,3.75,6100,"CNFR","NASDAQ"
2019-07-10,3.75,3.75,3.7501,3.75,200,"CNFR","NASDAQ"
2019-07-11,4,4,3.908,3.99,1700,"CNFR","NASDAQ"
2019-07-12,3.99,3.99,3.95,3.95,800,"CNFR","NASDAQ"
2019-07-15,3.87,3.87,3.62,3.688,15300,"CNFR","NASDAQ"
2019-07-16,3.69,3.7597,3.62,3.62,600,"CNFR","NASDAQ"
2019-07-17,3.62,3.6502,3.6,3.6,5200,"CNFR","NASDAQ"
2019-07-18,3.6,3.6,3.33,3.33,9300,"CNFR","NASDAQ"
2019-07-19,3.4,3.4,3.4,3.4,200,"CNFR","NASDAQ"
2019-07-22,3.32,3.32,3.25,3.251,21700,"CNFR","NASDAQ"
2019-07-23,3.251,3.251,3.251,3.251,100,"CNFR","NASDAQ"
2019-07-24,3.25,3.25,3.13,3.25,4400,"CNFR","NASDAQ"
2019-07-25,3.25,3.25,3.25,3.25,100,"CNFR","NASDAQ"
2019-07-26,3.25,3.47,3.25,3.47,3300,"CNFR","NASDAQ"
2019-07-29,3.3,3.49,3.27,3.27,2800,"CNFR","NASDAQ"
2019-07-30,3.3,3.3,3.24,3.25,2100,"CNFR","NASDAQ"
2019-07-31,3.251,3.3,3.21,3.25,2400,"CNFR","NASDAQ"
2019-08-01,3.25,3.3,3.2,3.2,6900,"CNFR","NASDAQ"
2019-08-02,3.35,3.92,3.35,3.874,41000,"CNFR","NASDAQ"
2019-08-05,3.8,3.819,3.8,3.8,5800,"CNFR","NASDAQ"
2019-08-06,3.8,3.8,3.76,3.78,3400,"CNFR","NASDAQ"
2019-08-07,3.28,3.9,3.28,3.9,1200,"CNFR","NASDAQ"
2019-08-08,3.8,4,3.514,3.81,21100,"CNFR","NASDAQ"
2019-08-09,3.822,3.8218,3.68,3.68,1700,"CNFR","NASDAQ"
2019-08-12,3.553,3.7129,3.52,3.52,4500,"CNFR","NASDAQ"
2019-08-13,3.5,4,3.5,3.75,182600,"CNFR","NASDAQ"
2019-08-14,3.77,3.831,3.61,3.73,16200,"CNFR","NASDAQ"
2019-08-15,3.983,4,3.94,3.96,7300,"CNFR","NASDAQ"
2019-08-16,3.96,3.96,3.96,3.96,0,"CNFR","NASDAQ"
2019-08-19,3.64,3.64,3.64,3.64,300,"CNFR","NASDAQ"
2019-08-20,3.64,3.64,3.64,3.64,0,"CNFR","NASDAQ"
2019-08-21,3.5,3.56,3.5,3.56,500,"CNFR","NASDAQ"
2019-08-22,3.5,3.5,3.5,3.5,1400,"CNFR","NASDAQ"
2019-08-23,3.507,3.685,3.507,3.54,3300,"CNFR","NASDAQ"
2019-08-26,3.51,3.53,3.51,3.53,400,"CNFR","NASDAQ"
2019-08-27,3.53,3.53,3.53,3.53,0,"CNFR","NASDAQ"
2019-08-28,3.866,3.866,3.5,3.5,1600,"CNFR","NASDAQ"
2019-08-29,3.5,3.5,3.5,3.5,0,"CNFR","NASDAQ"
2019-08-30,3.5,3.5,3.5,3.5,500,"CNFR","NASDAQ"
2019-09-03,3.5,3.5,3.5,3.5,0,"CNFR","NASDAQ"
2019-09-04,3.5,3.5,3.5,3.5,0,"CNFR","NASDAQ"
2019-09-05,3.5,3.696,3.5,3.5,1600,"CNFR","NASDAQ"
2019-09-06,3.5,3.5,3.5,3.5,0,"CNFR","NASDAQ"
2019-09-09,3.518,3.75,3.5,3.5,1600,"CNFR","NASDAQ"
2019-09-10,3.5,3.5,3.5,3.5,0,"CNFR","NASDAQ"
2019-09-11,3.5,3.5,3.5,3.5,100,"CNFR","NASDAQ"
2019-09-12,3.5,3.75,3.5,3.75,400,"CNFR","NASDAQ"
2019-09-13,3.75,3.75,3.75,3.75,200,"CNFR","NASDAQ"
2019-09-16,3.75,3.75,3.75,3.75,100,"CNFR","NASDAQ"
2019-09-17,3.51,3.648,3.5,3.648,3300,"CNFR","NASDAQ"
2019-09-18,3.5,3.75,3.5,3.75,2500,"CNFR","NASDAQ"
2019-09-19,3.52,3.75,3.52,3.75,1000,"CNFR","NASDAQ"
2019-09-20,3.74,3.88,3.74,3.88,2100,"CNFR","NASDAQ"
2019-09-23,3.75,3.81,3.75,3.81,1200,"CNFR","NASDAQ"
2019-09-24,3.81,3.81,3.81,3.81,300,"CNFR","NASDAQ"
2019-09-25,3.81,3.81,3.81,3.81,0,"CNFR","NASDAQ"
2019-09-26,3.81,3.81,3.81,3.81,100,"CNFR","NASDAQ"
2019-09-27,3.748,3.79,3.65,3.65,800,"CNFR","NASDAQ"
2019-09-30,3.66,3.66,3.66,3.66,400,"CNFR","NASDAQ"
2019-10-01,3.773,3.79,3.65,3.79,6200,"CNFR","NASDAQ"
2019-10-02,3.79,3.79,3.79,3.79,100,"CNFR","NASDAQ"
2019-10-03,3.66,3.665,3.65,3.65,10900,"CNFR","NASDAQ"
2019-10-04,3.65,3.65,3.65,3.65,100,"CNFR","NASDAQ"
2019-10-07,3.68,3.713,3.68,3.68,1000,"CNFR","NASDAQ"
2019-10-08,3.68,3.68,3.68,3.68,600,"CNFR","NASDAQ"
2019-10-09,3.873,3.873,3.873,3.873,300,"CNFR","NASDAQ"
2019-10-10,3.873,3.873,3.873,3.873,100,"CNFR","NASDAQ"
2019-10-11,3.873,3.873,3.873,3.873,0,"CNFR","NASDAQ"
2019-10-14,3.873,3.873,3.873,3.873,100,"CNFR","NASDAQ"
