"times","open","high","low","close","volume","symbol","market"
2019-05-29,22.05,22.05,22.01,22.01,1100,"CNFRL","NASDAQ"
2019-05-30,22.62,22.62,22.62,22.62,1700,"CNFRL","NASDAQ"
2019-05-31,22.62,22.62,22.62,22.62,0,"CNFRL","NASDAQ"
2019-06-03,22,22.03,22,22.03,800,"CNFRL","NASDAQ"
2019-06-04,22.6,22.6,22.6,22.6,200,"CNFRL","NASDAQ"
2019-06-05,22,22,22,22,1000,"CNFRL","NASDAQ"
2019-06-06,21.61,21.61,21.56,21.56,500,"CNFRL","NASDAQ"
2019-06-07,22,22.5,22,22.5,300,"CNFRL","NASDAQ"
2019-06-10,22,22,22,22,2000,"CNFRL","NASDAQ"
2019-06-11,22.1,22.1,21.35,21.75,1100,"CNFRL","NASDAQ"
2019-06-12,22,22.75,22,22.04,3300,"CNFRL","NASDAQ"
2019-06-13,22,23.97,21.55,21.57,5700,"CNFRL","NASDAQ"
2019-06-14,21.5,21.5,21.01,21.35,5500,"CNFRL","NASDAQ"
2019-06-17,21,21.11,21,21,1600,"CNFRL","NASDAQ"
2019-06-18,21.01,21.28,20.9897,21.28,2000,"CNFRL","NASDAQ"
2019-06-19,20.85,20.85,20.5,20.5,900,"CNFRL","NASDAQ"
2019-06-20,20.51,20.51,20.51,20.51,500,"CNFRL","NASDAQ"
2019-06-21,20.5,20.5,20.3,20.3,1300,"CNFRL","NASDAQ"
2019-06-24,20.3,21,20.3,21,4200,"CNFRL","NASDAQ"
2019-06-25,20.57,20.66,20.37,20.63,2600,"CNFRL","NASDAQ"
2019-06-26,20.51,20.5122,20.44,20.44,600,"CNFRL","NASDAQ"
2019-06-27,20.4,20.7,20.37,20.6,1400,"CNFRL","NASDAQ"
2019-06-28,20.99,21.5,20.75,21.05,3400,"CNFRL","NASDAQ"
2019-07-01,21.5,21.5,21.5,21.5,400,"CNFRL","NASDAQ"
2019-07-02,21.276,22.9994,21.276,22.77,7000,"CNFRL","NASDAQ"
2019-07-03,23,23,23,23,0,"CNFRL","NASDAQ"
2019-07-05,23,23,23,23,0,"CNFRL","NASDAQ"
2019-07-08,22,22,21.16,22,6700,"CNFRL","NASDAQ"
2019-07-09,23.4382,23.44,21.21,22.35,2700,"CNFRL","NASDAQ"
2019-07-10,21.79,22.5,21.74,22.25,7100,"CNFRL","NASDAQ"
2019-07-11,21.64,22.75,21.51,21.72,5000,"CNFRL","NASDAQ"
2019-07-12,22,22.75,21.51,22.75,5800,"CNFRL","NASDAQ"
2019-07-15,22.5,22.75,22,22.75,1300,"CNFRL","NASDAQ"
2019-07-16,22.25,22.25,21.75,21.75,1400,"CNFRL","NASDAQ"
2019-07-17,21.41,21.41,21.32,21.32,200,"CNFRL","NASDAQ"
2019-07-18,21.5,22.44,21.5,21.51,1400,"CNFRL","NASDAQ"
2019-07-19,22.7,22.7,22,22.7,11700,"CNFRL","NASDAQ"
2019-07-22,22.62,22.74,22.62,22.74,4200,"CNFRL","NASDAQ"
2019-07-23,22.5,23.25,22.5,23.25,6800,"CNFRL","NASDAQ"
2019-07-24,23.48,23.49,23.47,23.49,1300,"CNFRL","NASDAQ"
2019-07-25,23.49,23.75,23.49,23.5,1300,"CNFRL","NASDAQ"
2019-07-26,23.5,23.4998,23.5,23.5,1100,"CNFRL","NASDAQ"
2019-07-29,24,24,24,24,1800,"CNFRL","NASDAQ"
2019-07-30,23.99,24,23.99,24,500,"CNFRL","NASDAQ"
2019-07-31,23.41,23.41,23.41,23.41,100,"CNFRL","NASDAQ"
2019-08-01,24,24,24,24,1100,"CNFRL","NASDAQ"
2019-08-02,23.98,24,23.98,24,2400,"CNFRL","NASDAQ"
2019-08-05,23.81,24.56,23.81,24.2,1300,"CNFRL","NASDAQ"
2019-08-06,24.25,24.25,24.2002,24.2,400,"CNFRL","NASDAQ"
2019-08-07,23.6,23.6,23,23,8200,"CNFRL","NASDAQ"
2019-08-08,23.6,23.6,23,23,8200,"CNFRL","NASDAQ"
2019-08-09,23.583,23.583,23.16,23.16,400,"CNFRL","NASDAQ"
2019-08-12,23.01,23.2017,21.4,23,4600,"CNFRL","NASDAQ"
2019-08-13,23.14,23.24,23.14,23.24,600,"CNFRL","NASDAQ"
