"times","open","high","low","close","volume","symbol","market"
2019-05-30,82.14,83.21,80.95,81.96,142700,"CNMD","NASDAQ"
2019-05-31,81.11,81.2444,80,80.48,246800,"CNMD","NASDAQ"
2019-06-03,80.5,81.0928,79.15,79.94,233300,"CNMD","NASDAQ"
2019-06-04,80.58,81.85,79.429,81.8,163300,"CNMD","NASDAQ"
2019-06-05,82.1,82.68,81.71,82.38,150800,"CNMD","NASDAQ"
2019-06-06,82.32,82.32,81.085,81.66,168500,"CNMD","NASDAQ"
2019-06-07,82.05,82.63,81.622,81.93,172200,"CNMD","NASDAQ"
2019-06-10,82.12,83.96,82.12,83.86,155800,"CNMD","NASDAQ"
2019-06-11,84.26,84.5694,82.45,82.94,124100,"CNMD","NASDAQ"
2019-06-12,83.18,84.4,83.005,84.19,203700,"CNMD","NASDAQ"
2019-06-13,84.2,84.79,83.36,84.05,204700,"CNMD","NASDAQ"
2019-06-14,83.94,84.8,82.34,82.42,135400,"CNMD","NASDAQ"
2019-06-17,82.43,83.5,82.02,83.15,151700,"CNMD","NASDAQ"
2019-06-18,83.3163,84.63,82.48,84.4,132100,"CNMD","NASDAQ"
2019-06-19,84.3,86.13,84.17,86.07,125500,"CNMD","NASDAQ"
2019-06-20,86.79,87.61,85.155,85.93,194000,"CNMD","NASDAQ"
2019-06-21,85.56,86.72,84.925,86.44,400600,"CNMD","NASDAQ"
2019-06-24,86.29,87.58,86.13,86.94,258100,"CNMD","NASDAQ"
2019-06-25,87.23,87.72,85,85.08,290300,"CNMD","NASDAQ"
2019-06-26,85.188,85.57,83.56,83.63,126500,"CNMD","NASDAQ"
2019-06-27,83.89,85.43,83.83,85.37,158900,"CNMD","NASDAQ"
2019-06-28,85.53,87.625,84.83,85.57,1110700,"CNMD","NASDAQ"
2019-07-01,86.22,86.94,85.29,85.52,215700,"CNMD","NASDAQ"
2019-07-02,85.52,86.01,82.86,86.01,336200,"CNMD","NASDAQ"
2019-07-03,86.16,86.76,85.54,86.42,99800,"CNMD","NASDAQ"
2019-07-05,86.07,87.45,86.01,87.4,134300,"CNMD","NASDAQ"
2019-07-08,87.19,87.32,86.22,86.87,153300,"CNMD","NASDAQ"
2019-07-09,86.56,87.63,86.5597,86.91,160100,"CNMD","NASDAQ"
2019-07-10,87.24,88.38,86.88,88.15,265200,"CNMD","NASDAQ"
2019-07-11,88.35,88.71,87.77,87.91,109300,"CNMD","NASDAQ"
2019-07-12,87.773,88.25,86.85,88.06,154900,"CNMD","NASDAQ"
2019-07-15,88.14,88.37,86.38,86.42,161900,"CNMD","NASDAQ"
2019-07-16,86.35,86.59,85.29,85.34,144100,"CNMD","NASDAQ"
2019-07-17,85.33,85.74,84.52,85.23,106800,"CNMD","NASDAQ"
2019-07-18,85.09,86.68,85.0975,86.29,162500,"CNMD","NASDAQ"
2019-07-19,86.12,87.36,84.21,84.29,180000,"CNMD","NASDAQ"
2019-07-22,84.38,85.14,83.6117,83.97,189600,"CNMD","NASDAQ"
2019-07-23,84.06,84.67,83.47,84.63,132000,"CNMD","NASDAQ"
2019-07-24,84.58,86.09,83.67,85.79,173600,"CNMD","NASDAQ"
2019-07-25,85.53,86.22,85.24,85.57,117500,"CNMD","NASDAQ"
2019-07-26,85.96,86.91,85,86.7,117900,"CNMD","NASDAQ"
2019-07-29,86.73,87.73,86.18,86.72,166900,"CNMD","NASDAQ"
2019-07-30,86.13,87.86,86.13,87.43,444600,"CNMD","NASDAQ"
2019-07-31,87.39,89.19,86.65,87.35,327200,"CNMD","NASDAQ"
2019-08-01,89.99,93.88,88.57,93.78,711700,"CNMD","NASDAQ"
2019-08-02,92.99,93,90.46,92.38,345000,"CNMD","NASDAQ"
2019-08-05,91.81,92.74,89.21,91.34,251700,"CNMD","NASDAQ"
2019-08-06,91.89,93.03,91.23,92.94,185600,"CNMD","NASDAQ"
2019-08-07,92.37,94.22,91.36,94.06,232400,"CNMD","NASDAQ"
2019-08-08,94.64,96.19,94.64,95.95,175000,"CNMD","NASDAQ"
2019-08-09,95.31,96.12,94.51,94.78,332700,"CNMD","NASDAQ"
2019-08-12,94.15,96.99,94.15,95.36,179100,"CNMD","NASDAQ"
2019-08-13,95.1,96.535,94.38,95.44,175400,"CNMD","NASDAQ"
2019-08-14,94.42,95.63,94,94.56,189700,"CNMD","NASDAQ"
2019-08-15,94.9057,95.62,93.47,94.12,211500,"CNMD","NASDAQ"
2019-08-16,94.49,95.36,93.66,95.02,145500,"CNMD","NASDAQ"
2019-08-19,95.7,96.85,95.09,96.57,135700,"CNMD","NASDAQ"
2019-08-20,96.29,97.5,95.03,96.02,239300,"CNMD","NASDAQ"
2019-08-21,96.39,98.15,95.95,97.17,152600,"CNMD","NASDAQ"
2019-08-22,99.97,102.56,99.22,100.96,536700,"CNMD","NASDAQ"
2019-08-23,100.66,101.93,98.97,99.29,227600,"CNMD","NASDAQ"
2019-08-26,100.23,101.37,99.14,100.88,128700,"CNMD","NASDAQ"
2019-08-27,101.79,102.38,99.73,100.04,192500,"CNMD","NASDAQ"
2019-08-28,99.98,100.96,99.53,100.68,133800,"CNMD","NASDAQ"
2019-08-29,101.45,101.67,100.41,101.25,129600,"CNMD","NASDAQ"
2019-08-30,101.75,101.75,100.32,100.77,122400,"CNMD","NASDAQ"
2019-09-03,100.59,100.91,97.75,98.74,157500,"CNMD","NASDAQ"
2019-09-04,99.6,99.6,97.6,98.5,114300,"CNMD","NASDAQ"
2019-09-05,99.36,99.48,97.94,98.9,167400,"CNMD","NASDAQ"
2019-09-06,99.12,100.06,98.62,98.92,88800,"CNMD","NASDAQ"
2019-09-09,99.16,100.14,97.07,98.18,325400,"CNMD","NASDAQ"
2019-09-10,97.8,98.14,95.68,98.02,226700,"CNMD","NASDAQ"
2019-09-11,98.41,101.77,96.8,99.47,224600,"CNMD","NASDAQ"
2019-09-12,99.72,101.02,99.06,100.66,162000,"CNMD","NASDAQ"
2019-09-13,100.59,101.63,99.97,101.07,160000,"CNMD","NASDAQ"
2019-09-16,100.61,101.87,100.27,101.7,149700,"CNMD","NASDAQ"
2019-09-17,102.09,103.9,101.95,102.19,185800,"CNMD","NASDAQ"
2019-09-18,102.28,102.67,101,102.03,146300,"CNMD","NASDAQ"
2019-09-19,101.94,103.18,100.76,101.27,219700,"CNMD","NASDAQ"
2019-09-20,100.85,101.2,99.9,100.22,582200,"CNMD","NASDAQ"
2019-09-23,99.87,101.23,99.54,100.52,161800,"CNMD","NASDAQ"
2019-09-24,100.89,101.62,97.17,98.2,250700,"CNMD","NASDAQ"
2019-09-25,98.13,99.23,97.12,97.88,217700,"CNMD","NASDAQ"
2019-09-26,97.95,98.58,96.85,97.41,142000,"CNMD","NASDAQ"
2019-09-27,97.54,97.93,95.49,95.9,211100,"CNMD","NASDAQ"
2019-09-30,95.85,97.24,95.22,96.15,219500,"CNMD","NASDAQ"
2019-10-01,96.15,97.29,93.3,93.53,323700,"CNMD","NASDAQ"
2019-10-02,92.65,94.43,91.97,93.31,274900,"CNMD","NASDAQ"
2019-10-03,93.15,94.66,91.84,94.48,205400,"CNMD","NASDAQ"
2019-10-04,95.38,97.2,94.69,96.52,300700,"CNMD","NASDAQ"
2019-10-07,96.19,96.34,95.5,95.98,130000,"CNMD","NASDAQ"
2019-10-08,95.54,95.69,93.57,94.7,279800,"CNMD","NASDAQ"
2019-10-09,95.34,96,94.19,94.82,121000,"CNMD","NASDAQ"
2019-10-10,94.69,95.28,93.41,93.59,210800,"CNMD","NASDAQ"
2019-10-11,94.49,96.09,94.49,95.02,197300,"CNMD","NASDAQ"
2019-10-14,94.8,95.87,93.37,94.66,93500,"CNMD","NASDAQ"
2019-10-15,95.04,96.1,94.84,95.28,84700,"CNMD","NASDAQ"
2019-10-16,95.06,96.08,94.3,95.66,138900,"CNMD","NASDAQ"
2019-10-17,96.19,98.04,96.19,97.18,200400,"CNMD","NASDAQ"
2019-10-18,96.67,98.24,96.67,97.58,139880,"CNMD","NASDAQ"
