"times","open","high","low","close","volume","symbol","market"
2019-05-30,4.4,4.44,4.21,4.26,1260400,"CNSL","NASDAQ"
2019-05-31,4.19,4.27,3.91,4,2065200,"CNSL","NASDAQ"
2019-06-03,4.01,4.27,3.96,4.2,1570900,"CNSL","NASDAQ"
2019-06-04,4.27,4.5,4.26,4.49,985100,"CNSL","NASDAQ"
2019-06-05,4.49,4.53,4.335,4.4,1029300,"CNSL","NASDAQ"
2019-06-06,4.4202,4.5,4.38,4.47,972700,"CNSL","NASDAQ"
2019-06-07,4.47,4.47,4.04,4.17,1284700,"CNSL","NASDAQ"
2019-06-10,4.22,4.27,4.11,4.19,1323800,"CNSL","NASDAQ"
2019-06-11,4.2,4.43,4.17,4.36,1028800,"CNSL","NASDAQ"
2019-06-12,4.39,4.48,4.25,4.42,946200,"CNSL","NASDAQ"
2019-06-13,4.46,4.6,4.38,4.48,1002600,"CNSL","NASDAQ"
2019-06-14,4.49,4.54,4.365,4.46,883600,"CNSL","NASDAQ"
2019-06-17,4.45,4.84,4.45,4.76,1844200,"CNSL","NASDAQ"
2019-06-18,4.7604,4.98,4.73,4.95,1221800,"CNSL","NASDAQ"
2019-06-19,5,5.0076,4.69,4.73,1409800,"CNSL","NASDAQ"
2019-06-20,4.8,5.03,4.7,4.95,1521200,"CNSL","NASDAQ"
2019-06-21,4.92,4.96,4.86,4.93,3666500,"CNSL","NASDAQ"
2019-06-24,4.95,5,4.465,4.53,1545000,"CNSL","NASDAQ"
2019-06-25,4.55,4.675,4.36,4.47,1108000,"CNSL","NASDAQ"
2019-06-26,4.51,4.65,4.479,4.61,661200,"CNSL","NASDAQ"
2019-06-27,4.65,4.92,4.64,4.9,1049700,"CNSL","NASDAQ"
2019-06-28,4.9,4.9903,4.84,4.93,1443300,"CNSL","NASDAQ"
2019-07-01,5,5.35,4.9999,5.04,1797600,"CNSL","NASDAQ"
2019-07-02,5.1,5.315,5.07,5.23,1038800,"CNSL","NASDAQ"
2019-07-03,5.26,5.33,5.05,5.1,555300,"CNSL","NASDAQ"
2019-07-05,5.1,5.4302,5.08,5.38,1119000,"CNSL","NASDAQ"
2019-07-08,5.4,5.52,5.31,5.38,1271600,"CNSL","NASDAQ"
