"times","open","high","low","close","volume","symbol","market"
2019-05-30,16.59,17.16,16.59,16.91,3160700,"COMM","NASDAQ"
2019-05-31,16.63,16.66,16.025,16.15,3687700,"COMM","NASDAQ"
2019-06-03,16.23,16.47,16.11,16.18,2608300,"COMM","NASDAQ"
2019-06-04,16.3,16.58,16.29,16.32,2205600,"COMM","NASDAQ"
2019-06-05,17.46,17.46,16.23,16.87,3644200,"COMM","NASDAQ"
2019-06-06,16.76,16.9,16.17,16.37,2816900,"COMM","NASDAQ"
2019-06-07,16.42,16.67,16.27,16.54,2007700,"COMM","NASDAQ"
2019-06-10,16.74,17.07,16.55,16.72,2127600,"COMM","NASDAQ"
2019-06-11,16.99,17.15,16.49,16.52,2399200,"COMM","NASDAQ"
2019-06-12,16.82,16.826,16.055,16.25,2575400,"COMM","NASDAQ"
2019-06-13,16.32,16.45,16.13,16.4,1730300,"COMM","NASDAQ"
2019-06-14,15.8,16.11,15.34,15.9,5004200,"COMM","NASDAQ"
2019-06-17,15.78,16.07,15.661,15.81,2876000,"COMM","NASDAQ"
2019-06-18,16.11,16.61,15.8,15.88,4302500,"COMM","NASDAQ"
2019-06-19,15.99,16.12,15.47,15.61,3330200,"COMM","NASDAQ"
2019-06-20,16.64,16.76,15.9109,16,4713300,"COMM","NASDAQ"
2019-06-21,16,16.145,15.85,16.01,3023900,"COMM","NASDAQ"
2019-06-24,15.96,16.07,15.75,15.87,1878200,"COMM","NASDAQ"
2019-06-25,15.95,15.95,15.58,15.59,1958800,"COMM","NASDAQ"
2019-06-26,15.75,15.78,15.43,15.47,3148200,"COMM","NASDAQ"
2019-06-27,15.5,15.505,15.015,15.09,2344200,"COMM","NASDAQ"
2019-06-28,15.2,15.795,15.06,15.73,3575300,"COMM","NASDAQ"
2019-07-01,16.08,16.32,16.005,16.22,2521700,"COMM","NASDAQ"
2019-07-02,16.2,16.2,15.91,16.09,2430200,"COMM","NASDAQ"
2019-07-03,16.19,16.26,15.65,15.91,4067600,"COMM","NASDAQ"
2019-07-05,15.8,15.9,15.65,15.7,1440900,"COMM","NASDAQ"
2019-07-08,15.58,15.75,15.34,15.53,2821600,"COMM","NASDAQ"
2019-07-09,15.41,15.7002,15.275,15.66,2117100,"COMM","NASDAQ"
2019-07-10,15.73,15.9294,15.38,15.45,2757800,"COMM","NASDAQ"
