"times","open","high","low","close","volume","symbol","market"
2019-05-30,21.76,22.18,20.71,20.96,481100,"CONN","NASDAQ"
2019-05-31,19.67,20.387,17.0538,17.95,1293400,"CONN","NASDAQ"
2019-06-03,17.72,17.72,15.4,16.36,1514700,"CONN","NASDAQ"
2019-06-04,16.41,17.57,16.41,17.51,1201900,"CONN","NASDAQ"
2019-06-05,18.08,18.74,16.82,17.26,809600,"CONN","NASDAQ"
2019-06-06,17.42,17.74,16.83,17.09,568800,"CONN","NASDAQ"
2019-06-07,17.09,17.1,16.7,16.92,421000,"CONN","NASDAQ"
2019-06-10,17.01,17.625,16.99,17.13,638800,"CONN","NASDAQ"
2019-06-11,17.39,17.6894,17.05,17.35,553100,"CONN","NASDAQ"
2019-06-12,17.2702,17.5,17.03,17.18,366700,"CONN","NASDAQ"
2019-06-13,17.38,18.09,17.27,17.94,550400,"CONN","NASDAQ"
2019-06-14,17.82,18,17.3,17.68,408800,"CONN","NASDAQ"
2019-06-17,17.6,17.81,17.35,17.4,378100,"CONN","NASDAQ"
2019-06-18,17.57,18.45,17.534,17.96,323200,"CONN","NASDAQ"
2019-06-19,17.94,17.985,17.42,17.53,316000,"CONN","NASDAQ"
2019-06-20,17.81,17.98,17.19,17.39,272900,"CONN","NASDAQ"
2019-06-21,17.36,17.59,17.104,17.36,645000,"CONN","NASDAQ"
2019-06-24,17.36,17.472,16.88,16.97,485100,"CONN","NASDAQ"
2019-06-25,16.98,17.5,16.94,17.23,331800,"CONN","NASDAQ"
2019-06-26,17.29,17.67,17.21,17.36,292800,"CONN","NASDAQ"
2019-06-27,17.42,17.99,17.35,17.75,283400,"CONN","NASDAQ"
2019-06-28,17.86,18.38,17.72,17.82,1133300,"CONN","NASDAQ"
2019-07-01,18.25,19.03,18.1,18.54,453800,"CONN","NASDAQ"
2019-07-02,18.43,18.54,17.99,18.01,348600,"CONN","NASDAQ"
2019-07-03,18.13,18.39,18.04,18.1,259500,"CONN","NASDAQ"
2019-07-05,18.02,18.34,17.76,17.84,240200,"CONN","NASDAQ"
2019-07-08,17.73,18.02,17.48,17.49,272300,"CONN","NASDAQ"
2019-07-09,17.43,17.61,17.17,17.45,333600,"CONN","NASDAQ"
2019-07-10,17.69,18.05,17.44,17.75,377500,"CONN","NASDAQ"
2019-07-11,17.73,17.87,17.49,17.72,299400,"CONN","NASDAQ"
2019-07-12,17.83,18.41,17.7291,18.28,296500,"CONN","NASDAQ"
2019-07-15,18.3,18.6,18,18.21,502300,"CONN","NASDAQ"
2019-07-16,18.24,18.82,18.24,18.55,377800,"CONN","NASDAQ"
2019-07-17,18.43,18.74,18.1697,18.34,401300,"CONN","NASDAQ"
2019-07-18,18.27,18.8982,18.2,18.58,330600,"CONN","NASDAQ"
2019-07-19,18.58,19.27,18.58,18.95,383500,"CONN","NASDAQ"
2019-07-22,18.95,19.19,18.68,18.82,303500,"CONN","NASDAQ"
2019-07-23,18.87,19.57,18.85,19.44,360500,"CONN","NASDAQ"
2019-07-24,19.41,20.55,19.41,20.32,428400,"CONN","NASDAQ"
2019-07-25,20.3,20.71,19.93,19.96,328500,"CONN","NASDAQ"
2019-07-26,19.99,20.23,19.63,19.77,334100,"CONN","NASDAQ"
2019-07-29,19.79,20.27,19.5994,20.24,283100,"CONN","NASDAQ"
2019-07-30,20.03,20.6,19.81,20.46,312900,"CONN","NASDAQ"
2019-07-31,20.43,21.22,20.4,20.8,353400,"CONN","NASDAQ"
2019-08-01,22.25,22.25,19.93,20.29,743100,"CONN","NASDAQ"
2019-08-02,20.0921,20.48,19.76,19.98,372800,"CONN","NASDAQ"
2019-08-05,19.6,19.6,18.05,18.25,571300,"CONN","NASDAQ"
2019-08-06,18.4,19.27,18.4,19.1,436700,"CONN","NASDAQ"
2019-08-07,18.79,19.73,18.7,19.57,405600,"CONN","NASDAQ"
2019-08-08,19.71,20.4,19.61,19.97,352000,"CONN","NASDAQ"
2019-08-09,19.75,19.865,19.09,19.11,296700,"CONN","NASDAQ"
2019-08-12,18.85,19.42,18.85,19.35,350300,"CONN","NASDAQ"
2019-08-13,19.31,21.15,19.31,20.16,431400,"CONN","NASDAQ"
2019-08-14,19.45,19.93,19.05,19.74,358400,"CONN","NASDAQ"
2019-08-15,19.76,19.93,18.55,18.74,481200,"CONN","NASDAQ"
2019-08-16,18.98,19.94,18.82,19.47,382300,"CONN","NASDAQ"
2019-08-19,19.86,20.17,19.56,19.68,350800,"CONN","NASDAQ"
2019-08-20,19.59,19.79,19.38,19.46,395700,"CONN","NASDAQ"
2019-08-21,19.89,20.03,19.63,19.8,356700,"CONN","NASDAQ"
2019-08-22,19.86,20.47,19.8,20.29,484500,"CONN","NASDAQ"
2019-08-23,19.99,20.26,19.02,19.48,535700,"CONN","NASDAQ"
2019-08-26,19.92,20.2,19.56,19.8,378300,"CONN","NASDAQ"
2019-08-27,19.99,20.15,18.84,19.01,520400,"CONN","NASDAQ"
2019-08-28,19,20.8,19,19.51,1330400,"CONN","NASDAQ"
2019-08-29,19.78,20.49,19.78,20.46,473900,"CONN","NASDAQ"
2019-08-30,20.54,20.94,19.62,20.16,791200,"CONN","NASDAQ"
2019-09-03,23.33,24.49,22.41,23.85,5965200,"CONN","NASDAQ"
2019-09-04,23.97,24.12,22.6,22.92,1205900,"CONN","NASDAQ"
2019-09-05,23.27,24.89,23.27,24.25,1033500,"CONN","NASDAQ"
2019-09-06,24.44,24.97,23.92,24.15,632200,"CONN","NASDAQ"
2019-09-09,24.42,26.23,24.42,26.16,644200,"CONN","NASDAQ"
2019-09-10,26.01,26.84,25.6,26.67,941800,"CONN","NASDAQ"
2019-09-11,26.64,26.91,25.7,26.7,626600,"CONN","NASDAQ"
2019-09-12,26.56,26.89,25.87,26.71,541700,"CONN","NASDAQ"
2019-09-13,26.81,27.57,26.39,26.42,495700,"CONN","NASDAQ"
2019-09-16,26.1,26.51,25.68,26.04,686500,"CONN","NASDAQ"
2019-09-17,25.9,25.95,25.09,25.87,484900,"CONN","NASDAQ"
2019-09-18,25.82,25.82,24.4,24.76,619100,"CONN","NASDAQ"
2019-09-19,25,25.2,24.46,24.67,510000,"CONN","NASDAQ"
2019-09-20,24.68,24.89,23.6,23.75,1611200,"CONN","NASDAQ"
2019-09-23,23.56,24.85,23.49,24.56,346200,"CONN","NASDAQ"
2019-09-24,24.57,25.02,24.19,24.33,484800,"CONN","NASDAQ"
2019-09-25,24.34,25.14,24.31,24.86,347900,"CONN","NASDAQ"
2019-09-26,24.72,25.1,24.48,24.83,274500,"CONN","NASDAQ"
2019-09-27,24.81,25,23.95,24.04,435600,"CONN","NASDAQ"
2019-09-30,24.24,25.04,24.12,24.86,755000,"CONN","NASDAQ"
2019-10-01,25.04,25.98,24.96,24.97,391600,"CONN","NASDAQ"
2019-10-02,24.62,25.18,24.43,24.61,322000,"CONN","NASDAQ"
2019-10-03,24.48,24.84,23.73,24.75,443900,"CONN","NASDAQ"
2019-10-04,24.91,25.31,23.37,24.95,610800,"CONN","NASDAQ"
2019-10-07,24.8,26,24.8,25.59,424300,"CONN","NASDAQ"
2019-10-08,25.1,25.89,24.93,25.1,414800,"CONN","NASDAQ"
2019-10-09,25.29,25.53,24.95,25.18,245300,"CONN","NASDAQ"
2019-10-10,25.34,25.67,24.8,24.88,823400,"CONN","NASDAQ"
2019-10-11,25.37,26.12,25.23,25.28,873100,"CONN","NASDAQ"
2019-10-14,25.29,25.54,25.08,25.44,836900,"CONN","NASDAQ"
2019-10-15,25.59,26.51,25.56,25.81,307700,"CONN","NASDAQ"
2019-10-16,25.68,26.65,25.68,26.19,478400,"CONN","NASDAQ"
2019-10-17,26.33,26.44,25.82,26.11,229900,"CONN","NASDAQ"
2019-10-18,25.83,25.94,25.12,25.23,458490,"CONN","NASDAQ"
