"times","open","high","low","close","volume","symbol","market"
2019-05-30,8.5,8.57,8.11,8.13,1171600,"COOP","NASDAQ"
2019-05-31,8,8.04,7.3,7.57,2224600,"COOP","NASDAQ"
2019-06-03,7.61,7.79,7.11,7.15,1343900,"COOP","NASDAQ"
2019-06-04,7.3,7.63,7.12,7.61,829600,"COOP","NASDAQ"
2019-06-05,7.5798,7.6,7.1,7.15,1578100,"COOP","NASDAQ"
2019-06-06,7.16,7.16,6.57,6.91,3005700,"COOP","NASDAQ"
2019-06-07,6.9396,6.97,6.71,6.81,1406800,"COOP","NASDAQ"
2019-06-10,6.85,7.46,6.85,7.24,1528000,"COOP","NASDAQ"
2019-06-11,7.31,7.5,7.225,7.38,875300,"COOP","NASDAQ"
2019-06-12,7.32,7.35,7.14,7.18,758400,"COOP","NASDAQ"
2019-06-13,7.2,7.38,7.08,7.37,744400,"COOP","NASDAQ"
2019-06-14,7.35,7.47,7.15,7.16,499000,"COOP","NASDAQ"
2019-06-17,7.14,7.16,7,7,397500,"COOP","NASDAQ"
2019-06-18,7.03,7.39,6.975,7.25,336300,"COOP","NASDAQ"
2019-06-19,7.2506,7.46,7.22,7.32,484100,"COOP","NASDAQ"
2019-06-20,7.37,7.48,7.25,7.31,599000,"COOP","NASDAQ"
2019-06-21,7.25,7.38,7.13,7.31,953200,"COOP","NASDAQ"
2019-06-24,7.25,7.32,7.025,7.16,514300,"COOP","NASDAQ"
2019-06-25,7.18,7.3,6.911,7.22,621000,"COOP","NASDAQ"
2019-06-26,7.3,7.84,7.27,7.68,926000,"COOP","NASDAQ"
2019-06-27,7.73,8.03,7.68,7.83,566500,"COOP","NASDAQ"
2019-06-28,7.86,8.071,7.86,8.01,2092200,"COOP","NASDAQ"
2019-07-01,8.07,8.185,7.95,8.08,473900,"COOP","NASDAQ"
2019-07-02,8.03,8.16,7.88,7.9,581500,"COOP","NASDAQ"
2019-07-03,7.91,7.97,7.85,7.88,351600,"COOP","NASDAQ"
2019-07-05,7.9,8.16,7.9,8.14,426900,"COOP","NASDAQ"
2019-07-08,8.14,8.2,7.85,7.88,616500,"COOP","NASDAQ"
2019-07-09,7.85,7.93,7.8,7.91,515400,"COOP","NASDAQ"
2019-07-10,7.92,8,7.88,7.91,436600,"COOP","NASDAQ"
2019-07-11,7.9,8.0898,7.8,8.07,487000,"COOP","NASDAQ"
2019-07-12,8.13,8.29,8.03,8.18,506200,"COOP","NASDAQ"
2019-07-15,8.22,8.24,7.8,7.9,452000,"COOP","NASDAQ"
2019-07-16,7.84,7.93,7.8,7.91,388400,"COOP","NASDAQ"
2019-07-17,7.86,7.92,7.6,7.6,489700,"COOP","NASDAQ"
2019-07-18,7.63,7.63,7.5,7.56,375500,"COOP","NASDAQ"
2019-07-19,7.54,7.71,7.48,7.59,538800,"COOP","NASDAQ"
2019-07-22,7.62,7.63,7.24,7.26,421400,"COOP","NASDAQ"
2019-07-23,7.3,7.33,7.11,7.27,586200,"COOP","NASDAQ"
2019-07-24,7.26,7.53,7.2,7.53,480200,"COOP","NASDAQ"
2019-07-25,7.54,7.54,7.29,7.41,982800,"COOP","NASDAQ"
2019-07-26,7.42,7.88,7.38,7.74,557300,"COOP","NASDAQ"
2019-07-29,7.75,7.8297,7.63,7.66,390900,"COOP","NASDAQ"
2019-07-30,7.52,7.67,7.4,7.64,473000,"COOP","NASDAQ"
2019-07-31,7.7,8.02,7.5,7.61,1114800,"COOP","NASDAQ"
2019-08-01,8.01,9.25,8.01,8.54,1922700,"COOP","NASDAQ"
2019-08-02,8.5792,9.1,8.41,9.04,857100,"COOP","NASDAQ"
2019-08-05,8.79,9.06,8.52,8.86,1362100,"COOP","NASDAQ"
2019-08-06,8.97,9.01,8.66,8.94,957300,"COOP","NASDAQ"
2019-08-07,8.8101,8.95,8.68,8.78,779300,"COOP","NASDAQ"
2019-08-08,8.88,9.18,8.757,9.09,696400,"COOP","NASDAQ"
2019-08-09,9.09,9.302,8.9298,8.98,501200,"COOP","NASDAQ"
2019-08-12,8.93,9.39,8.895,9.39,674200,"COOP","NASDAQ"
2019-08-13,9.39,9.63,9.2794,9.38,807200,"COOP","NASDAQ"
2019-08-14,9.26,9.3,9.04,9.05,737700,"COOP","NASDAQ"
2019-08-15,9.07,9.1,8.94,9.06,523100,"COOP","NASDAQ"
2019-08-16,9.12,9.63,9.07,9.61,762300,"COOP","NASDAQ"
2019-08-19,9.79,9.82,9.55,9.67,617200,"COOP","NASDAQ"
2019-08-20,9.66,9.78,9.34,9.54,574800,"COOP","NASDAQ"
2019-08-21,9.54,9.64,9.3,9.52,924600,"COOP","NASDAQ"
2019-08-22,9.52,9.63,9.39,9.54,414600,"COOP","NASDAQ"
2019-08-23,9.53,9.55,9.02,9.05,560300,"COOP","NASDAQ"
2019-08-26,9.2,9.23,9.03,9.09,464900,"COOP","NASDAQ"
2019-08-27,9.12,9.26,8.83,8.96,783700,"COOP","NASDAQ"
2019-08-28,8.93,8.95,8.65,8.7,410800,"COOP","NASDAQ"
2019-08-29,8.83,8.99,8.75,8.84,337800,"COOP","NASDAQ"
2019-08-30,8.86,8.94,8.66,8.81,598100,"COOP","NASDAQ"
2019-09-03,8.67,8.81,8.5,8.67,790800,"COOP","NASDAQ"
2019-09-04,8.9,8.92,8.32,8.38,618900,"COOP","NASDAQ"
2019-09-05,8.35,8.77,8.33,8.64,877800,"COOP","NASDAQ"
2019-09-06,8.64,8.88,8.54,8.83,727900,"COOP","NASDAQ"
2019-09-09,8.93,9.53,8.9,9.2,1383100,"COOP","NASDAQ"
2019-09-10,9.2,9.71,9.2,9.69,1575100,"COOP","NASDAQ"
2019-09-11,9.7,10.15,9.63,10.05,1075000,"COOP","NASDAQ"
2019-09-12,10.06,10.45,9.85,10.31,1332500,"COOP","NASDAQ"
2019-09-13,10.41,10.62,10.24,10.55,1277900,"COOP","NASDAQ"
2019-09-16,10.5,11.05,10.43,10.93,911700,"COOP","NASDAQ"
2019-09-17,10.88,10.9,10.29,10.49,1013400,"COOP","NASDAQ"
2019-09-18,10.43,10.86,10.32,10.8,775100,"COOP","NASDAQ"
2019-09-19,10.78,11.12,10.72,10.91,730400,"COOP","NASDAQ"
2019-09-20,10.92,11.44,10.87,11.15,2498900,"COOP","NASDAQ"
2019-09-23,11.15,11.23,10.94,11.2,727600,"COOP","NASDAQ"
2019-09-24,11.39,11.39,10.93,11.04,730500,"COOP","NASDAQ"
2019-09-25,10.96,11.27,10.75,11.19,481200,"COOP","NASDAQ"
2019-09-26,11.11,11.17,10.82,10.91,390200,"COOP","NASDAQ"
2019-09-27,10.93,11.13,10.8,10.82,524100,"COOP","NASDAQ"
2019-09-30,10.83,10.84,10.62,10.62,399700,"COOP","NASDAQ"
2019-10-01,10.63,10.84,10.35,10.48,457600,"COOP","NASDAQ"
2019-10-02,10.36,10.51,10.19,10.51,357900,"COOP","NASDAQ"
2019-10-03,10.38,10.48,10.17,10.35,499700,"COOP","NASDAQ"
2019-10-04,10.39,10.5,10.2,10.5,226700,"COOP","NASDAQ"
2019-10-07,10.41,10.54,10.28,10.33,872100,"COOP","NASDAQ"
2019-10-08,10.32,10.58,10.18,10.4,743200,"COOP","NASDAQ"
2019-10-09,10.55,10.92,10.47,10.78,522200,"COOP","NASDAQ"
2019-10-10,10.8,10.95,10.68,10.69,409500,"COOP","NASDAQ"
2019-10-11,10.8,11.07,10.69,10.7,708700,"COOP","NASDAQ"
2019-10-14,10.54,10.94,10.52,10.84,355200,"COOP","NASDAQ"
2019-10-15,10.94,11.17,10.81,11.16,502600,"COOP","NASDAQ"
2019-10-16,11.18,11.31,11.03,11.11,518100,"COOP","NASDAQ"
2019-10-17,11.16,11.19,10.95,11.07,531100,"COOP","NASDAQ"
2019-10-18,11.01,11.53,11.01,11.485,657270,"COOP","NASDAQ"
