"times","open","high","low","close","volume","symbol","market"
2019-05-30,37.49,37.66,36.61,36.76,251800,"CORE","NASDAQ"
2019-05-31,36.4206,36.91,35.88,36.88,213100,"CORE","NASDAQ"
2019-06-03,36.85,37.2,36.63,37.02,255200,"CORE","NASDAQ"
2019-06-04,37.38,38.18,37.13,37.81,381500,"CORE","NASDAQ"
2019-06-05,37.96,39.25,37.96,39.25,219300,"CORE","NASDAQ"
2019-06-06,39.25,39.48,38.2,38.75,227400,"CORE","NASDAQ"
2019-06-07,39.0301,39.39,38.78,39.01,153900,"CORE","NASDAQ"
2019-06-10,39.21,39.71,38.3,38.41,169800,"CORE","NASDAQ"
2019-06-11,38.45,39.01,38.15,38.99,198900,"CORE","NASDAQ"
2019-06-12,38.7952,39.46,38.72,38.73,126500,"CORE","NASDAQ"
2019-06-13,38.79,39.23,38.29,39.11,171000,"CORE","NASDAQ"
2019-06-14,39.11,39.34,37.91,37.93,149700,"CORE","NASDAQ"
2019-06-17,38.04,38.3,37.685,37.82,137300,"CORE","NASDAQ"
2019-06-18,37.96,38.4,37.44,37.6,179100,"CORE","NASDAQ"
2019-06-19,37.67,37.67,36.11,37.33,280100,"CORE","NASDAQ"
2019-06-20,37.7,37.94,37.39,37.88,148500,"CORE","NASDAQ"
2019-06-21,37.75,37.75,36.42,36.43,375800,"CORE","NASDAQ"
2019-06-24,36.39,37.0886,36.11,36.5,254800,"CORE","NASDAQ"
2019-06-25,36.66,37.81,36.31,37.75,319900,"CORE","NASDAQ"
2019-06-26,37.75,38.59,37.545,38.12,327800,"CORE","NASDAQ"
2019-06-27,38.09,39.05,38.09,39,242000,"CORE","NASDAQ"
2019-06-28,39.17,40.02,39.14,39.72,1739500,"CORE","NASDAQ"
2019-07-01,40.3084,40.71,38.53,39.12,488600,"CORE","NASDAQ"
2019-07-02,39.18,39.71,38.98,39.47,248000,"CORE","NASDAQ"
2019-07-03,39.5,40.27,39.3984,40.16,115000,"CORE","NASDAQ"
2019-07-05,40.04,40.88,39.751,40.81,209100,"CORE","NASDAQ"
2019-07-08,40.64,40.95,39.63,39.9,138200,"CORE","NASDAQ"
2019-07-09,39.94,40.28,39.508,39.75,235800,"CORE","NASDAQ"
2019-07-10,39.93,39.94,39.41,39.85,142700,"CORE","NASDAQ"
2019-07-11,39.8981,40.16,39.13,39.15,168800,"CORE","NASDAQ"
2019-07-12,39.34,39.78,39.17,39.35,175700,"CORE","NASDAQ"
2019-07-15,39.54,40.08,38.68,38.83,133100,"CORE","NASDAQ"
2019-07-16,38.99,38.99,38.07,38.29,197100,"CORE","NASDAQ"
2019-07-17,38.36,38.59,37.64,37.95,199600,"CORE","NASDAQ"
2019-07-18,37.92,38.25,37.57,38.23,132800,"CORE","NASDAQ"
2019-07-19,38.11,38.58,37.9321,37.94,183200,"CORE","NASDAQ"
2019-07-22,38.17,38.22,37.35,37.64,175900,"CORE","NASDAQ"
2019-07-23,37.81,37.96,37.13,37.88,231300,"CORE","NASDAQ"
2019-07-24,37.86,38.43,37.46,38.4,116200,"CORE","NASDAQ"
2019-07-25,38.39,38.5,37.21,37.39,168200,"CORE","NASDAQ"
2019-07-26,37.58,38.19,37.22,38.07,167500,"CORE","NASDAQ"
2019-07-29,38.0309,38.39,37.98,38.25,144300,"CORE","NASDAQ"
2019-07-30,38.1294,38.19,37.24,37.72,169800,"CORE","NASDAQ"
2019-07-31,37.76,38.44,37.21,37.43,279900,"CORE","NASDAQ"
2019-08-01,37.48,37.6,35.26,35.48,316100,"CORE","NASDAQ"
2019-08-02,35.25,35.99,34.73,35.06,154700,"CORE","NASDAQ"
2019-08-05,34.47,34.4698,33.26,34.12,230600,"CORE","NASDAQ"
2019-08-06,34.29,35.32,34.29,35.2,214500,"CORE","NASDAQ"
2019-08-07,35.94,35.94,32.8,34.11,600200,"CORE","NASDAQ"
2019-08-08,34.62,35.66,33.96,35.55,241800,"CORE","NASDAQ"
2019-08-09,35.42,35.89,33.57,33.75,436700,"CORE","NASDAQ"
2019-08-12,33.44,33.99,33.16,33.8,353600,"CORE","NASDAQ"
2019-08-13,33.7797,34.78,33.63,33.65,162500,"CORE","NASDAQ"
2019-08-14,32.9478,33.25,31.99,32.08,270100,"CORE","NASDAQ"
2019-08-15,32.2,32.6401,31.98,32.41,250500,"CORE","NASDAQ"
2019-08-16,32.58,33.71,32.58,33.42,143100,"CORE","NASDAQ"
2019-08-19,33.89,34.11,32.92,32.97,294500,"CORE","NASDAQ"
2019-08-20,32.86,33.23,32.45,32.6,231000,"CORE","NASDAQ"
2019-08-21,32.81,33.13,32.12,32.27,328700,"CORE","NASDAQ"
2019-08-22,32.22,32.77,31.96,32.47,238500,"CORE","NASDAQ"
2019-08-23,32.06,32.57,31.77,32.43,274200,"CORE","NASDAQ"
2019-08-26,32.65,33.03,32.47,32.67,174900,"CORE","NASDAQ"
2019-08-27,32.76,32.77,31.95,31.99,202600,"CORE","NASDAQ"
2019-08-28,31.92,32.73,31.79,32.5,152700,"CORE","NASDAQ"
2019-08-29,32.73,33.37,32.69,32.76,131600,"CORE","NASDAQ"
2019-08-30,33.01,33.33,32.2,32.39,196000,"CORE","NASDAQ"
2019-09-03,32.11,32.81,31.59,32.03,254600,"CORE","NASDAQ"
2019-09-04,32.29,32.84,32.17,32.34,173300,"CORE","NASDAQ"
2019-09-05,32.66,33.76,32.59,33.21,199600,"CORE","NASDAQ"
2019-09-06,33.27,33.44,32.81,32.87,165100,"CORE","NASDAQ"
2019-09-09,32.87,33.07,32.43,32.64,193300,"CORE","NASDAQ"
2019-09-10,32.48,32.86,32.16,32.8,240000,"CORE","NASDAQ"
2019-09-11,32.97,33.77,32.96,33.36,182500,"CORE","NASDAQ"
2019-09-12,33.34,34.16,33.16,34.06,285400,"CORE","NASDAQ"
2019-09-13,34.17,34.42,33.05,33.06,188300,"CORE","NASDAQ"
2019-09-16,32.86,33.29,31.99,32.24,469900,"CORE","NASDAQ"
2019-09-17,32.03,32.51,31.83,32.25,198800,"CORE","NASDAQ"
2019-09-18,32.23,32.56,31.17,31.31,312100,"CORE","NASDAQ"
2019-09-19,31.29,31.57,30.97,31,442800,"CORE","NASDAQ"
2019-09-20,30.98,31.62,30.98,31.08,1162000,"CORE","NASDAQ"
2019-09-23,31.02,31.65,30.87,30.91,207600,"CORE","NASDAQ"
2019-09-24,30.87,31.31,30.48,30.65,287600,"CORE","NASDAQ"
2019-09-25,30.62,31.03,30.62,30.82,373200,"CORE","NASDAQ"
2019-09-26,30.72,31.63,30.57,31.17,360800,"CORE","NASDAQ"
2019-09-27,31.13,31.4,30.8,30.94,318800,"CORE","NASDAQ"
2019-09-30,30.98,32.54,30.98,32.12,462900,"CORE","NASDAQ"
2019-10-01,31.82,32.33,31.27,31.47,275000,"CORE","NASDAQ"
2019-10-02,31.17,31.17,30.36,30.56,310900,"CORE","NASDAQ"
2019-10-03,30.43,30.45,28.46,28.6,430600,"CORE","NASDAQ"
2019-10-04,28.57,29.15,27.41,29.06,417400,"CORE","NASDAQ"
2019-10-07,28.96,29.28,28.62,28.68,236800,"CORE","NASDAQ"
2019-10-08,28.38,29.01,28.2,28.52,327700,"CORE","NASDAQ"
2019-10-09,28.78,29.47,28.58,28.92,242500,"CORE","NASDAQ"
2019-10-10,28.92,28.96,28.22,28.43,199100,"CORE","NASDAQ"
2019-10-11,28.79,29.72,28.54,28.85,211300,"CORE","NASDAQ"
2019-10-14,28.72,29.06,28.46,28.67,188600,"CORE","NASDAQ"
2019-10-15,28.63,28.73,28.16,28.48,202500,"CORE","NASDAQ"
2019-10-16,28.38,28.95,28.06,28.32,167900,"CORE","NASDAQ"
2019-10-17,28.28,29.22,28.28,28.89,275700,"CORE","NASDAQ"
2019-10-18,28.7,29.45,28.595,28.85,276220,"CORE","NASDAQ"
