"times","open","high","low","close","volume","symbol","market"
2019-05-30,110.68,111.77,109.13,110.37,683300,"COUP","NASDAQ"
2019-05-31,108.72,110.55,107.29,109.21,932500,"COUP","NASDAQ"
2019-06-03,108.68,109.68,100.8,102.48,2414200,"COUP","NASDAQ"
2019-06-04,110.49,114,100.52,112.42,6486800,"COUP","NASDAQ"
2019-06-05,112.2,117.43,111.7314,117.17,2322600,"COUP","NASDAQ"
2019-06-06,115.54,119.755,115,118.22,2497500,"COUP","NASDAQ"
2019-06-07,118.345,122.19,118.01,121.14,4557800,"COUP","NASDAQ"
2019-06-10,123.88,129.4,123.199,123.78,2271500,"COUP","NASDAQ"
2019-06-11,124.39,124.39,116.22,118.72,2355100,"COUP","NASDAQ"
2019-06-12,118.72,119.64,117.01,119.29,1190300,"COUP","NASDAQ"
2019-06-13,119.45,122.29,118.54,121.3,1152100,"COUP","NASDAQ"
2019-06-14,121.23,123.97,119.375,120.7,804000,"COUP","NASDAQ"
2019-06-17,121.64,123.55,120.03,122.16,1113200,"COUP","NASDAQ"
2019-06-18,124.76,125.38,122.89,123,805000,"COUP","NASDAQ"
2019-06-19,123.35,127.11,122.8,126.95,1706400,"COUP","NASDAQ"
2019-06-20,128.11,129.05,126.24,127.05,1706300,"COUP","NASDAQ"
2019-06-21,126.0513,127.43,124.02,126.72,1413300,"COUP","NASDAQ"
2019-06-24,127.11,127.63,122.9392,125.06,1147300,"COUP","NASDAQ"
2019-06-25,124.84,126.545,119.353,120.39,1406200,"COUP","NASDAQ"
2019-06-26,124.42,127.405,118.77,118.94,2087400,"COUP","NASDAQ"
2019-06-27,120.35,126.5177,120.34,126.5,1867800,"COUP","NASDAQ"
2019-06-28,126.5,128.67,123.95,126.61,7387000,"COUP","NASDAQ"
2019-07-01,130.21,131.54,128.061,130.98,1336400,"COUP","NASDAQ"
2019-07-02,130.9,133.7,129.142,133.47,1385600,"COUP","NASDAQ"
2019-07-03,134.5,135.61,133.8276,135.22,1655800,"COUP","NASDAQ"
2019-07-05,133.27,137.66,131.69,137.46,1402400,"COUP","NASDAQ"
2019-07-08,136.48,138.66,135.604,136.54,1068100,"COUP","NASDAQ"
2019-07-09,135.41,137.49,135.41,137.02,1274200,"COUP","NASDAQ"
2019-07-10,138,140.69,136.02,136.29,1317500,"COUP","NASDAQ"
2019-07-11,137.35,137.35,133.45,135.14,1572200,"COUP","NASDAQ"
2019-07-12,135.32,139.68,134.45,139.26,1629300,"COUP","NASDAQ"
2019-07-15,138.84,141.28,137,140.18,1487800,"COUP","NASDAQ"
2019-07-16,140.08,141.845,138.76,139.94,1645800,"COUP","NASDAQ"
2019-07-17,140.01,145.17,139.5,143.22,2000200,"COUP","NASDAQ"
2019-07-18,142.17,146.58,142.11,145.77,1433900,"COUP","NASDAQ"
2019-07-19,146.68,148,143.14,143.91,956600,"COUP","NASDAQ"
2019-07-22,144.96,146.23,144.245,145.17,925100,"COUP","NASDAQ"
2019-07-23,145.33,145.95,139,141.03,1660100,"COUP","NASDAQ"
2019-07-24,140,142.52,139.529,141.58,2050200,"COUP","NASDAQ"
2019-07-25,141.13,143.75,139.3,142.77,867800,"COUP","NASDAQ"
2019-07-26,143.47,147.83,143.47,146.17,662000,"COUP","NASDAQ"
2019-07-29,145.7737,146.025,136,139.55,1621000,"COUP","NASDAQ"
2019-07-30,138.49,140.71,137.58,138.07,808500,"COUP","NASDAQ"
2019-07-31,139,139.445,132.4886,135.71,1381300,"COUP","NASDAQ"
2019-08-01,136.96,140.41,134.7,136.2,2097100,"COUP","NASDAQ"
2019-08-02,136.68,137.59,131.79,137.45,1046800,"COUP","NASDAQ"
2019-08-05,131.9,135,129.02,131.96,1999300,"COUP","NASDAQ"
2019-08-06,134.07,137.437,132.37,133.67,1068000,"COUP","NASDAQ"
2019-08-07,131.49,135.58,130.7186,133.34,945800,"COUP","NASDAQ"
2019-08-08,135.47,139.7,134.01,138.07,941200,"COUP","NASDAQ"
2019-08-09,137.16,139.29,136.75,137.76,955400,"COUP","NASDAQ"
2019-08-12,137.09,137.26,133.53,134.38,863600,"COUP","NASDAQ"
2019-08-13,133.7,138.86,133.66,137.89,825500,"COUP","NASDAQ"
2019-08-14,135.03,135.7,128.02,131.17,1004800,"COUP","NASDAQ"
2019-08-15,133.03,135.4,131.5358,133.76,873200,"COUP","NASDAQ"
2019-08-16,135.98,139.66,135.96,138.25,1087000,"COUP","NASDAQ"
2019-08-19,140.2,140.99,135.87,136.34,1022700,"COUP","NASDAQ"
2019-08-20,136.87,140.78,135.53,139.38,632900,"COUP","NASDAQ"
2019-08-21,142,144.76,140.06,142.91,835300,"COUP","NASDAQ"
2019-08-22,142.71,143.99,138.77,141.46,798700,"COUP","NASDAQ"
2019-08-23,143.14,145.84,138.09,140.18,1191900,"COUP","NASDAQ"
2019-08-26,143.66,144.56,140.14,144.19,709600,"COUP","NASDAQ"
2019-08-27,145.73,148.9,141.1,143.28,1148800,"COUP","NASDAQ"
2019-08-28,142.07,143,137.803,140.3,867900,"COUP","NASDAQ"
2019-08-29,142.4,143.94,137.52,141.84,1101100,"COUP","NASDAQ"
2019-08-30,143.3,143.5,135.32,138.93,1296500,"COUP","NASDAQ"
2019-09-03,138.17,139.19,133,134.4,2884600,"COUP","NASDAQ"
2019-09-04,149.49,155.45,142.8,146.09,8148100,"COUP","NASDAQ"
2019-09-05,146.42,153.95,142.11,153.41,3174600,"COUP","NASDAQ"
2019-09-06,153.37,156.16,148.04,148.6,1912900,"COUP","NASDAQ"
2019-09-09,149.15,151.1,132.92,136.88,3538500,"COUP","NASDAQ"
2019-09-10,133.25,138.795,131.5,136.87,2577900,"COUP","NASDAQ"
2019-09-11,137.29,139.36,132.5,134.48,2129100,"COUP","NASDAQ"
2019-09-12,136.85,141.59,135.86,136.18,2542400,"COUP","NASDAQ"
2019-09-13,134.11,134.89,130.51,131.72,2653500,"COUP","NASDAQ"
2019-09-16,129.47,135.78,126.88,135.03,2547200,"COUP","NASDAQ"
2019-09-17,138.55,139.15,135.83,137.99,1538000,"COUP","NASDAQ"
2019-09-18,138.12,138.19,133.28,136.85,1414400,"COUP","NASDAQ"
2019-09-19,136.77,139.136,135.86,138.04,976900,"COUP","NASDAQ"
2019-09-20,139.34,142.48,137.3,140.52,1771800,"COUP","NASDAQ"
2019-09-23,142.38,143.58,140.699,143.3,2081500,"COUP","NASDAQ"
2019-09-24,145,150.31,143,143.58,3618500,"COUP","NASDAQ"
2019-09-25,142.72,143.49,131.7,136.71,4183200,"COUP","NASDAQ"
2019-09-26,137.22,138.59,133.275,135.06,1417000,"COUP","NASDAQ"
2019-09-27,136.02,136.25,125.37,127.89,2487800,"COUP","NASDAQ"
2019-09-30,128.73,129.68,123.72,129.57,2445200,"COUP","NASDAQ"
2019-10-01,129.52,134.95,128.285,133.34,2926000,"COUP","NASDAQ"
2019-10-02,131.45,134.9,130.31,134.66,1978900,"COUP","NASDAQ"
2019-10-03,134.88,144.25,132.7,143.13,2424000,"COUP","NASDAQ"
2019-10-04,143.23,148.4,142.08,148.32,1740500,"COUP","NASDAQ"
2019-10-07,147.78,154,147.486,150.19,3036300,"COUP","NASDAQ"
2019-10-08,148.09,150.4,142.74,142.78,2590400,"COUP","NASDAQ"
2019-10-09,144.4,150.905,143.63,150.135,1623400,"COUP","NASDAQ"
2019-10-10,150,154.925,149.256,153.64,1776700,"COUP","NASDAQ"
2019-10-11,155,159.4,154.94,157.3,2086000,"COUP","NASDAQ"
2019-10-14,157.13,159.97,156,158.25,1426800,"COUP","NASDAQ"
2019-10-15,157.71,159.9,153.05,154.69,2331800,"COUP","NASDAQ"
