"times","open","high","low","close","volume","symbol","market"
2019-05-30,15.8303,15.96,15.47,15.48,190700,"COWN","NASDAQ"
2019-05-31,15.27,15.45,15.02,15.15,282500,"COWN","NASDAQ"
2019-06-03,15.11,15.43,15.11,15.38,236600,"COWN","NASDAQ"
2019-06-04,15.67,15.8,15.22,15.46,328200,"COWN","NASDAQ"
2019-06-05,15.64,15.8897,15.62,15.73,193700,"COWN","NASDAQ"
2019-06-06,15.67,16.05,15.67,16,140200,"COWN","NASDAQ"
2019-06-07,16.09,16.29,16,16.16,205200,"COWN","NASDAQ"
2019-06-10,16.27,16.71,16.27,16.71,369000,"COWN","NASDAQ"
2019-06-11,16.77,16.92,16.46,16.74,166600,"COWN","NASDAQ"
2019-06-12,16.75,16.75,16.22,16.25,153100,"COWN","NASDAQ"
2019-06-13,16.36,16.6,16.33,16.58,97500,"COWN","NASDAQ"
2019-06-14,16.59,16.64,16.45,16.57,88000,"COWN","NASDAQ"
2019-06-17,16.58,16.6,16.18,16.21,574300,"COWN","NASDAQ"
2019-06-18,16.19,16.56,15.68,16.15,127600,"COWN","NASDAQ"
2019-06-19,16.25,16.54,16.22,16.3,123900,"COWN","NASDAQ"
2019-06-20,16.36,16.36,15.94,16.27,138500,"COWN","NASDAQ"
2019-06-21,16.18,16.5,16.04,16.46,361000,"COWN","NASDAQ"
2019-06-24,16.46,16.63,16.28,16.28,144000,"COWN","NASDAQ"
2019-06-25,16.28,16.66,16.04,16.63,175600,"COWN","NASDAQ"
2019-06-26,16.68,16.8,16.49,16.62,629600,"COWN","NASDAQ"
2019-06-27,16.67,16.85,16.587,16.8,207200,"COWN","NASDAQ"
2019-06-28,16.86,17.26,16.86,17.19,562100,"COWN","NASDAQ"
2019-07-01,17.39,17.48,16.8,17.05,336800,"COWN","NASDAQ"
2019-07-02,17,17.05,16.685,16.87,211300,"COWN","NASDAQ"
2019-07-03,16.94,17.05,16.79,16.97,90200,"COWN","NASDAQ"
2019-07-05,16.96,17.05,16.66,16.87,147700,"COWN","NASDAQ"
2019-07-08,16.78,16.78,16.4,16.51,175000,"COWN","NASDAQ"
2019-07-09,16.48,16.52,16.2609,16.42,114600,"COWN","NASDAQ"
2019-07-10,16.5,16.5,16.22,16.32,164700,"COWN","NASDAQ"
2019-07-11,16.3,16.45,16.01,16.07,188300,"COWN","NASDAQ"
2019-07-12,16.06,16.12,15.54,15.65,316400,"COWN","NASDAQ"
2019-07-15,15.64,15.75,15.4,15.45,400200,"COWN","NASDAQ"
2019-07-16,15.51,15.52,15.17,15.2,295700,"COWN","NASDAQ"
2019-07-17,15.24,15.5805,15.1,15.36,371700,"COWN","NASDAQ"
2019-07-18,15.3885,15.9,15.18,15.8,391100,"COWN","NASDAQ"
2019-07-19,15.74,16.16,15.52,16.06,345200,"COWN","NASDAQ"
2019-07-22,16.12,16.2891,15.86,15.88,394800,"COWN","NASDAQ"
2019-07-23,16.16,16.66,16.07,16.54,403100,"COWN","NASDAQ"
2019-07-24,16.46,17.33,16.18,17.31,607000,"COWN","NASDAQ"
2019-07-25,17.34,17.51,16.9903,17.49,381600,"COWN","NASDAQ"
2019-07-26,17.21,18.36,17.21,17.99,721700,"COWN","NASDAQ"
2019-07-29,18.14,18.14,17.3,17.73,323600,"COWN","NASDAQ"
2019-07-30,17.52,18.08,17.52,17.98,299700,"COWN","NASDAQ"
