"times","open","high","low","close","volume","symbol","market"
2019-05-30,25.34,25.48,25.28,25.46,27900,"COWNL","NASDAQ"
2019-05-31,25.44,25.48,25.4,25.45,19100,"COWNL","NASDAQ"
2019-06-03,25.45,25.55,25.31,25.35,26200,"COWNL","NASDAQ"
2019-06-04,25.05,25.71,25.05,25.66,23700,"COWNL","NASDAQ"
2019-06-05,25.59,25.658,25.59,25.59,1800,"COWNL","NASDAQ"
2019-06-06,25.54,25.636,25.5,25.636,8500,"COWNL","NASDAQ"
2019-06-07,25.69,25.7,25.62,25.65,6800,"COWNL","NASDAQ"
2019-06-10,25.72,25.735,25.57,25.72,5700,"COWNL","NASDAQ"
2019-06-11,25.725,25.739,25.54,25.64,11300,"COWNL","NASDAQ"
2019-06-12,25.64,25.65,25.55,25.55,14200,"COWNL","NASDAQ"
2019-06-13,25.56,25.6,25.49,25.6,11200,"COWNL","NASDAQ"
2019-06-14,25.599,25.599,25.599,25.599,300,"COWNL","NASDAQ"
2019-06-17,25.63,25.63,25.49,25.501,18600,"COWNL","NASDAQ"
2019-06-18,25.52,25.66,25.5,25.64,26900,"COWNL","NASDAQ"
2019-06-19,25.62,25.68,25.6,25.65,6300,"COWNL","NASDAQ"
2019-06-20,25.598,25.78,25.5509,25.73,7500,"COWNL","NASDAQ"
2019-06-21,25.54,25.73,25.54,25.54,6800,"COWNL","NASDAQ"
2019-06-24,25.6,25.76,25.6,25.684,12200,"COWNL","NASDAQ"
2019-06-25,25.725,25.76,25.5587,25.68,15400,"COWNL","NASDAQ"
2019-06-26,25.58,25.75,25.5808,25.75,7700,"COWNL","NASDAQ"
2019-06-27,25.7359,25.75,25.65,25.715,4600,"COWNL","NASDAQ"
2019-06-28,25.7476,25.78,25.681,25.78,25700,"COWNL","NASDAQ"
2019-07-01,25.78,25.78,25.66,25.74,4000,"COWNL","NASDAQ"
2019-07-02,25.74,25.8,25.693,25.75,8400,"COWNL","NASDAQ"
2019-07-03,25.751,25.8,25.71,25.791,7800,"COWNL","NASDAQ"
2019-07-05,25.83,25.83,25.79,25.8,1700,"COWNL","NASDAQ"
2019-07-08,25.8,25.8,25.701,25.758,6600,"COWNL","NASDAQ"
2019-07-09,25.8,25.84,25.72,25.84,2800,"COWNL","NASDAQ"
2019-07-10,25.7,25.8,25.7,25.8,5000,"COWNL","NASDAQ"
2019-07-11,25.825,25.825,25.738,25.8,800,"COWNL","NASDAQ"
2019-07-12,25.822,25.85,25.75,25.76,9500,"COWNL","NASDAQ"
2019-07-15,25.77,25.779,25.74,25.76,9300,"COWNL","NASDAQ"
2019-07-16,25.816,25.88,25.769,25.87,12000,"COWNL","NASDAQ"
2019-07-17,25.83,25.869,25.783,25.85,10600,"COWNL","NASDAQ"
2019-07-18,25.81,25.848,25.65,25.65,37500,"COWNL","NASDAQ"
2019-07-19,25.65,25.85,25.598,25.7,15800,"COWNL","NASDAQ"
2019-07-22,25.703,25.92,25.7,25.89,15500,"COWNL","NASDAQ"
2019-07-23,25.93,26.04,25.822,26.03,24700,"COWNL","NASDAQ"
2019-07-24,26.05,26.25,26.033,26.24,6600,"COWNL","NASDAQ"
2019-07-25,26.24,26.34,26.184,26.32,8800,"COWNL","NASDAQ"
2019-07-26,26.29,26.31,26.09,26.3,3700,"COWNL","NASDAQ"
2019-07-29,26.29,26.32,26.208,26.29,6800,"COWNL","NASDAQ"
2019-07-30,26.34,26.44,26.32,26.44,7400,"COWNL","NASDAQ"
2019-07-31,26.415,26.63,26.306,26.61,34800,"COWNL","NASDAQ"
2019-08-01,26.637,26.637,26.466,26.56,7700,"COWNL","NASDAQ"
2019-08-02,26.53,26.61,26.5206,26.6,5300,"COWNL","NASDAQ"
2019-08-05,26.47,26.47,26.164,26.4,15800,"COWNL","NASDAQ"
2019-08-06,26.31,26.4,26.28,26.4,6300,"COWNL","NASDAQ"
2019-08-07,26.4,26.5,26.4,26.459,3000,"COWNL","NASDAQ"
2019-08-08,26.371,26.42,26.32,26.42,4500,"COWNL","NASDAQ"
2019-08-09,26.3,26.3,26.1,26.3,9000,"COWNL","NASDAQ"
2019-08-12,26.425,26.49,26.39,26.435,5800,"COWNL","NASDAQ"
2019-08-13,26.4,26.485,26.4,26.435,9800,"COWNL","NASDAQ"
2019-08-14,25.05,26.44,25.05,26.4,13600,"COWNL","NASDAQ"
2019-08-15,26.309,26.4403,26.309,26.42,7200,"COWNL","NASDAQ"
2019-08-16,26.41,26.49,26.354,26.46,16600,"COWNL","NASDAQ"
2019-08-19,26.468,26.53,26.468,26.53,8900,"COWNL","NASDAQ"
2019-08-20,26.53,26.537,26.53,26.53,5100,"COWNL","NASDAQ"
2019-08-21,26.55,26.57,26.55,26.57,6500,"COWNL","NASDAQ"
2019-08-22,26.556,26.699,26.556,26.68,9700,"COWNL","NASDAQ"
2019-08-23,26.61,26.7,26.61,26.7,2300,"COWNL","NASDAQ"
2019-08-26,26.634,26.7,26.611,26.7,3400,"COWNL","NASDAQ"
2019-08-27,26.7,26.7,26.63,26.7,4700,"COWNL","NASDAQ"
2019-08-28,26.6,26.683,26.49,26.63,25600,"COWNL","NASDAQ"
2019-08-29,26.23,26.25,26.09,26.25,31600,"COWNL","NASDAQ"
2019-08-30,26.2,26.332,26.108,26.32,22600,"COWNL","NASDAQ"
2019-09-03,26.3,26.31,26.2,26.31,2300,"COWNL","NASDAQ"
2019-09-04,26.304,26.34,26.29,26.29,4800,"COWNL","NASDAQ"
2019-09-05,26.34,26.34,26.14,26.3,9200,"COWNL","NASDAQ"
2019-09-06,26.3,26.36,26.223,26.338,7800,"COWNL","NASDAQ"
