"times","open","high","low","close","volume","symbol","market"
2019-05-30,9.95,10.08,9.82,9.95,96900,"CPLP","NASDAQ"
2019-05-31,9.9,10.13,9.79,10.08,133100,"CPLP","NASDAQ"
2019-06-03,10.05,10.35,10.05,10.19,95400,"CPLP","NASDAQ"
2019-06-04,10.24,10.49,10.2,10.43,105300,"CPLP","NASDAQ"
2019-06-05,10.45,10.45,10.05,10.13,91300,"CPLP","NASDAQ"
2019-06-06,10.09,10.221,10.05,10.18,50000,"CPLP","NASDAQ"
2019-06-07,10.13,10.4,10.08,10.23,94800,"CPLP","NASDAQ"
2019-06-10,10.2511,10.39,10.11,10.14,102400,"CPLP","NASDAQ"
2019-06-11,10.24,10.44,10.09,10.36,125100,"CPLP","NASDAQ"
2019-06-12,10.33,10.44,10.2,10.26,145900,"CPLP","NASDAQ"
2019-06-13,10.35,10.43,10.31,10.39,85100,"CPLP","NASDAQ"
2019-06-14,10.43,10.51,10.34,10.49,119800,"CPLP","NASDAQ"
2019-06-17,10.49,10.53,10.43,10.47,110700,"CPLP","NASDAQ"
2019-06-18,10.48,10.59,10.41,10.46,59900,"CPLP","NASDAQ"
2019-06-19,10.44,10.6,10.38,10.52,82600,"CPLP","NASDAQ"
2019-06-20,10.59,10.6,10.45,10.52,67400,"CPLP","NASDAQ"
2019-06-21,10.55,10.6,10.45,10.55,249300,"CPLP","NASDAQ"
2019-06-24,10.48,10.5,10.31,10.42,76000,"CPLP","NASDAQ"
2019-06-25,10.35,10.3987,9.98,10.16,193700,"CPLP","NASDAQ"
2019-06-26,10.16,10.485,10.16,10.4,62900,"CPLP","NASDAQ"
2019-06-27,10.37,10.49,10.34,10.41,56200,"CPLP","NASDAQ"
2019-06-28,10.39,10.5,10.35,10.5,68600,"CPLP","NASDAQ"
2019-07-01,10.5,10.6,10.36,10.39,87800,"CPLP","NASDAQ"
2019-07-02,10.36,10.42,10.185,10.35,63500,"CPLP","NASDAQ"
2019-07-03,10.31,10.42,10.25,10.36,51400,"CPLP","NASDAQ"
2019-07-05,10.3,10.49,10.3,10.4,80300,"CPLP","NASDAQ"
2019-07-08,10.4,10.45,10.29,10.35,97200,"CPLP","NASDAQ"
2019-07-09,10.31,10.54,10.31,10.5,71400,"CPLP","NASDAQ"
2019-07-10,10.55,11.1,10.55,11.08,371800,"CPLP","NASDAQ"
2019-07-11,11.1,11.2,11,11.18,222200,"CPLP","NASDAQ"
2019-07-12,11.1892,11.52,11.12,11.43,216100,"CPLP","NASDAQ"
2019-07-15,11.51,11.67,11.45,11.58,131400,"CPLP","NASDAQ"
2019-07-16,11.63,11.86,11.55,11.69,82400,"CPLP","NASDAQ"
2019-07-17,11.69,11.69,11.37,11.42,133000,"CPLP","NASDAQ"
2019-07-18,11.37,11.41,11.2,11.31,163300,"CPLP","NASDAQ"
2019-07-19,11.32,11.44,11.15,11.15,170500,"CPLP","NASDAQ"
2019-07-22,11.16,11.34,11.11,11.24,108000,"CPLP","NASDAQ"
2019-07-23,11.26,11.3807,11.12,11.23,72200,"CPLP","NASDAQ"
2019-07-24,11.2304,11.45,11.23,11.32,99000,"CPLP","NASDAQ"
2019-07-25,11.37,11.51,11.19,11.27,85500,"CPLP","NASDAQ"
2019-07-26,11.26,11.35,11.21,11.31,37800,"CPLP","NASDAQ"
2019-07-29,11.27,11.37,11.08,11.2,88200,"CPLP","NASDAQ"
2019-07-30,11.13,11.31,11.0307,11.25,98000,"CPLP","NASDAQ"
2019-07-31,11.47,11.69,11.31,11.48,132600,"CPLP","NASDAQ"
2019-08-01,11.26,11.44,11.06,11.2,157800,"CPLP","NASDAQ"
2019-08-02,11.17,11.17,10.85,11.14,87200,"CPLP","NASDAQ"
2019-08-05,11.1,11.1,10.69,10.9,108700,"CPLP","NASDAQ"
2019-08-06,10.91,10.99,10.82,10.86,80900,"CPLP","NASDAQ"
2019-08-07,10.84,10.9,10.61,10.745,112100,"CPLP","NASDAQ"
2019-08-08,10.89,10.9103,10.73,10.76,62400,"CPLP","NASDAQ"
2019-08-09,10.79,10.79,10.551,10.61,59200,"CPLP","NASDAQ"
2019-08-12,10.57,10.61,10.41,10.45,79600,"CPLP","NASDAQ"
2019-08-13,10.46,10.54,10.38,10.48,88700,"CPLP","NASDAQ"
2019-08-14,10.43,10.43,10.01,10.06,159400,"CPLP","NASDAQ"
2019-08-15,10.1508,10.24,10.01,10.17,69400,"CPLP","NASDAQ"
2019-08-16,10.2,10.62,10.2,10.62,72100,"CPLP","NASDAQ"
2019-08-19,10.7,10.82,10.65,10.71,53200,"CPLP","NASDAQ"
2019-08-20,10.65,10.77,10.58,10.67,72500,"CPLP","NASDAQ"
2019-08-21,10.64,10.86,10.61,10.65,197200,"CPLP","NASDAQ"
2019-08-22,10.66,10.75,10.45,10.53,69900,"CPLP","NASDAQ"
2019-08-23,10.42,10.52,10.29,10.4,140000,"CPLP","NASDAQ"
2019-08-26,10.42,10.61,10.42,10.53,65400,"CPLP","NASDAQ"
2019-08-27,10.64,10.64,10.36,10.41,102400,"CPLP","NASDAQ"
2019-08-28,10.48,10.75,10.48,10.66,28700,"CPLP","NASDAQ"
2019-08-29,10.7,10.81,10.67,10.74,41300,"CPLP","NASDAQ"
2019-08-30,10.75,10.75,10.41,10.53,44100,"CPLP","NASDAQ"
2019-09-03,10.46,10.46,10.15,10.32,86600,"CPLP","NASDAQ"
2019-09-04,10.35,10.54,10.31,10.49,31000,"CPLP","NASDAQ"
2019-09-05,10.55,10.62,10.24,10.31,154100,"CPLP","NASDAQ"
2019-09-06,10.35,10.59,10.29,10.46,35100,"CPLP","NASDAQ"
2019-09-09,10.48,10.78,10.48,10.7,52600,"CPLP","NASDAQ"
2019-09-10,10.68,10.91,10.68,10.75,42400,"CPLP","NASDAQ"
2019-09-11,10.75,10.82,10.56,10.71,62800,"CPLP","NASDAQ"
2019-09-12,10.73,10.74,10.6,10.66,105100,"CPLP","NASDAQ"
2019-09-13,10.63,10.86,10.63,10.76,44800,"CPLP","NASDAQ"
2019-09-16,10.76,10.91,10.65,10.72,55400,"CPLP","NASDAQ"
2019-09-17,10.76,10.76,10.55,10.73,47000,"CPLP","NASDAQ"
2019-09-18,10.7,10.75,10.61,10.71,33600,"CPLP","NASDAQ"
