"times","open","high","low","close","volume","symbol","market"
2019-05-30,70.52,71.89,70.02,71.55,1189700,"CPRT","NASDAQ"
2019-05-31,70.89,71.8049,70.73,71.48,1493700,"CPRT","NASDAQ"
2019-06-03,71.53,71.98,70.91,71.3,1452100,"CPRT","NASDAQ"
2019-06-04,71.84,72.57,71.45,72.37,1288700,"CPRT","NASDAQ"
2019-06-05,73.1,73.52,72.79,73.07,1276500,"CPRT","NASDAQ"
2019-06-06,73.42,73.81,72.98,73.74,916800,"CPRT","NASDAQ"
2019-06-07,74.15,75.22,74.04,74.65,1270100,"CPRT","NASDAQ"
2019-06-10,74.96,75.5,74.71,74.84,888100,"CPRT","NASDAQ"
2019-06-11,75.02,75.2403,73.3,73.69,1220800,"CPRT","NASDAQ"
2019-06-12,73.89,74.9194,73.48,74.79,1103500,"CPRT","NASDAQ"
2019-06-13,74.93,74.9892,74.24,74.77,1359600,"CPRT","NASDAQ"
2019-06-14,74.78,74.95,73.71,73.81,1394400,"CPRT","NASDAQ"
2019-06-17,74.06,74.45,73.17,73.22,1230500,"CPRT","NASDAQ"
2019-06-18,73.61,74.22,73.17,73.37,1494900,"CPRT","NASDAQ"
2019-06-19,73.34,74.11,72.7585,74.07,1266600,"CPRT","NASDAQ"
2019-06-20,74.87,75,74.135,74.75,1988700,"CPRT","NASDAQ"
2019-06-21,74.4062,75.23,73.16,73.94,3014000,"CPRT","NASDAQ"
2019-06-24,74.21,74.32,73.73,73.77,1436000,"CPRT","NASDAQ"
2019-06-25,73.86,74.09,73.2,73.38,1898900,"CPRT","NASDAQ"
2019-06-26,73.66,73.97,73.03,73.39,1132900,"CPRT","NASDAQ"
2019-06-27,73.39,73.8,73,73.36,692400,"CPRT","NASDAQ"
2019-06-28,73.26,75.09,72.875,74.74,2436900,"CPRT","NASDAQ"
2019-07-01,75.51,75.8993,74.59,74.97,1468400,"CPRT","NASDAQ"
2019-07-02,74.97,75.37,74.34,74.8,1378200,"CPRT","NASDAQ"
2019-07-03,75.0719,75.21,74.72,74.97,517400,"CPRT","NASDAQ"
2019-07-05,74.69,74.76,74.1155,74.6,657600,"CPRT","NASDAQ"
2019-07-08,74.47,74.47,73.57,74.14,1022400,"CPRT","NASDAQ"
2019-07-09,74,75.31,73.92,75.26,910700,"CPRT","NASDAQ"
2019-07-10,75.6,76.34,75.28,75.78,823200,"CPRT","NASDAQ"
2019-07-11,75.96,76.92,75.6,76.79,833900,"CPRT","NASDAQ"
2019-07-12,76.96,77.59,76.7,77.33,747800,"CPRT","NASDAQ"
2019-07-15,77.34,77.66,76.91,77.5,734700,"CPRT","NASDAQ"
2019-07-16,77.36,77.89,77.3,77.47,625700,"CPRT","NASDAQ"
2019-07-17,77.56,78.13,77,77.04,952200,"CPRT","NASDAQ"
2019-07-18,77.21,78.21,77.09,77.81,957200,"CPRT","NASDAQ"
2019-07-19,78.18,78.74,77.45,77.51,1106300,"CPRT","NASDAQ"
2019-07-22,77.52,78.72,77.5,78.24,772200,"CPRT","NASDAQ"
2019-07-23,78.74,79.57,78.41,79.23,931800,"CPRT","NASDAQ"
2019-07-24,78.86,79.51,78.55,79.37,911400,"CPRT","NASDAQ"
2019-07-25,79.25,79.58,78.85,79.14,1040600,"CPRT","NASDAQ"
2019-07-26,79.25,79.74,78.91,79.43,1109600,"CPRT","NASDAQ"
2019-07-29,79.51,79.66,77.77,78.3,1500200,"CPRT","NASDAQ"
2019-07-30,77.85,78.92,77.6596,77.82,1036200,"CPRT","NASDAQ"
2019-07-31,78,78.55,76.93,77.53,1664900,"CPRT","NASDAQ"
2019-08-01,77.28,78.48,76.45,76.74,1709400,"CPRT","NASDAQ"
2019-08-02,76.78,76.99,75.16,76.14,1457000,"CPRT","NASDAQ"
2019-08-05,75.18,75.2704,72.9,73.4,1604600,"CPRT","NASDAQ"
2019-08-06,73.87,74.95,73.49,74.6,1642300,"CPRT","NASDAQ"
2019-08-07,73.87,75.16,73.432,75.05,1228300,"CPRT","NASDAQ"
2019-08-08,75.19,75.96,73.765,75.64,1811600,"CPRT","NASDAQ"
2019-08-09,75.72,76.1078,75.45,75.62,1136400,"CPRT","NASDAQ"
2019-08-12,75.1336,75.64,74.62,75.29,1114900,"CPRT","NASDAQ"
2019-08-13,74.95,76.8189,74.39,76.29,1546200,"CPRT","NASDAQ"
2019-08-14,75.4,75.55,74.23,74.31,868500,"CPRT","NASDAQ"
2019-08-15,74.64,74.81,74.14,74.55,1123600,"CPRT","NASDAQ"
2019-08-16,75.2,75.88,74.8,75.5,865700,"CPRT","NASDAQ"
2019-08-19,76.39,76.61,75.84,76.18,997600,"CPRT","NASDAQ"
2019-08-20,76.1,76.21,75.19,75.79,701300,"CPRT","NASDAQ"
2019-08-21,76.28,77.47,76.18,76.87,742000,"CPRT","NASDAQ"
2019-08-22,76.77,77.05,75.96,76.24,871600,"CPRT","NASDAQ"
2019-08-23,75.98,76.14,73.44,73.68,1060400,"CPRT","NASDAQ"
2019-08-26,73.99,74.13,73.32,73.78,1301700,"CPRT","NASDAQ"
2019-08-27,74.47,74.89,74.12,74.63,1163700,"CPRT","NASDAQ"
2019-08-28,74.51,75.07,73.2,75.01,1157300,"CPRT","NASDAQ"
2019-08-29,75.55,76.21,75.55,75.74,883600,"CPRT","NASDAQ"
2019-08-30,76.36,76.49,75.08,75.39,1413100,"CPRT","NASDAQ"
2019-09-03,75.22,75.48,73.98,74.76,2271800,"CPRT","NASDAQ"
2019-09-04,75.13,76.24,75.12,75.66,1308700,"CPRT","NASDAQ"
2019-09-05,76.5,81.43,73.62,80.61,3691400,"CPRT","NASDAQ"
2019-09-06,80.7,82.32,80.45,81.38,2065900,"CPRT","NASDAQ"
2019-09-09,82.01,83.55,81.66,82.29,2350400,"CPRT","NASDAQ"
2019-09-10,82.03,82.03,80.24,80.96,1532300,"CPRT","NASDAQ"
2019-09-11,80.98,81.47,80.32,80.75,1530800,"CPRT","NASDAQ"
2019-09-12,81.56,81.98,80.38,80.88,1584400,"CPRT","NASDAQ"
2019-09-13,81.41,82.01,80.75,81.81,1722300,"CPRT","NASDAQ"
2019-09-16,81.58,82.23,81.45,82.18,1630500,"CPRT","NASDAQ"
2019-09-17,82.57,83.7,82.57,83.44,1243700,"CPRT","NASDAQ"
2019-09-18,83.44,83.65,81.81,82.57,956700,"CPRT","NASDAQ"
2019-09-19,82.76,83.15,81.99,82.23,1117200,"CPRT","NASDAQ"
2019-09-20,82.13,83.3,82,82.58,1619500,"CPRT","NASDAQ"
2019-09-23,82.58,83.28,81.51,81.8,1667600,"CPRT","NASDAQ"
2019-09-24,82.18,82.37,81.47,81.69,2026900,"CPRT","NASDAQ"
2019-09-25,81.61,82.02,80.49,81.04,1051000,"CPRT","NASDAQ"
2019-09-26,81.16,81.38,80.21,80.91,1028000,"CPRT","NASDAQ"
2019-09-27,80.97,81.07,79.3,79.71,932800,"CPRT","NASDAQ"
2019-09-30,79.71,80.47,79.58,80.33,1048000,"CPRT","NASDAQ"
2019-10-01,80.33,81.06,79.5,79.53,1945800,"CPRT","NASDAQ"
2019-10-02,79.34,79.34,76.84,77.43,1888200,"CPRT","NASDAQ"
2019-10-03,77.29,79.26,76.35,79.22,4081000,"CPRT","NASDAQ"
2019-10-04,79.77,80.75,79.47,79.99,1494500,"CPRT","NASDAQ"
2019-10-07,79.56,80.22,79.42,79.76,857300,"CPRT","NASDAQ"
2019-10-08,79.34,80.84,78.91,80.15,1216000,"CPRT","NASDAQ"
2019-10-09,80.65,80.77,78.07,80.48,1651000,"CPRT","NASDAQ"
2019-10-10,80.64,81.74,80.4,81.06,1033000,"CPRT","NASDAQ"
2019-10-11,81.85,82.81,81.35,81.37,1008300,"CPRT","NASDAQ"
2019-10-14,81.39,82.06,81.32,81.68,643500,"CPRT","NASDAQ"
2019-10-15,81.95,82.48,81.51,81.74,933800,"CPRT","NASDAQ"
2019-10-16,81.72,81.72,80.66,81.38,935900,"CPRT","NASDAQ"
2019-10-17,81.92,82.03,80.92,81.02,1065900,"CPRT","NASDAQ"
2019-10-18,81.44,82.43,80.99,82.32,2136521,"CPRT","NASDAQ"
