"times","open","high","low","close","volume","symbol","market"
2019-05-30,3.6,3.67,3.379,3.4,1101700,"CPRX","NASDAQ"
2019-05-31,3.37,3.535,3.34,3.5,963700,"CPRX","NASDAQ"
2019-06-03,3.48,3.5,3.35,3.38,962500,"CPRX","NASDAQ"
2019-06-04,3.42,3.49,3.36,3.47,880100,"CPRX","NASDAQ"
2019-06-05,3.46,3.6,3.44,3.49,1105200,"CPRX","NASDAQ"
2019-06-06,3.49,3.49,3.2,3.38,1720100,"CPRX","NASDAQ"
2019-06-07,3.4,3.63,3.36,3.43,2802900,"CPRX","NASDAQ"
2019-06-10,3.45,3.49,3.24,3.27,1702700,"CPRX","NASDAQ"
2019-06-11,3.28,3.6,3.21,3.57,2784900,"CPRX","NASDAQ"
2019-06-12,3.54,3.74,3.45,3.67,2498900,"CPRX","NASDAQ"
2019-06-13,3.7,3.945,3.68,3.85,2077000,"CPRX","NASDAQ"
2019-06-14,3.87,3.91,3.78,3.8,1279800,"CPRX","NASDAQ"
2019-06-17,3.78,3.9,3.7,3.8,1334000,"CPRX","NASDAQ"
2019-06-18,3.84,3.84,3.65,3.75,1208600,"CPRX","NASDAQ"
2019-06-19,3.65,3.815,3.645,3.75,1126400,"CPRX","NASDAQ"
2019-06-20,3.8,3.97,3.76,3.8,1518500,"CPRX","NASDAQ"
2019-06-21,3.77,3.778,3.48,3.58,3310300,"CPRX","NASDAQ"
2019-06-24,3.58,3.71,3.5,3.61,844700,"CPRX","NASDAQ"
2019-06-25,3.58,3.75,3.521,3.63,770300,"CPRX","NASDAQ"
2019-06-26,3.64,3.69,3.58,3.63,629600,"CPRX","NASDAQ"
2019-06-27,3.62,3.73,3.6,3.73,665300,"CPRX","NASDAQ"
2019-06-28,3.71,3.89,3.71,3.84,1117900,"CPRX","NASDAQ"
2019-07-01,3.88,3.97,3.77,3.96,1555100,"CPRX","NASDAQ"
2019-07-02,3.95,3.96,3.77,3.89,829000,"CPRX","NASDAQ"
2019-07-03,3.9,4.1,3.83,4.05,1220300,"CPRX","NASDAQ"
2019-07-05,4.07,4.1,3.8,3.92,1344800,"CPRX","NASDAQ"
2019-07-08,3.91,3.99,3.86,3.94,677500,"CPRX","NASDAQ"
2019-07-09,3.89,4.16,3.89,4.16,1144600,"CPRX","NASDAQ"
2019-07-10,4.17,4.26,4.07,4.14,1001700,"CPRX","NASDAQ"
2019-07-11,4.19,4.22,3.99,4.07,678700,"CPRX","NASDAQ"
2019-07-12,4.07,4.17,4.02,4.07,731700,"CPRX","NASDAQ"
2019-07-15,4.1,4.19,4.06,4.08,600900,"CPRX","NASDAQ"
2019-07-16,4.08,4.1199,4.05,4.1,476000,"CPRX","NASDAQ"
2019-07-17,4.05,4.29,4.01,4.22,1071400,"CPRX","NASDAQ"
2019-07-18,4.24,4.28,4.0798,4.14,1089200,"CPRX","NASDAQ"
2019-07-19,4.12,4.1901,4,4.05,827000,"CPRX","NASDAQ"
2019-07-22,4.06,4.45,4.01,4.39,1600200,"CPRX","NASDAQ"
2019-07-23,4.45,4.48,4.24,4.32,1084400,"CPRX","NASDAQ"
2019-07-24,4.33,4.72,4.29,4.66,1643600,"CPRX","NASDAQ"
