"times","open","high","low","close","volume","symbol","market"
2019-05-30,0.9,0.9,0.811,0.83,291400,"CPST","NASDAQ"
2019-05-31,0.83,0.87,0.83,0.841,93600,"CPST","NASDAQ"
2019-06-03,0.87,0.87,0.83,0.855,212900,"CPST","NASDAQ"
2019-06-04,0.859,0.86,0.845,0.845,103000,"CPST","NASDAQ"
2019-06-05,0.86,0.8599,0.81,0.81,183500,"CPST","NASDAQ"
2019-06-06,0.816,0.83,0.8101,0.81,161400,"CPST","NASDAQ"
2019-06-07,0.81,0.826,0.801,0.807,376900,"CPST","NASDAQ"
2019-06-10,0.83,0.838,0.815,0.815,236300,"CPST","NASDAQ"
2019-06-11,0.801,0.84,0.71,0.77,603600,"CPST","NASDAQ"
2019-06-12,0.8,0.81,0.75,0.773,306600,"CPST","NASDAQ"
2019-06-13,0.8,0.81,0.78,0.793,265800,"CPST","NASDAQ"
2019-06-14,0.792,0.8401,0.792,0.816,283800,"CPST","NASDAQ"
2019-06-17,0.84,0.849,0.82,0.845,181000,"CPST","NASDAQ"
2019-06-18,0.86,0.89,0.84,0.86,325600,"CPST","NASDAQ"
2019-06-19,0.876,0.891,0.86,0.868,184400,"CPST","NASDAQ"
2019-06-20,0.885,0.885,0.815,0.83,171200,"CPST","NASDAQ"
2019-06-21,0.845,0.86,0.815,0.831,256700,"CPST","NASDAQ"
2019-06-24,0.831,0.831,0.79,0.79,204400,"CPST","NASDAQ"
2019-06-25,0.79,0.81,0.782,0.787,204100,"CPST","NASDAQ"
2019-06-26,0.79,0.81,0.772,0.775,137400,"CPST","NASDAQ"
2019-06-27,0.79,0.796,0.76,0.76,199300,"CPST","NASDAQ"
2019-06-28,0.78,0.82,0.76,0.787,425100,"CPST","NASDAQ"
2019-07-01,0.8,0.829,0.78,0.805,171300,"CPST","NASDAQ"
2019-07-02,0.825,0.84,0.79,0.8,210500,"CPST","NASDAQ"
2019-07-03,0.8,0.85,0.791,0.791,115500,"CPST","NASDAQ"
2019-07-05,0.84,0.84,0.791,0.812,99500,"CPST","NASDAQ"
2019-07-08,0.83,0.83,0.78,0.79,197000,"CPST","NASDAQ"
2019-07-09,0.8,0.8,0.76,0.77,225200,"CPST","NASDAQ"
2019-07-10,0.78,0.8,0.76,0.77,259800,"CPST","NASDAQ"
2019-07-11,0.78,0.79,0.77,0.77,127800,"CPST","NASDAQ"
2019-07-12,0.79,0.79,0.77,0.77,257200,"CPST","NASDAQ"
2019-07-15,0.77,0.78,0.75,0.75,233500,"CPST","NASDAQ"
2019-07-16,0.74,0.76,0.71,0.72,325000,"CPST","NASDAQ"
2019-07-17,0.71,0.77,0.71,0.73,340800,"CPST","NASDAQ"
2019-07-18,0.73,0.76,0.73,0.74,241100,"CPST","NASDAQ"
2019-07-19,0.75,0.76,0.74,0.74,200400,"CPST","NASDAQ"
2019-07-22,0.74,0.76,0.74,0.76,74200,"CPST","NASDAQ"
2019-07-23,0.73,0.76,0.73,0.74,111900,"CPST","NASDAQ"
2019-07-24,0.75,0.76,0.72,0.74,183700,"CPST","NASDAQ"
