"times","open","high","low","close","volume","symbol","market"
2019-05-30,8.95,8.977,8.81,8.81,106000,"CPTA","NASDAQ"
2019-05-31,8.81,8.81,8.51,8.51,189600,"CPTA","NASDAQ"
2019-06-03,8.51,8.6,8.51,8.55,66600,"CPTA","NASDAQ"
2019-06-04,8.6,8.64,8.46,8.56,108100,"CPTA","NASDAQ"
2019-06-05,8.5405,8.85,8.54,8.66,82600,"CPTA","NASDAQ"
2019-06-06,8.66,8.94,8.66,8.91,103300,"CPTA","NASDAQ"
2019-06-07,8.9306,8.97,8.86,8.96,84500,"CPTA","NASDAQ"
2019-06-10,8.99,9.1,8.971,9.05,112100,"CPTA","NASDAQ"
2019-06-11,9.1,9.14,9.05,9.1,78400,"CPTA","NASDAQ"
2019-06-12,9.1,9.18,9.08,9.16,131400,"CPTA","NASDAQ"
2019-06-13,9.19,9.22,9.16,9.22,117300,"CPTA","NASDAQ"
2019-06-14,9.25,9.36,9.194,9.3,189100,"CPTA","NASDAQ"
2019-06-17,9.36,9.51,9.343,9.51,198000,"CPTA","NASDAQ"
2019-06-18,9.51,9.6901,9.5,9.67,295200,"CPTA","NASDAQ"
2019-06-19,9.65,9.665,9.42,9.42,199200,"CPTA","NASDAQ"
2019-06-20,9.41,9.4291,9.07,9.24,167000,"CPTA","NASDAQ"
2019-06-21,9.26,9.28,9.1104,9.17,91000,"CPTA","NASDAQ"
2019-06-24,9.2,9.26,9.1,9.19,78300,"CPTA","NASDAQ"
2019-06-25,9.18,9.26,9.15,9.21,68500,"CPTA","NASDAQ"
2019-06-26,9.26,9.37,9.19,9.32,61600,"CPTA","NASDAQ"
2019-06-27,9.3005,9.36,9.151,9.3,64500,"CPTA","NASDAQ"
2019-06-28,9.3205,9.48,9.27,9.45,109200,"CPTA","NASDAQ"
2019-07-01,9.5,9.63,9.46,9.49,136400,"CPTA","NASDAQ"
2019-07-02,9.59,9.66,9.49,9.6,157300,"CPTA","NASDAQ"
2019-07-03,9.59,9.5996,9.437,9.46,81200,"CPTA","NASDAQ"
2019-07-05,9.51,9.67,9.47,9.66,106500,"CPTA","NASDAQ"
2019-07-08,9.66,9.7,9.58,9.7,124200,"CPTA","NASDAQ"
2019-07-09,9.7,9.745,9.61,9.7,58200,"CPTA","NASDAQ"
2019-07-10,9.71,9.76,9.65,9.76,107100,"CPTA","NASDAQ"
2019-07-11,9.8,9.85,9.72,9.75,101600,"CPTA","NASDAQ"
2019-07-12,9.76,9.8801,9.76,9.88,75800,"CPTA","NASDAQ"
2019-07-15,9.91,9.95,9.83,9.93,120700,"CPTA","NASDAQ"
2019-07-16,9.98,9.99,9.93,9.94,130500,"CPTA","NASDAQ"
2019-07-17,9.91,9.939,9.84,9.87,123500,"CPTA","NASDAQ"
2019-07-18,9.87,9.9,9.76,9.82,64900,"CPTA","NASDAQ"
2019-07-19,9.86,9.873,9.816,9.83,106800,"CPTA","NASDAQ"
2019-07-22,9.8,9.81,9.71,9.73,99600,"CPTA","NASDAQ"
2019-07-23,9.71,9.76,9.48,9.73,115700,"CPTA","NASDAQ"
2019-07-24,9.68,9.86,9.64,9.83,76100,"CPTA","NASDAQ"
2019-07-25,9.82,9.85,9.57,9.6,98700,"CPTA","NASDAQ"
2019-07-26,9.63,9.65,9.22,9.5,199400,"CPTA","NASDAQ"
2019-07-29,9.52,9.58,9.46,9.54,147200,"CPTA","NASDAQ"
2019-07-30,9.57,9.57,9.41,9.53,122700,"CPTA","NASDAQ"
2019-07-31,9.49,9.67,9.49,9.58,66700,"CPTA","NASDAQ"
2019-08-01,9.6,9.6998,9.53,9.53,65700,"CPTA","NASDAQ"
2019-08-02,9.53,9.75,9.47,9.56,90700,"CPTA","NASDAQ"
2019-08-05,9.5,9.5,9.27,9.32,144600,"CPTA","NASDAQ"
2019-08-06,9.63,9.63,8.1,8.11,708100,"CPTA","NASDAQ"
2019-08-07,8.27,8.27,8.01,8.12,306400,"CPTA","NASDAQ"
2019-08-08,8.31,8.42,8.1399,8.28,190700,"CPTA","NASDAQ"
2019-08-09,8.27,8.45,8.14,8.14,129900,"CPTA","NASDAQ"
2019-08-12,8.11,8.16,7.99,8.01,189900,"CPTA","NASDAQ"
2019-08-13,8.01,8.23,8,8.06,207700,"CPTA","NASDAQ"
2019-08-14,8.068,8.15,8.03,8.05,131800,"CPTA","NASDAQ"
2019-08-15,8.09,8.23,8.05,8.05,142600,"CPTA","NASDAQ"
2019-08-16,8.1,8.259,8.08,8.2,115700,"CPTA","NASDAQ"
2019-08-19,8.24,8.47,8.24,8.4,201400,"CPTA","NASDAQ"
2019-08-20,8.4,8.47,8.3,8.3,260800,"CPTA","NASDAQ"
2019-08-21,8.21,8.226,7.85,8.02,334800,"CPTA","NASDAQ"
2019-08-22,8,8,7.56,7.56,299200,"CPTA","NASDAQ"
2019-08-23,7.52,7.75,7.502,7.58,204200,"CPTA","NASDAQ"
2019-08-26,7.61,7.83,7.6,7.64,164600,"CPTA","NASDAQ"
2019-08-27,7.67,7.742,7.63,7.63,124700,"CPTA","NASDAQ"
2019-08-28,7.6,7.63,7.38,7.45,239500,"CPTA","NASDAQ"
2019-08-29,7.45,7.54,7.34,7.41,106000,"CPTA","NASDAQ"
