"times","open","high","low","close","volume","symbol","market"
2019-05-30,25.25,25.25,25.25,25.25,1300,"CPTAG","NASDAQ"
2019-05-31,25.1203,25.24,24.88,24.88,17800,"CPTAG","NASDAQ"
2019-06-03,24.9,25.19,24.9,25.19,1200,"CPTAG","NASDAQ"
2019-06-04,24.84,25.036,24.84,24.95,2800,"CPTAG","NASDAQ"
2019-06-05,25.05,25.0507,24.978,24.978,1300,"CPTAG","NASDAQ"
2019-06-06,25.05,25.05,25.03,25.03,800,"CPTAG","NASDAQ"
2019-06-07,25.003,25.14,24.94,24.99,2500,"CPTAG","NASDAQ"
2019-06-10,25.1,25.1185,25,25,500,"CPTAG","NASDAQ"
2019-06-11,25.08,25.08,24.92,24.92,700,"CPTAG","NASDAQ"
2019-06-12,25.07,25.07,24.92,24.92,1300,"CPTAG","NASDAQ"
2019-06-13,24.92,24.92,24.92,24.92,100,"CPTAG","NASDAQ"
2019-06-14,24.97,25.07,24.97,25.07,1800,"CPTAG","NASDAQ"
2019-06-17,24.98,25.08,24.98,25.08,600,"CPTAG","NASDAQ"
2019-06-18,25.0793,25.08,25.08,25.08,3200,"CPTAG","NASDAQ"
2019-06-19,25.02,25.13,24.92,25.13,4300,"CPTAG","NASDAQ"
2019-06-20,25,25.169,25,25.12,3200,"CPTAG","NASDAQ"
2019-06-21,24.98,25.29,24.98,25.29,1900,"CPTAG","NASDAQ"
2019-06-24,25.1,25.2904,25,25.15,3100,"CPTAG","NASDAQ"
2019-06-25,25.1,25.1888,25.1,25.19,1200,"CPTAG","NASDAQ"
2019-06-26,25.19,25.19,25.19,25.19,0,"CPTAG","NASDAQ"
2019-06-27,25.19,25.19,25.19,25.19,0,"CPTAG","NASDAQ"
2019-06-28,0,25.279,0,25.27,18300,"CPTAG","NASDAQ"
2019-07-01,25.27,25.27,25.27,25.27,0,"CPTAG","NASDAQ"
2019-07-02,25.27,25.27,25.27,25.27,300,"CPTAG","NASDAQ"
2019-07-03,25.27,25.2691,25.27,25.27,0,"CPTAG","NASDAQ"
2019-07-05,25.1,25.3,25.1,25.3,700,"CPTAG","NASDAQ"
2019-07-08,25.2995,25.3,25.1,25.193,500,"CPTAG","NASDAQ"
2019-07-09,25.3,25.58,25.3,25.58,700,"CPTAG","NASDAQ"
2019-07-10,25.15,25.25,25.1,25.24,3300,"CPTAG","NASDAQ"
2019-07-11,0,25.3,0,25.3,1600,"CPTAG","NASDAQ"
2019-07-12,25.2998,25.3,25.3,25.3,0,"CPTAG","NASDAQ"
2019-07-15,25.3,25.2995,25.3,25.3,0,"CPTAG","NASDAQ"
2019-07-16,25.2388,25.35,25.238,25.35,1200,"CPTAG","NASDAQ"
2019-07-17,25.12,25.12,25.12,25.12,300,"CPTAG","NASDAQ"
2019-07-18,25.27,25.33,25.27,25.33,2600,"CPTAG","NASDAQ"
2019-07-19,25.29,25.297,25.29,25.297,500,"CPTAG","NASDAQ"
2019-07-22,25.35,25.35,25.35,25.35,1500,"CPTAG","NASDAQ"
2019-07-23,25.35,25.35,25.35,25.35,200,"CPTAG","NASDAQ"
2019-07-24,25.34,25.4,25.34,25.4,1200,"CPTAG","NASDAQ"
2019-07-25,25.2,25.45,25.2,25.45,1100,"CPTAG","NASDAQ"
2019-07-26,25.45,25.45,25.331,25.331,2700,"CPTAG","NASDAQ"
2019-07-29,25.33,25.33,25.14,25.255,700,"CPTAG","NASDAQ"
2019-07-30,25.3,25.3018,25.26,25.29,1400,"CPTAG","NASDAQ"
2019-07-31,25.3431,25.345,25.2,25.2,2500,"CPTAG","NASDAQ"
2019-08-01,25.3883,25.39,25.39,25.39,300,"CPTAG","NASDAQ"
2019-08-02,25.62,25.62,25.25,25.25,600,"CPTAG","NASDAQ"
2019-08-05,25.4,25.4,25.4,25.4,100,"CPTAG","NASDAQ"
2019-08-06,25.5,25.5,25.3,25.3,600,"CPTAG","NASDAQ"
2019-08-07,25.26,25.26,25.26,25.26,600,"CPTAG","NASDAQ"
2019-08-08,25.25,25.25,25.06,25.06,2900,"CPTAG","NASDAQ"
2019-08-09,25.1,25.226,25.1,25.145,800,"CPTAG","NASDAQ"
2019-08-12,25.25,25.2485,25.25,25.25,400,"CPTAG","NASDAQ"
2019-08-13,25.24,25.3,25.24,25.3,1600,"CPTAG","NASDAQ"
2019-08-14,0,25.15,0,25.14,9300,"CPTAG","NASDAQ"
2019-08-15,25.07,25.12,25.07,25.12,2400,"CPTAG","NASDAQ"
2019-08-16,24.96,25.1,24.9,24.95,6200,"CPTAG","NASDAQ"
2019-08-19,24.9,25,24.9,25,1100,"CPTAG","NASDAQ"
2019-08-20,25,25,24.95,24.95,2800,"CPTAG","NASDAQ"
2019-08-21,25,25.05,25,25.05,600,"CPTAG","NASDAQ"
2019-08-22,25,25,25,25,2000,"CPTAG","NASDAQ"
2019-08-23,24.9,24.95,24.81,24.85,5300,"CPTAG","NASDAQ"
2019-08-26,24.77,24.85,24.77,24.85,700,"CPTAG","NASDAQ"
2019-08-27,24.95,25.05,24.89,24.99,2800,"CPTAG","NASDAQ"
2019-08-28,24.99,24.99,24.53,24.53,7400,"CPTAG","NASDAQ"
2019-08-29,24.75,24.75,24.72,24.72,3000,"CPTAG","NASDAQ"
2019-08-30,24.99,24.99,24.84,24.84,19100,"CPTAG","NASDAQ"
2019-09-03,24.8,24.8,24.451,24.8,3400,"CPTAG","NASDAQ"
2019-09-04,24.94,24.94,24.72,24.94,2000,"CPTAG","NASDAQ"
2019-09-05,24.6,24.92,24.6,24.9,3700,"CPTAG","NASDAQ"
2019-09-06,24.89,25.03,24.751,24.751,3000,"CPTAG","NASDAQ"
2019-09-09,24.75,24.75,24.62,24.699,4900,"CPTAG","NASDAQ"
2019-09-10,24.68,24.84,24.52,24.84,8800,"CPTAG","NASDAQ"
2019-09-11,24.6,24.6,24.6,24.6,2700,"CPTAG","NASDAQ"
2019-09-12,24.6,24.7,24.576,24.7,3100,"CPTAG","NASDAQ"
2019-09-13,24.48,24.75,24.4,24.6,2800,"CPTAG","NASDAQ"
2019-09-16,24.45,24.628,24.45,24.559,3400,"CPTAG","NASDAQ"
2019-09-17,24.75,24.75,24.6,24.6,2100,"CPTAG","NASDAQ"
2019-09-18,24.6,24.7,24.5,24.7,12200,"CPTAG","NASDAQ"
2019-09-19,24.6,24.68,24.55,24.64,5300,"CPTAG","NASDAQ"
2019-09-20,24.68,24.68,24.6,24.68,1900,"CPTAG","NASDAQ"
2019-09-23,24.65,24.651,24.4,24.635,12000,"CPTAG","NASDAQ"
2019-09-24,24.531,24.617,24.4,24.45,13200,"CPTAG","NASDAQ"
2019-09-25,24.4,24.55,24.4,24.45,4800,"CPTAG","NASDAQ"
2019-09-26,24.4,24.54,24.28,24.52,2400,"CPTAG","NASDAQ"
2019-09-27,24.58,24.58,24.48,24.58,1100,"CPTAG","NASDAQ"
2019-09-30,24.69,24.69,24.41,24.41,1000,"CPTAG","NASDAQ"
2019-10-01,24.45,24.58,24.37,24.58,3800,"CPTAG","NASDAQ"
2019-10-02,24.58,24.58,24.03,24.467,7700,"CPTAG","NASDAQ"
2019-10-03,24.18,24.39,24.18,24.36,4800,"CPTAG","NASDAQ"
2019-10-04,24.2,24.46,24.2,24.44,5600,"CPTAG","NASDAQ"
2019-10-07,24.22,24.6,24.22,24.6,6400,"CPTAG","NASDAQ"
2019-10-08,24.58,24.6,24.32,24.4,6400,"CPTAG","NASDAQ"
2019-10-09,24.41,24.48,24.25,24.408,15300,"CPTAG","NASDAQ"
