"times","open","high","low","close","volume","symbol","market"
2019-05-30,25.348,25.479,25.2392,25.24,1500,"CPTAL","NASDAQ"
2019-05-31,25.55,25.55,25.25,25.25,2400,"CPTAL","NASDAQ"
2019-06-03,25.34,25.35,25.235,25.35,1000,"CPTAL","NASDAQ"
2019-06-04,25.22,25.22,25.22,25.22,700,"CPTAL","NASDAQ"
2019-06-05,25.39,25.39,25.3,25.3,1100,"CPTAL","NASDAQ"
2019-06-06,25.22,25.25,25.22,25.25,400,"CPTAL","NASDAQ"
2019-06-07,25.25,25.6,25.25,25.27,900,"CPTAL","NASDAQ"
2019-06-10,25.24,25.3,25.22,25.28,4900,"CPTAL","NASDAQ"
2019-06-11,25.24,25.2413,25.24,25.24,1300,"CPTAL","NASDAQ"
2019-06-12,25.24,25.24,25.22,25.22,2100,"CPTAL","NASDAQ"
2019-06-13,25.23,25.325,25.23,25.325,1200,"CPTAL","NASDAQ"
2019-06-14,25.27,25.333,25.27,25.333,1300,"CPTAL","NASDAQ"
2019-06-17,25.2,25.363,25.2,25.363,1700,"CPTAL","NASDAQ"
2019-06-18,25.288,25.288,25.288,25.288,300,"CPTAL","NASDAQ"
2019-06-19,25.3066,25.314,25.307,25.314,600,"CPTAL","NASDAQ"
2019-06-20,25.38,25.38,25.375,25.375,1100,"CPTAL","NASDAQ"
2019-06-21,25.43,25.43,25.28,25.37,2500,"CPTAL","NASDAQ"
2019-06-24,25.409,25.409,25.26,25.26,700,"CPTAL","NASDAQ"
2019-06-25,25.352,25.352,25.352,25.352,900,"CPTAL","NASDAQ"
2019-06-26,25.48,25.49,25.25,25.44,3000,"CPTAL","NASDAQ"
2019-06-27,25.255,25.392,25.1,25.13,10100,"CPTAL","NASDAQ"
2019-06-28,25.14,25.29,25.14,25.25,1500,"CPTAL","NASDAQ"
2019-07-01,24.89,25.49,24.8898,25.36,700,"CPTAL","NASDAQ"
2019-07-02,25.49,25.49,25.49,25.49,100,"CPTAL","NASDAQ"
2019-07-03,25.49,25.4912,25.49,25.49,0,"CPTAL","NASDAQ"
2019-07-05,25.49,25.49,25.49,25.49,0,"CPTAL","NASDAQ"
2019-07-08,25.25,25.35,25.25,25.35,1000,"CPTAL","NASDAQ"
2019-07-09,25.344,25.49,25.288,25.49,2400,"CPTAL","NASDAQ"
2019-07-10,25.49,25.49,25.49,25.49,0,"CPTAL","NASDAQ"
2019-07-11,25.3,25.448,25.26,25.398,11900,"CPTAL","NASDAQ"
2019-07-12,25.373,25.377,25.2585,25.26,2300,"CPTAL","NASDAQ"
2019-07-15,25.32,25.39,25.29,25.357,3900,"CPTAL","NASDAQ"
2019-07-16,25.36,25.39,25.34,25.34,600,"CPTAL","NASDAQ"
2019-07-17,25.34,25.34,25.34,25.34,100,"CPTAL","NASDAQ"
2019-07-18,25.338,25.4,25.338,25.4,1400,"CPTAL","NASDAQ"
2019-07-19,25.44,25.599,25.44,25.599,1000,"CPTAL","NASDAQ"
2019-07-22,25.4,25.52,25.4,25.52,400,"CPTAL","NASDAQ"
2019-07-23,25.525,25.6,25.39,25.4,10500,"CPTAL","NASDAQ"
2019-07-24,25.401,25.59,25.401,25.59,900,"CPTAL","NASDAQ"
2019-07-25,25.41,25.55,25.41,25.55,1200,"CPTAL","NASDAQ"
2019-07-26,25.589,25.59,25.56,25.588,1000,"CPTAL","NASDAQ"
2019-07-29,25.42,25.55,25.38,25.501,4900,"CPTAL","NASDAQ"
