"times","open","high","low","close","volume","symbol","market"
2019-05-30,37.38,38.14,36.53,36.83,45200,"CRAI","NASDAQ"
2019-05-31,36.79,37.68,36.33,37.44,79700,"CRAI","NASDAQ"
2019-06-03,37.45,37.88,36.3985,36.88,60600,"CRAI","NASDAQ"
2019-06-04,37,37.91,36.87,37.91,46000,"CRAI","NASDAQ"
2019-06-05,37.95,37.95,37.18,37.3,29900,"CRAI","NASDAQ"
2019-06-06,37.36,37.62,36.51,36.74,23800,"CRAI","NASDAQ"
2019-06-07,36.6,36.86,36.5,36.63,30100,"CRAI","NASDAQ"
2019-06-10,36.78,37.29,36.75,36.99,38100,"CRAI","NASDAQ"
2019-06-11,37.13,37.8686,36.75,37.61,80700,"CRAI","NASDAQ"
2019-06-12,37.54,37.9202,37.1,37.24,41500,"CRAI","NASDAQ"
2019-06-13,37.48,37.91,37,37.76,26900,"CRAI","NASDAQ"
2019-06-14,37.79,37.79,37.2995,37.47,24200,"CRAI","NASDAQ"
2019-06-17,37.4,37.85,36.65,36.79,23100,"CRAI","NASDAQ"
2019-06-18,36.86,37.64,36.0316,36.28,33600,"CRAI","NASDAQ"
2019-06-19,36.36,37.18,35.96,36.76,37100,"CRAI","NASDAQ"
2019-06-20,36.84,36.84,36.27,36.57,41000,"CRAI","NASDAQ"
2019-06-21,36.3506,36.6,34.81,34.96,76300,"CRAI","NASDAQ"
2019-06-24,34.95,35.42,34.56,34.72,70800,"CRAI","NASDAQ"
2019-06-25,34.69,35.2395,34.245,34.85,80700,"CRAI","NASDAQ"
2019-06-26,35.01,36.01,34.68,35.66,45500,"CRAI","NASDAQ"
2019-06-27,35.71,37.1,35.54,36.88,89700,"CRAI","NASDAQ"
2019-06-28,36.76,38.57,36.76,38.33,118500,"CRAI","NASDAQ"
2019-07-01,38.75,39.02,38.01,38.76,80200,"CRAI","NASDAQ"
2019-07-02,39,39.099,37.12,37.45,46400,"CRAI","NASDAQ"
2019-07-03,37.395,38.09,37.22,38.01,48700,"CRAI","NASDAQ"
2019-07-05,37.94,38.73,37.35,38.63,33000,"CRAI","NASDAQ"
2019-07-08,38.38,38.54,38,38.38,40500,"CRAI","NASDAQ"
2019-07-09,38.1224,38.4,37.7,38.11,43900,"CRAI","NASDAQ"
2019-07-10,38.19,38.7,37.54,38.21,60800,"CRAI","NASDAQ"
2019-07-11,38.26,38.5,37.62,38.1,65100,"CRAI","NASDAQ"
2019-07-12,38.34,39.54,38.34,39.24,60000,"CRAI","NASDAQ"
2019-07-15,39.26,39.36,38.55,38.88,60200,"CRAI","NASDAQ"
2019-07-16,38.93,39.5393,38.31,39.09,55500,"CRAI","NASDAQ"
2019-07-17,38.94,39.76,38.3988,39.19,53000,"CRAI","NASDAQ"
2019-07-18,39.28,39.59,38.26,38.57,35200,"CRAI","NASDAQ"
2019-07-19,38.4,39.82,38.05,38.22,53300,"CRAI","NASDAQ"
2019-07-22,38.24,38.31,37.3,37.67,62500,"CRAI","NASDAQ"
2019-07-23,37.96,38.69,37.44,38.61,65900,"CRAI","NASDAQ"
2019-07-24,39.23,41.4,38.76,41.19,81200,"CRAI","NASDAQ"
2019-07-25,41.47,43.06,41.47,42.65,74000,"CRAI","NASDAQ"
2019-07-26,42.82,43.64,42.47,43.06,76700,"CRAI","NASDAQ"
2019-07-29,43,43,41.65,42.29,67600,"CRAI","NASDAQ"
2019-07-30,41.89,43.34,41.42,42.88,81300,"CRAI","NASDAQ"
2019-07-31,42.64,44.45,42.64,43.42,98500,"CRAI","NASDAQ"
2019-08-01,43.3525,43.35,39.94,41.05,95300,"CRAI","NASDAQ"
2019-08-02,41.1521,41.69,39.03,40.71,79400,"CRAI","NASDAQ"
2019-08-05,40.21,42.6,39.85,41.64,93600,"CRAI","NASDAQ"
2019-08-06,42.01,42.45,40.88,41.61,103600,"CRAI","NASDAQ"
2019-08-07,41.36,41.79,39.85,41.09,81800,"CRAI","NASDAQ"
2019-08-08,41.3,42.03,40.58,41.66,59200,"CRAI","NASDAQ"
2019-08-09,41.82,42.11,40.76,41.36,48100,"CRAI","NASDAQ"
2019-08-12,41.17,42.72,40.86,42.13,63400,"CRAI","NASDAQ"
2019-08-13,42.11,43.19,42.11,42.37,66000,"CRAI","NASDAQ"
2019-08-14,41.86,42.03,40.794,41.34,43800,"CRAI","NASDAQ"
2019-08-15,41.12,41.54,40.6,41.22,91700,"CRAI","NASDAQ"
2019-08-16,41.23,42.14,41.22,41.62,79200,"CRAI","NASDAQ"
2019-08-19,42.03,42.45,41.61,41.99,48300,"CRAI","NASDAQ"
2019-08-20,42.06,42.54,41.14,41.71,69900,"CRAI","NASDAQ"
2019-08-21,42.14,42.3,41.25,41.61,56300,"CRAI","NASDAQ"
2019-08-22,41.84,42.19,41.35,41.55,46300,"CRAI","NASDAQ"
2019-08-23,41.31,41.46,39.83,40.09,98500,"CRAI","NASDAQ"
2019-08-26,40.31,41.06,39.95,41.06,71900,"CRAI","NASDAQ"
2019-08-27,41.16,41.16,38.67,39.42,53700,"CRAI","NASDAQ"
2019-08-28,39.54,40,39.1,39.29,42800,"CRAI","NASDAQ"
2019-08-29,39.73,39.94,38.51,38.56,43500,"CRAI","NASDAQ"
2019-08-30,38.76,39.31,38.08,38.89,54900,"CRAI","NASDAQ"
2019-09-03,38.56,39.12,38.29,38.65,74100,"CRAI","NASDAQ"
2019-09-04,39.07,39.12,38.46,39,35900,"CRAI","NASDAQ"
2019-09-05,39.4,40.52,39.05,39.76,53900,"CRAI","NASDAQ"
2019-09-06,39.93,40.17,39.16,39.54,28500,"CRAI","NASDAQ"
2019-09-09,39.64,40,39.18,39.34,40400,"CRAI","NASDAQ"
2019-09-10,39.28,40.32,38.96,40,44100,"CRAI","NASDAQ"
2019-09-11,40.06,40.86,39.81,40.59,36200,"CRAI","NASDAQ"
2019-09-12,40.3,41.46,40.13,41.25,59400,"CRAI","NASDAQ"
2019-09-13,41.41,42.8,41.41,42.14,61700,"CRAI","NASDAQ"
2019-09-16,42.01,42.36,41.59,41.92,29000,"CRAI","NASDAQ"
