"times","open","high","low","close","volume","symbol","market"
2019-05-30,57.06,58,56.145,56.56,944000,"CREE","NASDAQ"
2019-05-31,55.56,56.17,54.475,55.14,1566000,"CREE","NASDAQ"
2019-06-03,54.01,55.99,53.36,53.94,1702500,"CREE","NASDAQ"
2019-06-04,54.73,56.55,54.73,56.27,1606400,"CREE","NASDAQ"
2019-06-05,56.91,57.385,55.33,56.24,1178100,"CREE","NASDAQ"
2019-06-06,56.35,56.8004,55.13,56.13,1048500,"CREE","NASDAQ"
2019-06-07,56.55,57.34,56.19,57.13,1034000,"CREE","NASDAQ"
2019-06-10,57.58,60.16,57.58,59.39,1447900,"CREE","NASDAQ"
2019-06-11,58.25,60.93,57.88,58.54,2435400,"CREE","NASDAQ"
2019-06-12,57.52,58.33,56.76,56.82,1516100,"CREE","NASDAQ"
2019-06-13,57.44,58.12,56.879,57.95,1063700,"CREE","NASDAQ"
2019-06-14,56.93,56.93,54.5,54.58,1808900,"CREE","NASDAQ"
2019-06-17,55.6,56.5,54.58,54.64,1183000,"CREE","NASDAQ"
2019-06-18,54.89,58.8,54.8885,58.49,1691700,"CREE","NASDAQ"
2019-06-19,58.97,59.04,57.31,57.83,932800,"CREE","NASDAQ"
2019-06-20,58.96,59.13,57.06,57.85,971600,"CREE","NASDAQ"
2019-06-21,57.4988,58.16,56.87,57.15,1428800,"CREE","NASDAQ"
2019-06-24,57.1,57.99,56.88,57.26,677300,"CREE","NASDAQ"
2019-06-25,57.06,57.79,54.88,55.15,1574800,"CREE","NASDAQ"
2019-06-26,56.01,57.39,55.5795,57.27,1706600,"CREE","NASDAQ"
2019-06-27,57.71,59.5619,57.48,58.69,1254700,"CREE","NASDAQ"
2019-06-28,59.29,59.29,55.89,56.18,13802700,"CREE","NASDAQ"
2019-07-01,59.89,60.5727,58.55,59.34,2237400,"CREE","NASDAQ"
2019-07-02,58.8,59.2805,58.04,58.3,1680700,"CREE","NASDAQ"
2019-07-03,58.44,59.22,57.96,58.99,1688200,"CREE","NASDAQ"
2019-07-05,58.32,59.68,57.7019,59.58,930500,"CREE","NASDAQ"
2019-07-08,59.05,59.69,58.79,59.27,1253000,"CREE","NASDAQ"
2019-07-09,58.8423,60.25,58.7,59.97,879700,"CREE","NASDAQ"
2019-07-10,60.8,61.43,59.17,59.73,1074500,"CREE","NASDAQ"
2019-07-11,60,60.0062,58.03,58.45,776700,"CREE","NASDAQ"
2019-07-12,58.92,60.07,58.65,59.76,1087900,"CREE","NASDAQ"
2019-07-15,59.89,60.3207,59.24,59.77,661600,"CREE","NASDAQ"
2019-07-16,59.76,59.8,58.8,59.21,715000,"CREE","NASDAQ"
2019-07-17,59.57,59.57,58.11,58.24,939400,"CREE","NASDAQ"
2019-07-18,58.25,59.7385,58.19,59.34,785400,"CREE","NASDAQ"
2019-07-19,59.62,59.86,58.12,58.14,775100,"CREE","NASDAQ"
2019-07-22,58.5597,59.91,58.41,59.65,1291300,"CREE","NASDAQ"
2019-07-23,60.04,61.47,60.04,61.39,795600,"CREE","NASDAQ"
2019-07-24,61.68,62.63,61.45,62.25,948700,"CREE","NASDAQ"
2019-07-25,62.04,62.45,61.57,62,838600,"CREE","NASDAQ"
2019-07-26,62.49,63.27,62.11,63.02,693600,"CREE","NASDAQ"
2019-07-29,63.24,63.34,61.86,62.37,489300,"CREE","NASDAQ"
2019-07-30,61.55,62.7,60.91,62.68,653100,"CREE","NASDAQ"
2019-07-31,62.58,62.95,61.37,62.18,1218800,"CREE","NASDAQ"
2019-08-01,62.35,64.95,60.72,61.52,1483800,"CREE","NASDAQ"
2019-08-02,60.95,60.95,58.45,60.05,898100,"CREE","NASDAQ"
2019-08-05,58.02,58.16,56.06,56.48,1525700,"CREE","NASDAQ"
2019-08-06,57.46,59.23,57.18,58.75,1334100,"CREE","NASDAQ"
2019-08-07,57.55,59.14,57.49,58.81,843700,"CREE","NASDAQ"
2019-08-08,59.67,61.75,59.4008,61.72,1453400,"CREE","NASDAQ"
2019-08-09,61.12,61.462,57.69,58.12,1470200,"CREE","NASDAQ"
2019-08-12,57.44,58.28,57.07,57.42,757800,"CREE","NASDAQ"
2019-08-13,57.11,59.89,56.69,58.4,1235500,"CREE","NASDAQ"
2019-08-14,56.64,57.82,56.31,57.14,1025700,"CREE","NASDAQ"
2019-08-15,57.24,57.93,56.86,57.19,635700,"CREE","NASDAQ"
2019-08-16,57.65,59,57.34,58.8,744200,"CREE","NASDAQ"
2019-08-19,60.17,60.66,58.19,58.28,736700,"CREE","NASDAQ"
2019-08-20,58.25,59.13,57.14,58.24,1948200,"CREE","NASDAQ"
2019-08-21,56.22,56.55,48.24,49.01,12195600,"CREE","NASDAQ"
2019-08-22,48.56,50.47,47.41,47.8,3142400,"CREE","NASDAQ"
2019-08-23,46.91,47.9,45.57,47.1,4408300,"CREE","NASDAQ"
2019-08-26,46.05,47.31,43.07,43.18,5366600,"CREE","NASDAQ"
2019-08-27,43.98,44.9,43.17,43.89,3357200,"CREE","NASDAQ"
2019-08-28,43.79,44.52,43.21,43.9,1201800,"CREE","NASDAQ"
2019-08-29,44.39,45.06,44.17,44.29,1224700,"CREE","NASDAQ"
2019-08-30,44.64,44.79,42.88,42.93,1337300,"CREE","NASDAQ"
2019-09-03,42.7,42.94,41.31,41.78,1911300,"CREE","NASDAQ"
2019-09-04,42.36,43.12,42.09,42.66,1790800,"CREE","NASDAQ"
2019-09-05,43.42,44.85,43.42,43.62,1281600,"CREE","NASDAQ"
2019-09-06,43.91,45.92,43.7,45.82,2973700,"CREE","NASDAQ"
2019-09-09,46.2,47.46,46.13,47.02,2296900,"CREE","NASDAQ"
2019-09-10,46.82,47.93,46.36,47.53,2179000,"CREE","NASDAQ"
2019-09-11,47.74,48.89,46.92,48.82,1620200,"CREE","NASDAQ"
2019-09-12,49.36,51.41,49.21,50.77,2765100,"CREE","NASDAQ"
2019-09-13,51,52.18,50.9,51.91,1691300,"CREE","NASDAQ"
2019-09-16,51.1,52.79,50.71,52.15,1659000,"CREE","NASDAQ"
2019-09-17,52.1,52.35,51.36,51.45,1986500,"CREE","NASDAQ"
2019-09-18,51.59,51.59,50.52,51.24,1031600,"CREE","NASDAQ"
2019-09-19,51.45,51.73,50.74,50.84,1038900,"CREE","NASDAQ"
2019-09-20,51.05,51.05,49.42,49.76,1687500,"CREE","NASDAQ"
2019-09-23,50.04,51.93,49.7,51.6,1235100,"CREE","NASDAQ"
2019-09-24,51.54,52.08,49.79,50.08,934600,"CREE","NASDAQ"
2019-09-25,49.91,50.72,48.87,50.27,1292400,"CREE","NASDAQ"
2019-09-26,50.45,50.5,49.01,49.04,1144400,"CREE","NASDAQ"
2019-09-27,48.79,49.27,47.8,48.18,1200400,"CREE","NASDAQ"
2019-09-30,48.64,49.11,48.07,49,849400,"CREE","NASDAQ"
2019-10-01,50.75,52.09,48.99,49.22,1954200,"CREE","NASDAQ"
2019-10-02,47.48,48.36,47.25,47.47,1450700,"CREE","NASDAQ"
