"times","open","high","low","close","volume","symbol","market"
2019-05-30,86.41,87.2,84.35,86.78,83200,"CRMT","NASDAQ"
2019-05-31,85.9892,86.79,85,86.1,104200,"CRMT","NASDAQ"
2019-06-03,86.0934,87.92,84.641,87.61,125800,"CRMT","NASDAQ"
2019-06-04,88.3,90.57,88.18,89.76,179600,"CRMT","NASDAQ"
2019-06-05,90.11,90.945,88.15,88.52,98000,"CRMT","NASDAQ"
2019-06-06,88.38,88.38,85,85.83,130300,"CRMT","NASDAQ"
2019-06-07,85.9,87.2,85.175,86.39,63700,"CRMT","NASDAQ"
2019-06-10,86.87,87.9,86.18,86.62,59700,"CRMT","NASDAQ"
2019-06-11,86.82,87.79,84.57,85.95,82100,"CRMT","NASDAQ"
2019-06-12,85.81,88.21,85.16,87.67,74900,"CRMT","NASDAQ"
2019-06-13,87.85,89.01,86.8292,88.81,106900,"CRMT","NASDAQ"
2019-06-14,88.9,89.4737,88,88.07,52900,"CRMT","NASDAQ"
2019-06-17,88.09,88.49,85.8,86.67,95900,"CRMT","NASDAQ"
2019-06-18,86.75,87.93,84.32,84.9,147500,"CRMT","NASDAQ"
2019-06-19,84.9,85.87,83.1,85.29,111700,"CRMT","NASDAQ"
2019-06-20,86.0927,86.66,84.8,85.32,89500,"CRMT","NASDAQ"
2019-06-21,84.83,87.34,84.205,85.5,129700,"CRMT","NASDAQ"
2019-06-24,85.92,86.96,85,85.9,84200,"CRMT","NASDAQ"
2019-06-25,86.23,87.83,86.035,86.53,99800,"CRMT","NASDAQ"
2019-06-26,86.59,90.035,86.59,88.28,156300,"CRMT","NASDAQ"
2019-06-27,88.72,89.63,84.9,87.72,110400,"CRMT","NASDAQ"
2019-06-28,87.61,88.48,85.61,86.08,291100,"CRMT","NASDAQ"
2019-07-01,86.11,86.894,85.13,85.84,144600,"CRMT","NASDAQ"
2019-07-02,86,86.97,84.99,86.77,63800,"CRMT","NASDAQ"
2019-07-03,86.7122,87.8,85,85.59,62300,"CRMT","NASDAQ"
2019-07-05,85.22,85.65,84.585,85.15,75900,"CRMT","NASDAQ"
2019-07-08,84.93,86.6564,84.7,85.91,66300,"CRMT","NASDAQ"
2019-07-09,85.52,86.3,83.55,84.86,80700,"CRMT","NASDAQ"
2019-07-10,85.44,86.85,84.35,84.51,76200,"CRMT","NASDAQ"
2019-07-11,84.84,85.77,83.97,84.61,87800,"CRMT","NASDAQ"
2019-07-12,84.92,87.41,84.81,86.21,78300,"CRMT","NASDAQ"
2019-07-15,86.59,87.5,84.93,85.38,93300,"CRMT","NASDAQ"
2019-07-16,85.6,86.83,85.22,86.05,55000,"CRMT","NASDAQ"
2019-07-17,85.88,87.15,84.94,84.99,111000,"CRMT","NASDAQ"
2019-07-18,85.48,87.1,84.59,86.84,111600,"CRMT","NASDAQ"
2019-07-19,86.55,88,85.2,85.8,114900,"CRMT","NASDAQ"
2019-07-22,85.86,86.97,85.41,86.02,71000,"CRMT","NASDAQ"
2019-07-23,86.4,87.18,83.92,84.14,130600,"CRMT","NASDAQ"
2019-07-24,83.76,88.65,83.53,88.13,111700,"CRMT","NASDAQ"
2019-07-25,88.11,90.51,87.33,87.58,77500,"CRMT","NASDAQ"
2019-07-26,87.91,88.94,87.91,88.66,49700,"CRMT","NASDAQ"
2019-07-29,88.56,91.82,88.55,89.99,99600,"CRMT","NASDAQ"
2019-07-30,89.54,90.83,88.33,89.94,74300,"CRMT","NASDAQ"
2019-07-31,89.86,92.28,89.63,90.16,70600,"CRMT","NASDAQ"
2019-08-01,89.78,91.05,87.99,88.97,92300,"CRMT","NASDAQ"
2019-08-02,88.33,89.02,86.5417,87.35,41000,"CRMT","NASDAQ"
2019-08-05,86.28,86.96,84.71,86.48,69700,"CRMT","NASDAQ"
2019-08-06,86.73,90.15,85.9,89.49,106600,"CRMT","NASDAQ"
2019-08-07,88.7,89.5,87.616,88.95,116200,"CRMT","NASDAQ"
2019-08-08,89.51,91.84,89.5096,91.32,75800,"CRMT","NASDAQ"
2019-08-09,90.947,93.34,88.95,91.91,116400,"CRMT","NASDAQ"
2019-08-12,91.25,93.15,86.98,87.85,164700,"CRMT","NASDAQ"
2019-08-13,87.92,91.7,87.15,91.15,83800,"CRMT","NASDAQ"
2019-08-14,89.99,90.29,88.5,88.85,114800,"CRMT","NASDAQ"
2019-08-15,89.17,91.34,87,90.97,201000,"CRMT","NASDAQ"
2019-08-16,95.94,97.16,88.4072,92,322400,"CRMT","NASDAQ"
