"times","open","high","low","close","volume","symbol","market"
2019-05-30,15.3,15.66,14.82,14.9,3324600,"CRON","NASDAQ"
2019-05-31,14.71,14.85,13.9,14.08,5719300,"CRON","NASDAQ"
2019-06-03,13.94,14.35,13.51,13.58,4273900,"CRON","NASDAQ"
2019-06-04,13.74,14.45,13.649,14.42,4066300,"CRON","NASDAQ"
2019-06-05,15.97,16.7,15.23,15.99,17770200,"CRON","NASDAQ"
2019-06-06,16,16.22,15.31,15.77,5726300,"CRON","NASDAQ"
2019-06-07,15.82,16.27,15.75,15.94,4449700,"CRON","NASDAQ"
2019-06-10,16.31,17.55,16.25,17.39,9728900,"CRON","NASDAQ"
2019-06-11,17.73,17.86,16.58,16.97,5717300,"CRON","NASDAQ"
2019-06-12,16.84,17.33,16.69,17.1,3462200,"CRON","NASDAQ"
2019-06-13,17.18,17.46,16.1701,16.36,5658400,"CRON","NASDAQ"
2019-06-14,16.16,16.2,15.36,15.44,5706000,"CRON","NASDAQ"
2019-06-17,15.44,15.97,15.02,15.85,4348700,"CRON","NASDAQ"
2019-06-18,15.98,16.1,15.53,15.71,3576900,"CRON","NASDAQ"
2019-06-19,15.71,16.17,15.62,15.85,3791700,"CRON","NASDAQ"
2019-06-20,16.17,16.9,16.1,16.43,7136100,"CRON","NASDAQ"
2019-06-21,15.91,16.075,15.25,15.94,6639300,"CRON","NASDAQ"
2019-06-24,15.93,16.12,15.37,16.09,3989700,"CRON","NASDAQ"
2019-06-25,16.06,16.12,15.61,15.79,3016600,"CRON","NASDAQ"
2019-06-26,15.82,16.01,15.645,15.87,2034000,"CRON","NASDAQ"
2019-06-27,15.9,16.45,15.83,15.97,4453500,"CRON","NASDAQ"
2019-06-28,16.101,16.351,15.82,15.98,3131200,"CRON","NASDAQ"
2019-07-01,16.25,16.34,15.6,16.02,3329600,"CRON","NASDAQ"
2019-07-02,16.03,16.03,15.4,15.51,3413500,"CRON","NASDAQ"
2019-07-03,15.48,15.54,14.83,15.24,3951400,"CRON","NASDAQ"
2019-07-05,15.15,15.35,14.963,15.29,2010700,"CRON","NASDAQ"
2019-07-08,15.17,15.2,14.92,15.1,2566700,"CRON","NASDAQ"
2019-07-09,14.9797,15.67,14.88,15.53,2886300,"CRON","NASDAQ"
2019-07-10,15.56,15.7402,15.28,15.29,2005300,"CRON","NASDAQ"
2019-07-11,15.46,15.85,15.025,15.15,3925400,"CRON","NASDAQ"
2019-07-12,15.15,15.16,14.1,14.24,8861200,"CRON","NASDAQ"
2019-07-15,14.22,14.95,13.91,14.88,4573100,"CRON","NASDAQ"
2019-07-16,14.8,15.18,14.6,14.94,3213400,"CRON","NASDAQ"
2019-07-17,14.97,15.26,14.9,14.99,2793100,"CRON","NASDAQ"
2019-07-18,14.98,15.01,14.63,14.96,1937000,"CRON","NASDAQ"
2019-07-19,14.97,15.33,14.86,14.97,3626900,"CRON","NASDAQ"
2019-07-22,14.98,14.99,14.47,14.69,3209900,"CRON","NASDAQ"
2019-07-23,14.7,15.43,14.55,15.37,3909000,"CRON","NASDAQ"
2019-07-24,15.26,15.69,15.07,15.43,3227500,"CRON","NASDAQ"
2019-07-25,15.45,15.63,14.95,14.97,2128700,"CRON","NASDAQ"
2019-07-26,15.07,15.118,14.68,14.9,2133700,"CRON","NASDAQ"
2019-07-29,15.01,15.01,14,14.25,4496000,"CRON","NASDAQ"
2019-07-30,14,14.208,13.55,13.92,4054900,"CRON","NASDAQ"
2019-07-31,13.87,14.08,13.67,13.81,2511600,"CRON","NASDAQ"
2019-08-01,13.75,13.81,12.7,12.73,7242100,"CRON","NASDAQ"
2019-08-02,13.29,13.89,13.05,13.84,7106000,"CRON","NASDAQ"
2019-08-05,13.66,13.76,13.01,13.42,4401300,"CRON","NASDAQ"
2019-08-06,13.73,14.21,13.42,13.81,3951000,"CRON","NASDAQ"
2019-08-07,13.9697,14.51,13.46,14.43,6571400,"CRON","NASDAQ"
2019-08-08,15.51,15.58,13.67,13.89,13382500,"CRON","NASDAQ"
2019-08-09,13.86,14.35,13.25,13.36,5250100,"CRON","NASDAQ"
2019-08-12,13.16,13.26,12.7913,13.25,4108300,"CRON","NASDAQ"
2019-08-13,13.42,14.03,13.29,13.92,5023500,"CRON","NASDAQ"
2019-08-14,13.5,13.69,13.072,13.27,4102500,"CRON","NASDAQ"
2019-08-15,12.87,12.87,12.1,12.17,6495100,"CRON","NASDAQ"
2019-08-16,12.29,12.55,12.11,12.11,3669800,"CRON","NASDAQ"
2019-08-19,12.29,12.32,11.7,11.86,4278100,"CRON","NASDAQ"
2019-08-20,11.87,12.15,11.72,11.75,3008800,"CRON","NASDAQ"
2019-08-21,11.85,12.25,11.71,12,3525900,"CRON","NASDAQ"
2019-08-22,12,12.08,11.52,11.58,2618900,"CRON","NASDAQ"
2019-08-23,11.49,11.99,11.355,11.4,3460700,"CRON","NASDAQ"
2019-08-26,11.4,11.748,11.01,11.54,3908400,"CRON","NASDAQ"
2019-08-27,11.67,11.85,10.93,11.02,3581300,"CRON","NASDAQ"
2019-08-28,10.92,11.24,10.58,11.14,3562400,"CRON","NASDAQ"
2019-08-29,11.25,11.35,11.02,11.06,1846500,"CRON","NASDAQ"
2019-08-30,11.07,11.28,10.95,11.02,1602500,"CRON","NASDAQ"
2019-09-03,10.77,11.4,10.71,11.3,3593000,"CRON","NASDAQ"
2019-09-04,11.31,11.4,10.84,11.04,3266000,"CRON","NASDAQ"
2019-09-05,11.21,11.72,11.11,11.58,3696100,"CRON","NASDAQ"
2019-09-06,11.6,12.41,11.47,11.93,7283500,"CRON","NASDAQ"
2019-09-09,12.11,12.15,11.168,11.31,5077900,"CRON","NASDAQ"
2019-09-10,11.21,11.81,11.05,11.73,4094000,"CRON","NASDAQ"
2019-09-11,11.72,11.75,11.166,11.54,3318100,"CRON","NASDAQ"
2019-09-12,11.31,11.63,11.28,11.38,2096000,"CRON","NASDAQ"
2019-09-13,11.37,11.62,11.34,11.53,2048200,"CRON","NASDAQ"
2019-09-16,11.51,11.77,11.36,11.45,2253200,"CRON","NASDAQ"
2019-09-17,11.44,11.567,11.13,11.15,1893300,"CRON","NASDAQ"
2019-09-18,11.14,11.27,10.78,10.96,3829700,"CRON","NASDAQ"
2019-09-19,10.89,10.96,10.22,10.23,5334300,"CRON","NASDAQ"
2019-09-20,10.25,10.47,10.04,10.29,3134800,"CRON","NASDAQ"
2019-09-23,10.15,10.46,10.09,10.25,1828600,"CRON","NASDAQ"
2019-09-24,10.18,10.2,9.34,9.365,5202800,"CRON","NASDAQ"
2019-09-25,9.38,9.61,8.93,9.57,4099400,"CRON","NASDAQ"
2019-09-26,9.91,9.97,9.25,9.36,3230300,"CRON","NASDAQ"
2019-09-27,9.2,9.55,9.06,9.145,2912900,"CRON","NASDAQ"
2019-09-30,9.11,9.215,8.84,9.05,3917200,"CRON","NASDAQ"
2019-10-01,8.98,9.31,8.86,8.96,4056000,"CRON","NASDAQ"
2019-10-02,8.81,9.16,8.397,8.895,4563700,"CRON","NASDAQ"
2019-10-03,8.86,9.31,8.833,9.3,3748600,"CRON","NASDAQ"
2019-10-04,9.33,9.44,8.88,9.015,2744800,"CRON","NASDAQ"
2019-10-07,8.98,9.06,8.749,8.87,2019700,"CRON","NASDAQ"
2019-10-08,8.7,8.85,8.53,8.55,4593800,"CRON","NASDAQ"
2019-10-09,8.54,8.764,8.45,8.57,2923700,"CRON","NASDAQ"
2019-10-10,8.29,8.575,7.889,7.95,6787400,"CRON","NASDAQ"
2019-10-11,7.87,8.15,7.7,7.845,5617700,"CRON","NASDAQ"
2019-10-14,7.76,7.95,7.4,7.865,3977700,"CRON","NASDAQ"
2019-10-15,8,8.46,7.91,8.32,5426800,"CRON","NASDAQ"
2019-10-16,8.33,8.56,7.82,8.4,6420900,"CRON","NASDAQ"
2019-10-17,10.52,10.56,8.33,8.86,40918200,"CRON","NASDAQ"
2019-10-18,9.14,9.14,8.275,8.32,12734174,"CRON","NASDAQ"
