"times","open","high","low","close","volume","symbol","market"
2019-05-30,19.081,19.26,18.71,18.81,356800,"CRTO","NASDAQ"
2019-05-31,18.7002,18.7,18.203,18.36,463600,"CRTO","NASDAQ"
2019-06-03,18.1,18.62,17.92,18.07,658500,"CRTO","NASDAQ"
2019-06-04,18.06,18.64,18.04,18.46,685100,"CRTO","NASDAQ"
2019-06-05,18.74,19.64,18.46,18.97,1404600,"CRTO","NASDAQ"
2019-06-06,19.05,19.27,18.585,18.63,369400,"CRTO","NASDAQ"
2019-06-07,18.58,19.04,18.57,18.84,321000,"CRTO","NASDAQ"
2019-06-10,18.9,19.06,18.47,18.52,381800,"CRTO","NASDAQ"
2019-06-11,18.91,19.01,18.57,18.88,175800,"CRTO","NASDAQ"
2019-06-12,18.76,19.04,18.22,18.3,354400,"CRTO","NASDAQ"
2019-06-13,18.37,18.585,17.95,18.46,749400,"CRTO","NASDAQ"
2019-06-14,18.39,18.61,18.17,18.58,483000,"CRTO","NASDAQ"
2019-06-17,18.76,18.88,18.45,18.55,568000,"CRTO","NASDAQ"
2019-06-18,18.6,19.7,18.47,18.55,1354300,"CRTO","NASDAQ"
2019-06-19,18.65,18.9,18.205,18.56,885100,"CRTO","NASDAQ"
2019-06-20,18.89,18.96,18.17,18.57,1035900,"CRTO","NASDAQ"
2019-06-21,18.54,18.64,18.27,18.41,311400,"CRTO","NASDAQ"
2019-06-24,18.42,18.58,17.85,18.07,261000,"CRTO","NASDAQ"
2019-06-25,18.07,18.29,17.86,17.96,342700,"CRTO","NASDAQ"
2019-06-26,17.74,17.74,16.51,16.61,1708600,"CRTO","NASDAQ"
2019-06-27,16.61,17.45,16.4598,17.11,958500,"CRTO","NASDAQ"
2019-06-28,17.39,17.66,17.16,17.21,590400,"CRTO","NASDAQ"
2019-07-01,17.53,17.588,17.12,17.32,327200,"CRTO","NASDAQ"
2019-07-02,17.24,17.78,17.23,17.74,342900,"CRTO","NASDAQ"
