"times","open","high","low","close","volume","symbol","market"
2019-05-30,26.2989,26.65,25.586,26.65,31100,"CRTX","NASDAQ"
2019-05-31,26.75,26.75,24.62,25.67,55700,"CRTX","NASDAQ"
2019-06-03,25.02,26.111,23.03,24.13,107800,"CRTX","NASDAQ"
2019-06-04,23.91,26,23.23,24.6,54700,"CRTX","NASDAQ"
2019-06-05,25.02,25.59,24.4013,24.4,79400,"CRTX","NASDAQ"
2019-06-06,24.49,25.73,24.293,25.73,79600,"CRTX","NASDAQ"
2019-06-07,25.75,25.75,24.56,24.97,72400,"CRTX","NASDAQ"
2019-06-10,24.95,25.97,24.325,25.6,62600,"CRTX","NASDAQ"
2019-06-11,26,26.4804,25.2,26.06,39500,"CRTX","NASDAQ"
2019-06-12,26.36,28,25.53,27.52,91500,"CRTX","NASDAQ"
2019-06-13,28,31.63,27.683,31.42,96900,"CRTX","NASDAQ"
2019-06-14,31.92,31.92,29.9786,31.41,32100,"CRTX","NASDAQ"
2019-06-17,31.23,39.83,31.2308,38.22,146800,"CRTX","NASDAQ"
2019-06-18,38.22,47.5008,37.88,42,158200,"CRTX","NASDAQ"
2019-06-19,42.97,42.97,39.35,40.97,112200,"CRTX","NASDAQ"
2019-06-20,40.95,41.3591,35.19,36.18,120600,"CRTX","NASDAQ"
2019-06-21,36.06,38.93,34.31,35.89,221400,"CRTX","NASDAQ"
2019-06-24,36,38.16,35.07,35.5,71300,"CRTX","NASDAQ"
2019-06-25,35.5,38.74,35.5,38.05,56400,"CRTX","NASDAQ"
2019-06-26,38.27,40.2,38.27,38.61,67500,"CRTX","NASDAQ"
2019-06-27,39.05,40.5,39.05,39.8,43800,"CRTX","NASDAQ"
2019-06-28,40.4998,43.685,39.34,42.51,628500,"CRTX","NASDAQ"
2019-07-01,42.79,45.42,42.66,45.28,51600,"CRTX","NASDAQ"
2019-07-02,45.86,45.951,39.8208,40.31,102800,"CRTX","NASDAQ"
2019-07-03,40.14,41.5,39.24,40.07,38700,"CRTX","NASDAQ"
2019-07-05,39.87,41.98,36.7519,37.58,44700,"CRTX","NASDAQ"
2019-07-08,37.59,38.76,37.12,37.85,76100,"CRTX","NASDAQ"
2019-07-09,37.71,41,37.07,40.51,111600,"CRTX","NASDAQ"
2019-07-10,40.62,41.5,38.868,40.6,49800,"CRTX","NASDAQ"
2019-07-11,39.63,42.4,39.63,41.74,63700,"CRTX","NASDAQ"
2019-07-12,41.84,42,40.115,41.3,51500,"CRTX","NASDAQ"
2019-07-15,41.45,41.916,40,41.49,45400,"CRTX","NASDAQ"
2019-07-16,42,42.49,37.48,38.8,113400,"CRTX","NASDAQ"
2019-07-17,38.77,40.47,38.034,40,106200,"CRTX","NASDAQ"
2019-07-18,39.67,41,39.42,41,74800,"CRTX","NASDAQ"
2019-07-19,40.62,42.5,40.34,41.9,51200,"CRTX","NASDAQ"
2019-07-22,42,42.958,40.9655,41.89,77300,"CRTX","NASDAQ"
2019-07-23,41.93,42,40.2,41.55,122800,"CRTX","NASDAQ"
2019-07-24,41.3394,41.799,38.415,41,123700,"CRTX","NASDAQ"
2019-07-25,41.07,42.32,40,41.8,68100,"CRTX","NASDAQ"
2019-07-26,42.0076,42.789,32.397,35.11,123600,"CRTX","NASDAQ"
2019-07-29,35.46,37.49,35.46,36.95,74400,"CRTX","NASDAQ"
2019-07-30,36.63,37.307,34.705,34.72,18900,"CRTX","NASDAQ"
2019-07-31,35,36.784,34.8534,35.4,24100,"CRTX","NASDAQ"
2019-08-01,35.37,36.89,35.37,35.6,36600,"CRTX","NASDAQ"
2019-08-02,35.29,36.52,32.51,33,61700,"CRTX","NASDAQ"
2019-08-05,32.88,32.9,28.49,29.17,99500,"CRTX","NASDAQ"
2019-08-06,29.47,32.762,29.47,31.4,33300,"CRTX","NASDAQ"
2019-08-07,30.88,32.12,30.16,30.74,48000,"CRTX","NASDAQ"
2019-08-08,30.46,32.25,26.72,27.78,111100,"CRTX","NASDAQ"
2019-08-09,27.61,28.433,26.576,27.69,40100,"CRTX","NASDAQ"
2019-08-12,26.6995,30.2,26.7,29.62,40800,"CRTX","NASDAQ"
2019-08-13,29.96,31.2,29.5,29.76,30900,"CRTX","NASDAQ"
2019-08-14,29.79,30.015,29.31,29.69,34900,"CRTX","NASDAQ"
2019-08-15,29.79,29.79,28.317,28.71,30600,"CRTX","NASDAQ"
