"times","open","high","low","close","volume","symbol","market"
2019-05-30,71,74.535,71,73.75,116300,"CRVL","NASDAQ"
2019-05-31,72.86,74.21,72.29,73.98,95700,"CRVL","NASDAQ"
2019-06-03,73.71,74.57,73.172,73.87,94000,"CRVL","NASDAQ"
2019-06-04,74.34,76.79,74.013,76.32,174500,"CRVL","NASDAQ"
2019-06-05,76,78,76,77.3,118400,"CRVL","NASDAQ"
2019-06-06,77.53,78.75,77.53,77.83,141000,"CRVL","NASDAQ"
2019-06-07,78.2,78.45,77.32,77.7,92300,"CRVL","NASDAQ"
2019-06-10,77.75,79.6,77.7426,79,77600,"CRVL","NASDAQ"
2019-06-11,79.34,80.612,78.68,79.86,86400,"CRVL","NASDAQ"
2019-06-12,79.74,82.1,79.74,81.97,63100,"CRVL","NASDAQ"
2019-06-13,81.75,83.5,81.75,82.43,151200,"CRVL","NASDAQ"
2019-06-14,82.79,83.38,81.27,81.66,81900,"CRVL","NASDAQ"
2019-06-17,81.53,82.6031,81.015,82.13,67000,"CRVL","NASDAQ"
2019-06-18,82.3303,83.3,81.79,83.18,74300,"CRVL","NASDAQ"
2019-06-19,83.18,83.85,82.8,83.52,66600,"CRVL","NASDAQ"
2019-06-20,84.42,85.6,83.75,84.39,97500,"CRVL","NASDAQ"
2019-06-21,84.13,84.9,82.95,83.6,237100,"CRVL","NASDAQ"
2019-06-24,83.65,84.94,81.57,82.4,106800,"CRVL","NASDAQ"
2019-06-25,82.311,83.895,81.78,83.54,89300,"CRVL","NASDAQ"
2019-06-26,83.4,84.26,82.71,82.85,98000,"CRVL","NASDAQ"
2019-06-27,82.98,84.88,82.75,84.51,80800,"CRVL","NASDAQ"
2019-06-28,84.66,87.72,84.1,87.01,192000,"CRVL","NASDAQ"
2019-07-01,88.09,88.745,86.2882,87.62,80600,"CRVL","NASDAQ"
2019-07-02,87.44,88.08,86.49,87.49,105800,"CRVL","NASDAQ"
2019-07-03,87.43,89.26,87.43,88.88,60400,"CRVL","NASDAQ"
2019-07-05,88.36,89.255,87.915,88.71,76700,"CRVL","NASDAQ"
2019-07-08,88.87,89.13,86.93,87.38,78300,"CRVL","NASDAQ"
