"times","open","high","low","close","volume","symbol","market"
2019-06-12,63.5,67,56,58,19449200,"CRWD","NASDAQ"
2019-06-13,63.86,69.67,61.6,67.56,10923900,"CRWD","NASDAQ"
2019-06-14,69.78,70.79,63.02,64.16,6264200,"CRWD","NASDAQ"
2019-06-17,64.75,70.01,62,70.01,3247500,"CRWD","NASDAQ"
2019-06-18,73,78.7,71.5,76.5,6612600,"CRWD","NASDAQ"
2019-06-19,78.7496,79.79,73.555,77.22,3319100,"CRWD","NASDAQ"
2019-06-20,78,78.22,70.69,74.85,3429600,"CRWD","NASDAQ"
2019-06-21,72.46,73.9273,68.3,72.23,2657500,"CRWD","NASDAQ"
2019-06-24,71.05,72.39,65.08,67.97,2448000,"CRWD","NASDAQ"
2019-06-25,67.1,68.99,61.1672,61.52,2480200,"CRWD","NASDAQ"
2019-06-26,63.3017,64.92,62.005,62.65,1625500,"CRWD","NASDAQ"
2019-06-27,63.39,64.995,62.571,63.28,914500,"CRWD","NASDAQ"
2019-06-28,64.36,68.38,63.3,68.29,1474300,"CRWD","NASDAQ"
2019-07-01,69.1,69.7293,61.81,63.2,2670900,"CRWD","NASDAQ"
2019-07-02,63.304,65.03,61.721,64.52,1735600,"CRWD","NASDAQ"
2019-07-03,64.68,67.48,64.52,67.24,1564100,"CRWD","NASDAQ"
2019-07-05,67.15,67.25,64.84,67.21,804900,"CRWD","NASDAQ"
2019-07-08,68.26,71.715,66.9,66.91,4567200,"CRWD","NASDAQ"
2019-07-09,67.42,69.2,66.88,68.45,1782700,"CRWD","NASDAQ"
2019-07-10,70,74.5034,69.5,74.34,2719300,"CRWD","NASDAQ"
2019-07-11,74.5,74.98,70.4989,70.88,2351800,"CRWD","NASDAQ"
2019-07-12,71.5991,75.2,70.5,73.5,1838300,"CRWD","NASDAQ"
2019-07-15,74,74.295,71.4,71.6,1325100,"CRWD","NASDAQ"
2019-07-16,71.93,73.087,69,69.54,1582300,"CRWD","NASDAQ"
2019-07-17,70,71.56,69.59,71,1037000,"CRWD","NASDAQ"
2019-07-18,71,74.19,70.15,72.75,2779900,"CRWD","NASDAQ"
