"times","open","high","low","close","volume","symbol","market"
2019-05-30,5.02,5.095,5.02,5.06,12600,"CRWS","NASDAQ"
2019-05-31,4.98,5.08,4.974,5.03,3700,"CRWS","NASDAQ"
2019-06-03,5.05,5.05,4.72,5,26600,"CRWS","NASDAQ"
2019-06-04,4.95,5.05,4.95,5.05,17300,"CRWS","NASDAQ"
2019-06-05,5.03,5.09,4.9,4.95,8200,"CRWS","NASDAQ"
2019-06-06,4.95,5.04,4.95,5,13200,"CRWS","NASDAQ"
2019-06-07,4.98,4.98,4.88,4.89,23200,"CRWS","NASDAQ"
2019-06-10,4.86,4.943,4.82,4.82,15300,"CRWS","NASDAQ"
2019-06-11,4.8,4.87,4.68,4.68,13600,"CRWS","NASDAQ"
2019-06-12,4.72,4.9,4.701,4.8,94700,"CRWS","NASDAQ"
2019-06-13,4.9003,5.15,4.59,4.76,229200,"CRWS","NASDAQ"
2019-06-14,4.75,4.75,4.43,4.46,49800,"CRWS","NASDAQ"
2019-06-17,4.49,4.53,4.44,4.53,62200,"CRWS","NASDAQ"
2019-06-18,4.565,4.6,4.53,4.53,24400,"CRWS","NASDAQ"
2019-06-19,4.58,4.58,4.5,4.55,39700,"CRWS","NASDAQ"
2019-06-20,4.55,4.55,4.4699,4.47,21700,"CRWS","NASDAQ"
2019-06-21,4.45,4.49,4.3504,4.35,25500,"CRWS","NASDAQ"
2019-06-24,4.3607,4.4,4.35,4.36,17100,"CRWS","NASDAQ"
2019-06-25,4.36,4.49,4.358,4.47,29800,"CRWS","NASDAQ"
2019-06-26,4.42,4.52,4.4,4.52,21000,"CRWS","NASDAQ"
2019-06-27,4.49,4.5,4.434,4.455,6000,"CRWS","NASDAQ"
2019-06-28,4.45,4.75,4.391,4.7,65500,"CRWS","NASDAQ"
2019-07-01,4.45,4.65,4.38,4.55,77200,"CRWS","NASDAQ"
2019-07-02,4.49,4.55,4.39,4.51,13900,"CRWS","NASDAQ"
2019-07-03,4.5201,4.55,4.44,4.55,4800,"CRWS","NASDAQ"
2019-07-05,4.42,4.557,4.42,4.456,21500,"CRWS","NASDAQ"
2019-07-08,4.48,4.48,4.4,4.4,14500,"CRWS","NASDAQ"
2019-07-09,4.48,4.53,4.42,4.53,7900,"CRWS","NASDAQ"
2019-07-10,4.47,4.57,4.46,4.5,11700,"CRWS","NASDAQ"
2019-07-11,4.48,4.49,4.41,4.42,7900,"CRWS","NASDAQ"
2019-07-12,4.43,4.56,4.4,4.43,16600,"CRWS","NASDAQ"
2019-07-15,4.5,4.66,4.48,4.66,10100,"CRWS","NASDAQ"
2019-07-16,4.52,4.66,4.5,4.5,13400,"CRWS","NASDAQ"
2019-07-17,4.47,4.63,4.47,4.62,17100,"CRWS","NASDAQ"
2019-07-18,4.55,4.5503,4.51,4.52,4800,"CRWS","NASDAQ"
2019-07-19,4.54,4.6,4.52,4.6,19100,"CRWS","NASDAQ"
2019-07-22,4.61,4.65,4.55,4.65,35000,"CRWS","NASDAQ"
2019-07-23,4.55,4.61,4.55,4.6,35400,"CRWS","NASDAQ"
2019-07-24,4.56,4.64,4.5502,4.56,33100,"CRWS","NASDAQ"
2019-07-25,4.56,4.72,4.56,4.63,224100,"CRWS","NASDAQ"
2019-07-26,4.63,4.72,4.58,4.58,4600,"CRWS","NASDAQ"
2019-07-29,4.57,4.73,4.53,4.57,10100,"CRWS","NASDAQ"
2019-07-30,4.62,4.73,4.62,4.66,41100,"CRWS","NASDAQ"
2019-07-31,4.72,4.73,4.6,4.6,11000,"CRWS","NASDAQ"
2019-08-01,4.69,4.7,4.6,4.6,18700,"CRWS","NASDAQ"
2019-08-02,4.6,4.72,4.6,4.72,17500,"CRWS","NASDAQ"
2019-08-05,4.6997,4.77,4.55,4.76,24800,"CRWS","NASDAQ"
2019-08-06,4.7,4.77,4.7,4.74,12800,"CRWS","NASDAQ"
2019-08-07,4.724,4.77,4.724,4.75,3700,"CRWS","NASDAQ"
2019-08-08,4.735,4.8,4.735,4.75,4600,"CRWS","NASDAQ"
2019-08-09,4.75,4.89,4.75,4.865,12400,"CRWS","NASDAQ"
2019-08-12,4.88,4.92,4.83,4.91,12700,"CRWS","NASDAQ"
2019-08-13,4.9,4.9201,4.8,4.92,15900,"CRWS","NASDAQ"
2019-08-14,5.05,5.32,5.05,5.16,38900,"CRWS","NASDAQ"
2019-08-15,5.1499,5.3,5.08,5.25,60100,"CRWS","NASDAQ"
2019-08-16,5.18,5.29,5,5.25,19300,"CRWS","NASDAQ"
2019-08-19,5.2,5.3,5.11,5.27,18600,"CRWS","NASDAQ"
2019-08-20,5.23,5.3,5.23,5.25,18100,"CRWS","NASDAQ"
2019-08-21,5.23,5.31,5.23,5.31,9900,"CRWS","NASDAQ"
2019-08-22,5.13,5.3,5.13,5.25,18300,"CRWS","NASDAQ"
2019-08-23,5.22,5.3,5.22,5.3,14200,"CRWS","NASDAQ"
2019-08-26,5.33,5.33,5.16,5.32,33800,"CRWS","NASDAQ"
2019-08-27,5.32,5.32,5.17,5.17,41200,"CRWS","NASDAQ"
2019-08-28,5.15,5.34,5.13,5.25,15900,"CRWS","NASDAQ"
2019-08-29,5.16,5.35,5.16,5.18,9900,"CRWS","NASDAQ"
2019-08-30,5.2,5.36,5.2,5.36,900,"CRWS","NASDAQ"
2019-09-03,5.37,5.41,5.31,5.41,8400,"CRWS","NASDAQ"
2019-09-04,5.4,5.4,5.14,5.25,18700,"CRWS","NASDAQ"
2019-09-05,5.25,5.4,5.21,5.29,22000,"CRWS","NASDAQ"
2019-09-06,5.4,5.45,5.29,5.31,8000,"CRWS","NASDAQ"
2019-09-09,5.35,5.47,5.35,5.47,15000,"CRWS","NASDAQ"
2019-09-10,5.45,5.46,5.34,5.34,12200,"CRWS","NASDAQ"
2019-09-11,5.34,5.43,5.3,5.32,70900,"CRWS","NASDAQ"
2019-09-12,5.29,5.44,5.25,5.39,35900,"CRWS","NASDAQ"
2019-09-13,5.34,5.34,5.24,5.26,43900,"CRWS","NASDAQ"
2019-09-16,5.36,5.38,5.3,5.38,9700,"CRWS","NASDAQ"
2019-09-17,5.34,5.44,5.27,5.37,8000,"CRWS","NASDAQ"
2019-09-18,5.27,5.41,5.25,5.28,36800,"CRWS","NASDAQ"
2019-09-19,5.24,5.35,5.24,5.28,44400,"CRWS","NASDAQ"
2019-09-20,5.24,5.45,5.24,5.45,28800,"CRWS","NASDAQ"
2019-09-23,5.34,5.44,5.07,5.44,61000,"CRWS","NASDAQ"
2019-09-24,5.47,5.52,5.4,5.5,19000,"CRWS","NASDAQ"
2019-09-25,5.51,5.57,5.4,5.42,13100,"CRWS","NASDAQ"
2019-09-26,5.42,5.72,5.4,5.72,22700,"CRWS","NASDAQ"
2019-09-27,5.65,6.06,5.65,5.88,109000,"CRWS","NASDAQ"
2019-09-30,5.84,6.25,5.76,6.25,61700,"CRWS","NASDAQ"
2019-10-01,6.25,6.27,5.93,6.05,94400,"CRWS","NASDAQ"
2019-10-02,6.19,6.19,5.89,5.94,57800,"CRWS","NASDAQ"
2019-10-03,5.99,6.16,5.88,6.05,28900,"CRWS","NASDAQ"
2019-10-04,6.11,6.15,6.02,6.14,21300,"CRWS","NASDAQ"
2019-10-07,6.23,6.46,6.16,6.35,67700,"CRWS","NASDAQ"
2019-10-08,6.39,6.39,6.03,6.22,90900,"CRWS","NASDAQ"
2019-10-09,6.21,6.42,6.21,6.4,46500,"CRWS","NASDAQ"
2019-10-10,6.4,6.45,6.31,6.36,55800,"CRWS","NASDAQ"
2019-10-11,6.42,6.55,6.42,6.55,20100,"CRWS","NASDAQ"
2019-10-14,6.59,6.64,6.55,6.59,48700,"CRWS","NASDAQ"
2019-10-15,6.53,6.59,6.44,6.47,13300,"CRWS","NASDAQ"
2019-10-16,6.46,6.5,6.31,6.49,7900,"CRWS","NASDAQ"
2019-10-17,6.49,6.63,6.36,6.6,19800,"CRWS","NASDAQ"
2019-10-18,6.6,6.6,6.43,6.53,25280,"CRWS","NASDAQ"
